SETTLEMENTDATE,REGIONID,AVGRRP,PEAKRRP
2024/06/01 00:00:00,SA1,151.57000000,N/A
2024/06/01 00:00:00,TAS1,170.41000000,N/A
2024/06/01 00:00:00,QLD1,126.98000000,N/A
2024/06/01 00:00:00,NSW1,133.74000000,N/A
2024/06/01 00:00:00,VIC1,137.84000000,N/A
2024/06/02 00:00:00,NSW1,113.22000000,N/A
2024/06/02 00:00:00,QLD1,82.01000000,N/A
2024/06/02 00:00:00,VIC1,111.62000000,N/A
2024/06/02 00:00:00,TAS1,151.82000000,N/A
2024/06/02 00:00:00,SA1,123.51000000,N/A
2024/06/03 00:00:00,SA1,174.00000000,192.76000000
2024/06/03 00:00:00,VIC1,176.96000000,201.39000000
2024/06/03 00:00:00,TAS1,178.17000000,187.12000000
2024/06/03 00:00:00,NSW1,117.16000000,122.71000000
2024/06/03 00:00:00,QLD1,100.46000000,96.10000000
2024/06/04 00:00:00,SA1,293.45000000,357.52000000
2024/06/04 00:00:00,VIC1,226.32000000,251.14000000
2024/06/04 00:00:00,QLD1,132.70000000,127.46000000
2024/06/04 00:00:00,TAS1,127.06000000,114.41000000
2024/06/04 00:00:00,NSW1,158.29000000,172.25000000
2024/06/05 00:00:00,QLD1,130.77000000,123.88000000
2024/06/05 00:00:00,SA1,199.12000000,203.72000000
2024/06/05 00:00:00,VIC1,178.62000000,190.19000000
2024/06/05 00:00:00,NSW1,169.00000000,186.35000000
2024/06/05 00:00:00,TAS1,156.88000000,159.50000000
2024/06/06 00:00:00,QLD1,95.84000000,87.45000000
2024/06/06 00:00:00,SA1,222.46000000,276.78000000
2024/06/06 00:00:00,TAS1,140.14000000,142.15000000
2024/06/06 00:00:00,NSW1,110.61000000,111.85000000
2024/06/06 00:00:00,VIC1,105.37000000,104.12000000
2024/06/07 00:00:00,SA1,164.59000000,164.63000000
2024/06/07 00:00:00,VIC1,131.54000000,144.83000000
2024/06/07 00:00:00,NSW1,113.23000000,117.96000000
2024/06/07 00:00:00,QLD1,93.32000000,85.54000000
2024/06/07 00:00:00,TAS1,119.95000000,117.95000000
2024/06/08 00:00:00,VIC1,143.68000000,N/A
2024/06/08 00:00:00,NSW1,97.50000000,N/A
2024/06/08 00:00:00,TAS1,120.91000000,N/A
2024/06/08 00:00:00,QLD1,76.14000000,N/A
