"C","SETP.WORLD","DVD_DISPATCH_UNIT_SCADA","AEMO","PUBLIC","X2018.09.07","X00.00.03","X0000000298797236","X","X0000000298797183"
"I","DISPATCH","UNIT_SCADA",1,"SETTLEMENTDATE","DUID","SCADAVALUE",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/08/01 00:05:00","BARCSF1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/08/01 00:05:00","BUTLERSG","9.899999",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/08/01 00:05:00","CALL_A_4","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/08/01 00:05:00","CATHROCK","32.179996",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/08/01 00:05:00","CHALLHWF","33.299999",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/08/01 00:05:00","CLOVER","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/08/01 00:05:00","CLUNY","20.463722",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/08/01 00:05:00","CNUNDAWF","32.838306",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/08/01 00:05:00","CULLRGWF","30.48",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/08/01 00:05:00","ERGT01","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/08/01 00:05:00","GB01","0.047741",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/08/01 00:05:00","GERMCRK","36",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/08/01 00:05:00","HUGSF1","-0.0140",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/08/01 00:05:00","LKBONNY1","52.960453",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/08/01 00:05:00","LRSF1","0.0610",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/08/01 00:05:00","MBAHNTH","51.862503",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/08/01 00:05:00","MLSP1","1.491001",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/08/01 00:05:00","MLWF1","9.5250",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/08/01 00:05:00","MTMILLAR","20.203161",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/08/01 00:05:00","PALOONA","30.269999",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/08/01 00:05:00","PIONEER","36.400002",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/08/01 00:05:00","PORTWF","123.699997",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/08/01 00:05:00","REPULSE","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/08/01 00:05:00","ROWALLAN","10.4938",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/08/01 00:05:00","ROYALLA1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/08/01 00:05:00","RPCG","13.90",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/08/01 00:05:00","RUBICON","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/08/01 00:05:00","STARHLWF","10.496939",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/08/01 00:05:00","WAUBRAWF","134.981995",NA,NA,NA
