C,SETP.WORLD,DVD_BILLING_CO2E_PUBLICATION,AEMO,PUBLIC,2018/09/07,00:00:15,0000000298797211,,0000000298797183
I,BILLING,BILLING_CO2E_PUBLICATION,1,CONTRACTYEAR,WEEKNO,BILLRUNNO,SETTLEMENTDATE,REGIONID,SENTOUTENERGY,GENERATOREMISSIONS,INTENSITYINDEX
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,30,9,"2018/07/22 00:00:00",NEM,518824.00345451,398409.40543850,0.7679
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,30,9,"2018/07/22 00:00:00",NSW1,165142.83622999,141738.89006290,0.8583
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,30,9,"2018/07/22 00:00:00",QLD1,157927.51831552,138771.10283132,0.8787
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,30,9,"2018/07/22 00:00:00",SA1,39120.764423,5272.38426903,0.1348
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,30,9,"2018/07/22 00:00:00",TAS1,42686.881214,1.59322968,0
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,30,9,"2018/07/22 00:00:00",VIC1,113946.003272,112625.43504557,0.9884
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,30,9,"2018/07/23 00:00:00",NEM,575754.11725622,416856.05999094,0.7240
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,30,9,"2018/07/23 00:00:00",NSW1,188390.436882,150962.98248735,0.8013
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,30,9,"2018/07/23 00:00:00",QLD1,167893.19203423,147274.33878315,0.8772
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,30,9,"2018/07/23 00:00:00",SA1,44897.83429299,8007.67785086,0.1784
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,30,9,"2018/07/23 00:00:00",TAS1,44783.344910,1.59274626,0
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,30,9,"2018/07/23 00:00:00",VIC1,129789.309137,110609.46812332,0.8522
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,30,9,"2018/07/24 00:00:00",NEM,552066.38649210,409438.45299789,0.7416
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,30,9,"2018/07/24 00:00:00",NSW1,186821.261863,151079.10140778,0.8087
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,30,9,"2018/07/24 00:00:00",QLD1,152373.75993009,136238.70715997,0.8941
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,30,9,"2018/07/24 00:00:00",SA1,42652.648482,8523.76250580,0.1998
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,30,9,"2018/07/24 00:00:00",TAS1,45530.027340,1.59250464,0
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,30,9,"2018/07/24 00:00:00",VIC1,124688.68887701,113595.28941970,0.9110
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,30,9,"2018/07/25 00:00:00",NEM,547973.30597601,444896.72447727,0.8119
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,30,9,"2018/07/25 00:00:00",NSW1,189376.744040,158410.99842672,0.8365
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,30,9,"2018/07/25 00:00:00",QLD1,154131.862515,137237.83790324,0.8904
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,30,9,"2018/07/25 00:00:00",SA1,33327.756440,16825.20844284,0.5048
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,30,9,"2018/07/25 00:00:00",TAS1,45826.58917801,6.02964188,0.0001
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,30,9,"2018/07/25 00:00:00",VIC1,125310.353803,132416.65006259,1.0567
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,30,9,"2018/07/26 00:00:00",NEM,544341.05144752,450079.70019403,0.8268
