C,SETP.WORLD,DVD_BILLING_CO2E_PUBLICATION,AEMO,PUBLIC,2019/08/07,11:46:20,0000000311264879,,0000000311264855
I,BILLING,BILLING_CO2E_PUBLICATION,1,CONTRACTYEAR,WEEKNO,BILLRUNNO,SETTLEMENTDATE,REGIONID,SENTOUTENERGY,GENERATOREMISSIONS,INTENSITYINDEX
D,BILLING,BILLING_CO2E_PUBLICATION,1,2019,26,10,"2019/06/23 00:00:00",NEM,546649.41165308,418962.69649923,0.7664
D,BILLING,BILLING_CO2E_PUBLICATION,1,2019,26,10,"2019/06/23 00:00:00",NSW1,199613.613764,166148.63260812,0.8324
D,BILLING,BILLING_CO2E_PUBLICATION,1,2019,26,10,"2019/06/23 00:00:00",QLD1,153682.71763608,119351.16991441,0.7766
D,BILLING,BILLING_CO2E_PUBLICATION,1,2019,26,10,"2019/06/23 00:00:00",SA1,37494.978832,17052.43636381,0.4548
D,BILLING,BILLING_CO2E_PUBLICATION,1,2019,26,10,"2019/06/23 00:00:00",TAS1,40341.948333,655.24338075,0.0162
D,BILLING,BILLING_CO2E_PUBLICATION,1,2019,26,10,"2019/06/23 00:00:00",VIC1,115516.153088,115755.21423214,1.0021
D,BILLING,BILLING_CO2E_PUBLICATION,1,2019,26,10,"2019/06/24 00:00:00",NEM,596685.46111817,427930.90485637,0.7172
D,BILLING,BILLING_CO2E_PUBLICATION,1,2019,26,10,"2019/06/24 00:00:00",NSW1,219872.38632399,171699.48200638,0.7809
D,BILLING,BILLING_CO2E_PUBLICATION,1,2019,26,10,"2019/06/24 00:00:00",QLD1,159745.86265016,122430.51335686,0.7664
D,BILLING,BILLING_CO2E_PUBLICATION,1,2019,26,10,"2019/06/24 00:00:00",SA1,53097.91941601,14889.80624748,0.2804
D,BILLING,BILLING_CO2E_PUBLICATION,1,2019,26,10,"2019/06/24 00:00:00",TAS1,36870.18786701,735.55225958,0.0199
D,BILLING,BILLING_CO2E_PUBLICATION,1,2019,26,10,"2019/06/24 00:00:00",VIC1,127099.104861,118175.55098607,0.9298
D,BILLING,BILLING_CO2E_PUBLICATION,1,2019,26,10,"2019/06/25 00:00:00",NEM,582476.58919098,435624.39472102,0.7479
D,BILLING,BILLING_CO2E_PUBLICATION,1,2019,26,10,"2019/06/25 00:00:00",NSW1,214871.251548,172040.42335608,0.8007
D,BILLING,BILLING_CO2E_PUBLICATION,1,2019,26,10,"2019/06/25 00:00:00",QLD1,163339.093074,125083.14459286,0.7658
D,BILLING,BILLING_CO2E_PUBLICATION,1,2019,26,10,"2019/06/25 00:00:00",SA1,40077.174224,17580.32371542,0.4387
D,BILLING,BILLING_CO2E_PUBLICATION,1,2019,26,10,"2019/06/25 00:00:00",TAS1,36510.503920,689.31608452,0.0189
D,BILLING,BILLING_CO2E_PUBLICATION,1,2019,26,10,"2019/06/25 00:00:00",VIC1,127678.56642498,120231.18697214,0.9417
D,BILLING,BILLING_CO2E_PUBLICATION,1,2019,26,10,"2019/06/26 00:00:00",NEM,569429.37425974,422735.40744661,0.7424
D,BILLING,BILLING_CO2E_PUBLICATION,1,2019,26,10,"2019/06/26 00:00:00",NSW1,209055.239424,169268.85780941,0.8097
D,BILLING,BILLING_CO2E_PUBLICATION,1,2019,26,10,"2019/06/26 00:00:00",QLD1,158028.32542376,122533.80923893,0.7754
