C,SETP.WORLD,DVD_TRADINGPRICE,AEMO,PUBLIC,2024/11/11,15:12:28,001731301948735,MONTHLY_ARCHIVE
I,TRADING,PRICE,3,SETTLEMENTDATE,RUNNO,REGIONID,PERIODID,RRP
D,TRADING,PRICE,3,"2024/10/01 00:05:00",1,NSW1,1,104.1
D,TRADING,PRICE,3,"2024/10/01 00:05:00",1,QLD1,1,110.83
D,TRADING,PRICE,3,"2024/10/01 00:05:00",1,SA1,1,96.78
D,TRADING,PRICE,3,"2024/10/01 00:05:00",1,TAS1,1,0.17
D,TRADING,PRICE,3,"2024/10/01 00:05:00",1,VIC1,1,85.87
D,TRADING,PRICE,3,"2024/10/01 00:10:00",1,NSW1,2,104.2
D,TRADING,PRICE,3,"2024/10/01 00:10:00",1,QLD1,2,110.83
D,TRADING,PRICE,3,"2024/10/01 00:10:00",1,SA1,2,95.84
D,TRADING,PRICE,3,"2024/10/01 00:10:00",1,TAS1,2,0.17
D,TRADING,PRICE,3,"2024/10/01 00:10:00",1,VIC1,2,84.59
D,TRADING,PRICE,3,"2024/10/01 00:15:00",1,NSW1,3,103.59
D,TRADING,PRICE,3,"2024/10/01 00:15:00",1,QLD1,3,110.83
D,TRADING,PRICE,3,"2024/10/01 00:15:00",1,SA1,3,94.88
D,TRADING,PRICE,3,"2024/10/01 00:15:00",1,TAS1,3,0.17
D,TRADING,PRICE,3,"2024/10/01 00:15:00",1,VIC1,3,84.06
D,TRADING,PRICE,3,"2024/10/01 00:20:00",1,NSW1,4,103.23
D,TRADING,PRICE,3,"2024/10/01 00:20:00",1,QLD1,4,110.37
D,TRADING,PRICE,3,"2024/10/01 00:20:00",1,SA1,4,94.58
D,TRADING,PRICE,3,"2024/10/01 00:20:00",1,TAS1,4,0.17
D,TRADING,PRICE,3,"2024/10/01 00:20:00",1,VIC1,4,83.15
D,TRADING,PRICE,3,"2024/10/01 00:25:00",1,NSW1,5,103.98
D,TRADING,PRICE,3,"2024/10/01 00:25:00",1,QLD1,5,110.46
D,TRADING,PRICE,3,"2024/10/01 00:25:00",1,SA1,5,95.91
D,TRADING,PRICE,3,"2024/10/01 00:25:00",1,TAS1,5,0.17
D,TRADING,PRICE,3,"2024/10/01 00:25:00",1,VIC1,5,84.41
D,TRADING,PRICE,3,"2024/10/01 00:30:00",1,NSW1,6,86.34
D,TRADING,PRICE,3,"2024/10/01 00:30:00",1,QLD1,6,110.37
D,TRADING,PRICE,3,"2024/10/01 00:30:00",1,SA1,6,78.82
D,TRADING,PRICE,3,"2024/10/01 00:30:00",1,TAS1,6,0.17
D,TRADING,PRICE,3,"2024/10/01 00:30:00",1,VIC1,6,69
D,TRADING,PRICE,3,"2024/10/01 00:35:00",1,NSW1,7,106.43
D,TRADING,PRICE,3,"2024/10/01 00:35:00",1,QLD1,7,112.95
D,TRADING,PRICE,3,"2024/10/01 00:35:00",1,SA1,7,100.44
D,TRADING,PRICE,3,"2024/10/01 00:35:00",1,TAS1,7,1.17
D,TRADING,PRICE,3,"2024/10/01 00:35:00",1,VIC1,7,88
D,TRADING,PRICE,3,"2024/10/01 00:40:00",1,NSW1,8,106.8
D,TRADING,PRICE,3,"2024/10/01 00:40:00",1,QLD1,8,112.75
D,TRADING,PRICE,3,"2024/10/01 00:40:00",1,SA1,8,100.37
D,TRADING,PRICE,3,"2024/10/01 00:40:00",1,TAS1,8,0.18
D,TRADING,PRICE,3,"2024/10/01 00:40:00",1,VIC1,8,88.2
D,TRADING,PRICE,3,"2024/10/01 00:45:00",1,NSW1,9,87.89
D,TRADING,PRICE,3,"2024/10/01 00:45:00",1,QLD1,9,94.33
D,TRADING,PRICE,3,"2024/10/01 00:45:00",1,SA1,9,81.96
D,TRADING,PRICE,3,"2024/10/01 00:45:00",1,TAS1,9,0.18
D,TRADING,PRICE,3,"2024/10/01 00:45:00",1,VIC1,9,71.43
D,TRADING,PRICE,3,"2024/10/01 00:50:00",1,NSW1,10,104.47
D,TRADING,PRICE,3,"2024/10/01 00:50:00",1,QLD1,10,110.83
D,TRADING,PRICE,3,"2024/10/01 00:50:00",1,SA1,10,97.41
D,TRADING,PRICE,3,"2024/10/01 00:50:00",1,TAS1,10,0.18
