C,SETP.WORLD,DVD_TRADINGPRICE,AEMO,PUBLIC,2018/03/08,10:25:04,0000000292654556,
I,TRADING,PRICE,2,SETTLEMENTDATE,RUNNO,REGIONID,PERIODID,RRP
D,TRADING,PRICE,2,"2018/02/01 00:30:00",1,NSW1,1,67.43
D,TRADING,PRICE,2,"2018/02/01 00:30:00",1,QLD1,1,67
D,TRADING,PRICE,2,"2018/02/01 00:30:00",1,SA1,1,72.41
D,TRADING,PRICE,2,"2018/02/01 00:30:00",1,TAS1,1,85.35
D,TRADING,PRICE,2,"2018/02/01 00:30:00",1,VIC1,1,69.84
D,TRADING,PRICE,2,"2018/02/01 01:00:00",1,NSW1,2,59.04
D,TRADING,PRICE,2,"2018/02/01 01:00:00",1,QLD1,2,58.4
D,TRADING,PRICE,2,"2018/02/01 01:00:00",1,SA1,2,62.24
D,TRADING,PRICE,2,"2018/02/01 01:00:00",1,TAS1,2,85.35
D,TRADING,PRICE,2,"2018/02/01 01:00:00",1,VIC1,2,59.89
D,TRADING,PRICE,2,"2018/02/01 01:30:00",1,NSW1,3,58.22
D,TRADING,PRICE,2,"2018/02/01 01:30:00",1,QLD1,3,57.34
D,TRADING,PRICE,2,"2018/02/01 01:30:00",1,SA1,3,59.76
D,TRADING,PRICE,2,"2018/02/01 01:30:00",1,TAS1,3,85.35
D,TRADING,PRICE,2,"2018/02/01 01:30:00",1,VIC1,3,58.49
D,TRADING,PRICE,2,"2018/02/01 02:00:00",1,NSW1,4,52.54
D,TRADING,PRICE,2,"2018/02/01 02:00:00",1,QLD1,4,51.4
D,TRADING,PRICE,2,"2018/02/01 02:00:00",1,SA1,4,52.65
D,TRADING,PRICE,2,"2018/02/01 02:00:00",1,TAS1,4,85.35
D,TRADING,PRICE,2,"2018/02/01 02:00:00",1,VIC1,4,51.62
D,TRADING,PRICE,2,"2018/02/01 02:30:00",1,NSW1,5,57.73
D,TRADING,PRICE,2,"2018/02/01 02:30:00",1,QLD1,5,56.31
D,TRADING,PRICE,2,"2018/02/01 02:30:00",1,SA1,5,54.1
D,TRADING,PRICE,2,"2018/02/01 02:30:00",1,TAS1,5,85.35
D,TRADING,PRICE,2,"2018/02/01 02:30:00",1,VIC1,5,54.78
D,TRADING,PRICE,2,"2018/02/01 03:00:00",1,NSW1,6,61.2
D,TRADING,PRICE,2,"2018/02/01 03:00:00",1,QLD1,6,58.89
D,TRADING,PRICE,2,"2018/02/01 03:00:00",1,SA1,6,54.39
D,TRADING,PRICE,2,"2018/02/01 03:00:00",1,TAS1,6,85.35
D,TRADING,PRICE,2,"2018/02/01 03:00:00",1,VIC1,6,56.93
D,TRADING,PRICE,2,"2018/02/01 03:30:00",1,NSW1,7,64.62
D,TRADING,PRICE,2,"2018/02/01 03:30:00",1,QLD1,7,61.47
D,TRADING,PRICE,2,"2018/02/01 03:30:00",1,SA1,7,57.95
D,TRADING,PRICE,2,"2018/02/01 03:30:00",1,TAS1,7,85.35
D,TRADING,PRICE,2,"2018/02/01 03:30:00",1,VIC1,7,60.41
D,TRADING,PRICE,2,"2018/02/01 04:00:00",1,NSW1,8,59.78
D,TRADING,PRICE,2,"2018/02/01 04:00:00",1,QLD1,8,57.24
D,TRADING,PRICE,2,"2018/02/01 04:00:00",1,SA1,8,54.86
D,TRADING,PRICE,2,"2018/02/01 04:00:00",1,TAS1,8,85.35
D,TRADING,PRICE,2,"2018/02/01 04:00:00",1,VIC1,8,56.63
D,TRADING,PRICE,2,"2018/02/01 04:30:00",1,NSW1,9,59.01
D,TRADING,PRICE,2,"2018/02/01 04:30:00",1,QLD1,9,56.72
D,TRADING,PRICE,2,"2018/02/01 04:30:00",1,SA1,9,54.54
D,TRADING,PRICE,2,"2018/02/01 04:30:00",1,TAS1,9,80.89
D,TRADING,PRICE,2,"2018/02/01 04:30:00",1,VIC1,9,55.99
D,TRADING,PRICE,2,"2018/02/01 05:00:00",1,NSW1,10,60.12
D,TRADING,PRICE,2,"2018/02/01 05:00:00",1,QLD1,10,57.99
D,TRADING,PRICE,2,"2018/02/01 05:00:00",1,SA1,10,56.38
D,TRADING,PRICE,2,"2018/02/01 05:00:00",1,TAS1,10,80.89
D,TRADING,PRICE,2,"2018/02/01 05:00:00",1,VIC1,10,58.74
D,TRADING,PRICE,2,"2018/02/01 05:30:00",1,NSW1,11,67.02
D,TRADING,PRICE,2,"2018/02/01 05:30:00",1,QLD1,11,64.16
D,TRADING,PRICE,2,"2018/02/01 05:30:00",1,SA1,11,65.18
D,TRADING,PRICE,2,"2018/02/01 05:30:00",1,TAS1,11,81.28
D,TRADING,PRICE,2,"2018/02/01 05:30:00",1,VIC1,11,68.53
D,TRADING,PRICE,2,"2018/02/01 06:00:00",1,NSW1,12,79.86
D,TRADING,PRICE,2,"2018/02/01 06:00:00",1,QLD1,12,76.18
D,TRADING,PRICE,2,"2018/02/01 06:00:00",1,SA1,12,78.33
D,TRADING,PRICE,2,"2018/02/01 06:00:00",1,TAS1,12,89.55
D,TRADING,PRICE,2,"2018/02/01 06:00:00",1,VIC1,12,82.76
D,TRADING,PRICE,2,"2018/02/01 06:30:00",1,NSW1,13,81.51
D,TRADING,PRICE,2,"2018/02/01 06:30:00",1,QLD1,13,78.15
D,TRADING,PRICE,2,"2018/02/01 06:30:00",1,SA1,13,83.01
D,TRADING,PRICE,2,"2018/02/01 06:30:00",1,TAS1,13,90.99
D,TRADING,PRICE,2,"2018/02/01 06:30:00",1,VIC1,13,86.6
D,TRADING,PRICE,2,"2018/02/01 07:00:00",1,NSW1,14,87.45
D,TRADING,PRICE,2,"2018/02/01 07:00:00",1,QLD1,14,84.25
D,TRADING,PRICE,2,"2018/02/01 07:00:00",1,SA1,14,92.66
D,TRADING,PRICE,2,"2018/02/01 07:00:00",1,TAS1,14,98.42
D,TRADING,PRICE,2,"2018/02/01 07:00:00",1,VIC1,14,93.78
D,TRADING,PRICE,2,"2018/02/01 07:30:00",1,NSW1,15,75.45
D,TRADING,PRICE,2,"2018/02/01 07:30:00",1,QLD1,15,70.95
D,TRADING,PRICE,2,"2018/02/01 07:30:00",1,SA1,15,81.39
D,TRADING,PRICE,2,"2018/02/01 07:30:00",1,TAS1,15,86.24
D,TRADING,PRICE,2,"2018/02/01 07:30:00",1,VIC1,15,81.13
D,TRADING,PRICE,2,"2018/02/01 08:00:00",1,NSW1,16,66.83
D,TRADING,PRICE,2,"2018/02/01 08:00:00",1,QLD1,16,63.86
D,TRADING,PRICE,2,"2018/02/01 08:00:00",1,SA1,16,70.64
D,TRADING,PRICE,2,"2018/02/01 08:00:00",1,TAS1,16,80.89
D,TRADING,PRICE,2,"2018/02/01 08:00:00",1,VIC1,16,71.66
D,TRADING,PRICE,2,"2018/02/01 08:30:00",1,NSW1,17,66.19
D,TRADING,PRICE,2,"2018/02/01 08:30:00",1,QLD1,17,64.09
D,TRADING,PRICE,2,"2018/02/01 08:30:00",1,SA1,17,67.9
D,TRADING,PRICE,2,"2018/02/01 08:30:00",1,TAS1,17,80.89
D,TRADING,PRICE,2,"2018/02/01 08:30:00",1,VIC1,17,68.14
D,TRADING,PRICE,2,"2018/02/01 09:00:00",1,NSW1,18,64.45
D,TRADING,PRICE,2,"2018/02/01 09:00:00",1,QLD1,18,62.54
D,TRADING,PRICE,2,"2018/02/01 09:00:00",1,SA1,18,64.09
D,TRADING,PRICE,2,"2018/02/01 09:00:00",1,TAS1,18,80.89
