C,SETP.WORLD,DVD_BILLING_CO2E_PUBLICATION,AEMO,PUBLIC,2020/01/07,00:13:10,0000000317410054,,0000000317410030
I,BILLING,BILLING_CO2E_PUBLICATION,1,CONTRACTYEAR,WEEKNO,BILLRUNNO,SETTLEMENTDATE,REGIONID,SENTOUTENERGY,GENERATOREMISSIONS,INTENSITYINDEX
D,BILLING,BILLING_CO2E_PUBLICATION,1,2019,48,9,"2019/11/24 00:00:00",NEM,447217.26138882,351733.05755219,0.7865
D,BILLING,BILLING_CO2E_PUBLICATION,1,2019,48,9,"2019/11/24 00:00:00",NSW1,154282.422459,121393.38837860,0.7868
D,BILLING,BILLING_CO2E_PUBLICATION,1,2019,48,9,"2019/11/24 00:00:00",QLD1,151193.37763283,115148.48157096,0.7616
D,BILLING,BILLING_CO2E_PUBLICATION,1,2019,48,9,"2019/11/24 00:00:00",SA1,18884.49307899,6976.23604015,0.3694
D,BILLING,BILLING_CO2E_PUBLICATION,1,2019,48,9,"2019/11/24 00:00:00",TAS1,25693.534042,162.53654454,0.0063
D,BILLING,BILLING_CO2E_PUBLICATION,1,2019,48,9,"2019/11/24 00:00:00",VIC1,97163.434176,108052.41501794,1.1121
D,BILLING,BILLING_CO2E_PUBLICATION,1,2019,48,9,"2019/11/25 00:00:00",NEM,509687.75446916,376175.51514594,0.7381
D,BILLING,BILLING_CO2E_PUBLICATION,1,2019,48,9,"2019/11/25 00:00:00",NSW1,173444.58794699,135253.06503305,0.7798
D,BILLING,BILLING_CO2E_PUBLICATION,1,2019,48,9,"2019/11/25 00:00:00",QLD1,163194.95834117,124677.77776113,0.7640
D,BILLING,BILLING_CO2E_PUBLICATION,1,2019,48,9,"2019/11/25 00:00:00",SA1,36252.844888,6059.06731065,0.1671
D,BILLING,BILLING_CO2E_PUBLICATION,1,2019,48,9,"2019/11/25 00:00:00",TAS1,25652.681062,231.81585232,0.0090
D,BILLING,BILLING_CO2E_PUBLICATION,1,2019,48,9,"2019/11/25 00:00:00",VIC1,111142.682231,109953.78918879,0.9893
D,BILLING,BILLING_CO2E_PUBLICATION,1,2019,48,9,"2019/11/26 00:00:00",NEM,509538.06534492,367919.53212141,0.7221
D,BILLING,BILLING_CO2E_PUBLICATION,1,2019,48,9,"2019/11/26 00:00:00",NSW1,170248.79846901,127997.84380037,0.7518
D,BILLING,BILLING_CO2E_PUBLICATION,1,2019,48,9,"2019/11/26 00:00:00",QLD1,160932.13859191,122072.52163527,0.7585
D,BILLING,BILLING_CO2E_PUBLICATION,1,2019,48,9,"2019/11/26 00:00:00",SA1,32588.75274901,7146.23030839,0.2193
D,BILLING,BILLING_CO2E_PUBLICATION,1,2019,48,9,"2019/11/26 00:00:00",TAS1,22774.74754999,1.50762988,0.0001
D,BILLING,BILLING_CO2E_PUBLICATION,1,2019,48,9,"2019/11/26 00:00:00",VIC1,122993.627985,110701.42874750,0.9001
D,BILLING,BILLING_CO2E_PUBLICATION,1,2019,48,9,"2019/11/27 00:00:00",NEM,486124.99600793,375151.66820801,0.7717
D,BILLING,BILLING_CO2E_PUBLICATION,1,2019,48,9,"2019/11/27 00:00:00",NSW1,159436.123483,129459.34169451,0.8120
D,BILLING,BILLING_CO2E_PUBLICATION,1,2019,48,9,"2019/11/27 00:00:00",QLD1,161975.73073193,124580.41353655,0.7691
D,BILLING,BILLING_CO2E_PUBLICATION,1,2019,48,9,"2019/11/27 00:00:00",SA1,28180.559283,8701.04008179,0.3088
D,BILLING,BILLING_CO2E_PUBLICATION,1,2019,48,9,"2019/11/27 00:00:00",TAS1,25603.629137,65.49784536,0.0026
D,BILLING,BILLING_CO2E_PUBLICATION,1,2019,48,9,"2019/11/27 00:00:00",VIC1,110928.953373,112345.37504980,1.0128
D,BILLING,BILLING_CO2E_PUBLICATION,1,2019,48,9,"2019/11/28 00:00:00",NEM,497289.34725902,386637.19180961,0.7775
D,BILLING,BILLING_CO2E_PUBLICATION,1,2019,48,9,"2019/11/28 00:00:00",NSW1,168474.79093802,137294.20379382,0.8149
