SETTLEMENTDATE,REGIONID,AVGRRP,PEAKRRP
2018/05/01 00:00:00,QLD1,63.83,67.09
2018/05/01 00:00:00,TAS1,94.71,84.56
2018/05/01 00:00:00,NSW1,69.16,72.91
2018/05/01 00:00:00,VIC1,71.99,77.11
2018/05/01 00:00:00,SA1,83.03,93.24
2018/05/02 00:00:00,NSW1,66.51,73.92
2018/05/02 00:00:00,VIC1,65.05,73.46
2018/05/02 00:00:00,SA1,65.72,73.81
2018/05/02 00:00:00,QLD1,57.31,64.04
2018/05/02 00:00:00,TAS1,83.82,82.93
2018/05/03 00:00:00,TAS1,123.75,134.5
2018/05/03 00:00:00,NSW1,57.62,61.31
2018/05/03 00:00:00,SA1,56.60,65.5
2018/05/03 00:00:00,VIC1,50.61,61.13
2018/05/03 00:00:00,QLD1,48.84,59.16
2018/05/04 00:00:00,NSW1,55.02,60.19
2018/05/04 00:00:00,SA1,55.86,62.51
2018/05/04 00:00:00,QLD1,57.61,63.55
2018/05/04 00:00:00,VIC1,52.90,60.67
2018/05/04 00:00:00,TAS1,89.52,91.54
2018/05/05 00:00:00,QLD1,52.36,N/A
2018/05/05 00:00:00,NSW1,54.46,N/A
2018/05/05 00:00:00,TAS1,75.23,N/A
2018/05/05 00:00:00,SA1,70.15,N/A
2018/05/05 00:00:00,VIC1,58.42,N/A
2018/05/06 00:00:00,QLD1,55.24,N/A
2018/05/06 00:00:00,VIC1,59.49,N/A
2018/05/06 00:00:00,TAS1,73.24,N/A
2018/05/06 00:00:00,NSW1,58.72,N/A
2018/05/06 00:00:00,SA1,68.74,N/A
2018/05/07 00:00:00,TAS1,74.74,74.17
2018/05/07 00:00:00,NSW1,56.67,61.46
2018/05/07 00:00:00,QLD1,52.30,55.86
2018/05/07 00:00:00,SA1,52.26,63.29
2018/05/07 00:00:00,VIC1,47.81,58.22
2018/05/08 00:00:00,QLD1,75.38,82.92
2018/05/08 00:00:00,NSW1,85.53,94.29
2018/05/08 00:00:00,VIC1,100.27,105.69
2018/05/08 00:00:00,TAS1,74.71,76.62
2018/05/08 00:00:00,SA1,120.31,126.3
2018/05/09 00:00:00,QLD1,61.12,62.23
2018/05/09 00:00:00,VIC1,118.48,145.86
2018/05/09 00:00:00,TAS1,73.55,73.8
2018/05/09 00:00:00,SA1,136.28,165.95
2018/05/09 00:00:00,NSW1,71.43,74.38
2018/05/10 00:00:00,SA1,59.25,70.32
2018/05/10 00:00:00,QLD1,56.84,59.63
2018/05/10 00:00:00,VIC1,59.65,70.47
2018/05/10 00:00:00,NSW1,67.08,70.55
2018/05/10 00:00:00,TAS1,77.25,79.1
2018/05/11 00:00:00,SA1,61.57,75.34
2018/05/11 00:00:00,NSW1,62.56,68.44
2018/05/11 00:00:00,TAS1,73.32,73.87
2018/05/11 00:00:00,QLD1,54.52,58.36
2018/05/11 00:00:00,VIC1,60.32,74.22
2018/05/12 00:00:00,NSW1,63.61,N/A
2018/05/12 00:00:00,SA1,67.37,N/A
2018/05/12 00:00:00,QLD1,53.22,N/A
2018/05/12 00:00:00,TAS1,74.35,N/A
2018/05/12 00:00:00,VIC1,61.59,N/A
2018/05/13 00:00:00,NSW1,63.40,N/A
2018/05/13 00:00:00,QLD1,54.50,N/A
2018/05/13 00:00:00,TAS1,75.09,N/A
2018/05/13 00:00:00,SA1,76.98,N/A
2018/05/13 00:00:00,VIC1,65.86,N/A
2018/05/14 00:00:00,VIC1,107.26,116.75
2018/05/14 00:00:00,SA1,128.43,139.93
2018/05/14 00:00:00,TAS1,74.22,74.4
2018/05/14 00:00:00,QLD1,70.42,72.27
2018/05/14 00:00:00,NSW1,81.93,84.79
2018/05/15 00:00:00,VIC1,95.43,101.06
2018/05/15 00:00:00,QLD1,73.09,76.15
2018/05/15 00:00:00,SA1,108.55,114.45
2018/05/15 00:00:00,TAS1,77.80,80.97
2018/05/15 00:00:00,NSW1,85.44,88.33
2018/05/16 00:00:00,SA1,127,146.27
2018/05/16 00:00:00,TAS1,80.63,83
2018/05/16 00:00:00,QLD1,58.63,54.44
2018/05/16 00:00:00,VIC1,119.51,136.16
2018/05/16 00:00:00,NSW1,119.54,134.95
2018/05/17 00:00:00,NSW1,108.92,116.48
2018/05/17 00:00:00,VIC1,105.81,113.47
2018/05/17 00:00:00,QLD1,74.45,78.09
2018/05/17 00:00:00,SA1,116.97,128.35
2018/05/17 00:00:00,TAS1,73.48,72.21
2018/05/18 00:00:00,TAS1,77.95,80.02
2018/05/18 00:00:00,SA1,108.58,110.72
2018/05/18 00:00:00,QLD1,79.68,79.77
2018/05/18 00:00:00,NSW1,97.39,99.2
2018/05/18 00:00:00,VIC1,95.24,97.06
2018/05/19 00:00:00,SA1,105.26,N/A
2018/05/19 00:00:00,NSW1,91.39,N/A
2018/05/19 00:00:00,VIC1,92.94,N/A
2018/05/19 00:00:00,TAS1,70.82,N/A
2018/05/19 00:00:00,QLD1,69.43,N/A
2018/05/20 00:00:00,TAS1,50.38,N/A
2018/05/20 00:00:00,VIC1,76.23,N/A
2018/05/20 00:00:00,SA1,93.75,N/A
2018/05/20 00:00:00,NSW1,71.84,N/A
2018/05/20 00:00:00,QLD1,61.13,N/A
2018/05/21 00:00:00,VIC1,79.39,91.61
2018/05/21 00:00:00,TAS1,65.01,70.56
2018/05/21 00:00:00,QLD1,69.17,76.37
2018/05/21 00:00:00,SA1,87.57,98.74
2018/05/21 00:00:00,NSW1,80.33,89.37
2018/05/22 00:00:00,QLD1,71.25,71.62
2018/05/22 00:00:00,TAS1,62.31,61.51
2018/05/22 00:00:00,VIC1,91.22,95.15
2018/05/22 00:00:00,SA1,108.20,114.54
2018/05/22 00:00:00,NSW1,83.46,85.28
2018/05/23 00:00:00,SA1,141.35,149.24
2018/05/23 00:00:00,TAS1,68.67,69.86
2018/05/23 00:00:00,VIC1,117.26,122.33
2018/05/23 00:00:00,QLD1,73.07,68.08
2018/05/23 00:00:00,NSW1,108.10,115.39
2018/05/24 00:00:00,VIC1,96.03,99.99
2018/05/24 00:00:00,TAS1,72.38,77.2
2018/05/24 00:00:00,QLD1,75.99,77.77
2018/05/24 00:00:00,NSW1,86.94,89.33
2018/05/24 00:00:00,SA1,107.97,113.64
2018/05/25 00:00:00,VIC1,90.11,95.95
2018/05/25 00:00:00,QLD1,78.56,82.43
2018/05/25 00:00:00,TAS1,75.09,77.33
2018/05/25 00:00:00,NSW1,88.64,93.39
2018/05/25 00:00:00,SA1,92.18,102.16
2018/05/26 00:00:00,QLD1,64.99,N/A
2018/05/26 00:00:00,TAS1,76.72,N/A
2018/05/26 00:00:00,VIC1,72.79,N/A
2018/05/26 00:00:00,NSW1,72.84,N/A
2018/05/26 00:00:00,SA1,69.92,N/A
2018/05/27 00:00:00,NSW1,66.23,N/A
2018/05/27 00:00:00,VIC1,51.36,N/A
2018/05/27 00:00:00,SA1,53,N/A
2018/05/27 00:00:00,QLD1,60.80,N/A
2018/05/27 00:00:00,TAS1,76.70,N/A
2018/05/28 00:00:00,QLD1,72.25,79.97
2018/05/28 00:00:00,VIC1,66.13,81.87
2018/05/28 00:00:00,NSW1,78.05,87.02
2018/05/28 00:00:00,TAS1,78.73,79.7
2018/05/28 00:00:00,SA1,58.19,67.35
2018/05/29 00:00:00,QLD1,75.92,83.6
2018/05/29 00:00:00,SA1,74.42,89.73
2018/05/29 00:00:00,NSW1,82.05,90
2018/05/29 00:00:00,TAS1,73.45,71.21
2018/05/29 00:00:00,VIC1,76.27,92.5
2018/05/30 00:00:00,TAS1,79.44,86.27
2018/05/30 00:00:00,SA1,86.30,91.23
2018/05/30 00:00:00,VIC1,80.60,83.75
2018/05/30 00:00:00,NSW1,79.47,82.27
2018/05/30 00:00:00,QLD1,71.31,73.78
2018/05/31 00:00:00,QLD1,74.12,79.19
2018/05/31 00:00:00,NSW1,80.98,86.45
2018/05/31 00:00:00,VIC1,87.58,94.78
2018/05/31 00:00:00,TAS1,76.42,76.52
2018/05/31 00:00:00,SA1,102.16,111.03
