YEAR,MONTHNUMBER,MONTH,REGIONID,AVGRRP,PEAKRRP
2023,2023/07/31 00:00:00,JULY,NSW1,84.15000000,93.26000000
2023,2023/07/31 00:00:00,JULY,QLD1,77.27000000,82.60000000
2023,2023/07/31 00:00:00,JULY,SA1,72.76000000,94.66000000
2023,2023/07/31 00:00:00,JULY,TAS1,23.32000000,32.62000000
2023,2023/07/31 00:00:00,JULY,VIC1,55.21000000,75.97000000
2023,2023/08/31 00:00:00,AUGUST,NSW1,93.31000000,104.13000000
2023,2023/08/31 00:00:00,AUGUST,QLD1,67.63000000,63.80000000
2023,2023/08/31 00:00:00,AUGUST,SA1,160.26000000,214.89000000
2023,2023/08/31 00:00:00,AUGUST,TAS1,37.65000000,37.77000000
2023,2023/08/31 00:00:00,AUGUST,VIC1,64.66000000,79.54000000
2023,2023/09/30 00:00:00,SEPTEMBER,NSW1,64.54000000,70.32000000
2023,2023/09/30 00:00:00,SEPTEMBER,QLD1,50.77000000,49.13000000
2023,2023/09/30 00:00:00,SEPTEMBER,SA1,41.32000000,34.48000000
2023,2023/09/30 00:00:00,SEPTEMBER,TAS1,26.71000000,24.86000000
2023,2023/09/30 00:00:00,SEPTEMBER,VIC1,26.31000000,28.25000000
2023,2023/10/31 00:00:00,OCTOBER,NSW1,42.08000000,42.05000000
2023,2023/10/31 00:00:00,OCTOBER,QLD1,37.05000000,32.14000000
2023,2023/10/31 00:00:00,OCTOBER,SA1,15.12000000,9.59000000
2023,2023/10/31 00:00:00,OCTOBER,TAS1,37.66000000,36.02000000
2023,2023/10/31 00:00:00,OCTOBER,VIC1,17.19000000,15.18000000
