C,SETP.WORLD,DVD_BILLING_CO2E_PUBLICATION,AEMO,PUBLIC,2018/04/12,00:00:13,0000000293760845,,0000000293760821
I,BILLING,BILLING_CO2E_PUBLICATION,1,CONTRACTYEAR,WEEKNO,BILLRUNNO,SETTLEMENTDATE,REGIONID,SENTOUTENERGY,GENERATOREMISSIONS,INTENSITYINDEX
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,8,9,"2018/02/18 00:00:00",NEM,512224.43775491,442367.00376290,0.8636
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,8,9,"2018/02/18 00:00:00",NSW1,181357.99785001,157016.66801430,0.8658
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,8,9,"2018/02/18 00:00:00",QLD1,173931.82301091,149042.70246770,0.8569
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,8,9,"2018/02/18 00:00:00",SA1,33291.62570899,11696.89605098,0.3513
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,8,9,"2018/02/18 00:00:00",TAS1,23557.036050,3034.70803791,0.1288
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,8,9,"2018/02/18 00:00:00",VIC1,100085.955135,121576.02919201,1.2147
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,8,9,"2018/02/19 00:00:00",NEM,553665.75020099,447957.68797895,0.8091
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,8,9,"2018/02/19 00:00:00",NSW1,195816.73929901,163443.00012687,0.8347
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,8,9,"2018/02/19 00:00:00",QLD1,178189.80064999,151030.09091799,0.8476
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,8,9,"2018/02/19 00:00:00",SA1,40075.606725,9175.92773077,0.2290
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,8,9,"2018/02/19 00:00:00",TAS1,22927.245864,3078.07035224,0.1343
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,8,9,"2018/02/19 00:00:00",VIC1,116656.35766299,121230.59885108,1.0392
