C,SETP.WORLD,DVD_BILLING_CO2E_PUBLICATION,AEMO,PUBLIC,2024/09/08,20:24:54,001725791094721,MONTHLY_ARCHIVE,001725791094721
I,BILLING,BILLING_CO2E_PUBLICATION,1,CONTRACTYEAR,WEEKNO,BILLRUNNO,SETTLEMENTDATE,REGIONID,SENTOUTENERGY,GENERATOREMISSIONS,INTENSITYINDEX
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,33,9,"2024/08/11 00:00:00",NEM,485237.80422429,315321.34509854,0.6498
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,33,9,"2024/08/11 00:00:00",NSW1,170178.90015678,112783.00150013,0.6627
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,33,9,"2024/08/11 00:00:00",QLD1,146123.26692739,98573.02240233,0.6746
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,33,9,"2024/08/11 00:00:00",SA1,40482.48031549,8837.03854467,0.2183
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,33,9,"2024/08/11 00:00:00",TAS1,26692.0998864,2520.28742922,0.0944
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,33,9,"2024/08/11 00:00:00",VIC1,101761.05693823,92607.99522219,0.9101
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,33,9,"2024/08/12 00:00:00",NEM,542352.3332714,322784.04257344,0.5952
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,33,9,"2024/08/12 00:00:00",NSW1,193691.81695431,123828.39540789,0.6393
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,33,9,"2024/08/12 00:00:00",QLD1,148102.01620254,103874.24957452,0.7014
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,33,9,"2024/08/12 00:00:00",SA1,39782.20046145,2453.2581941,0.0617
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,33,9,"2024/08/12 00:00:00",TAS1,22459.69512985,2456.77831963,0.1094
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,33,9,"2024/08/12 00:00:00",VIC1,138316.60452325,90171.3610773,0.6519
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,33,9,"2024/08/13 00:00:00",NEM,538812.57138901,318735.87740648,0.5916
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,33,9,"2024/08/13 00:00:00",NSW1,183415.08341284,120086.35099137,0.6547
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,33,9,"2024/08/13 00:00:00",QLD1,158312.76771462,106892.91492658,0.6752
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,33,9,"2024/08/13 00:00:00",SA1,38167.10350412,4350.2224663,0.114
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,33,9,"2024/08/13 00:00:00",TAS1,21374.81767867,2526.67713358,0.1182
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,33,9,"2024/08/13 00:00:00",VIC1,137542.79907876,84879.71188865,0.6171
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,33,9,"2024/08/14 00:00:00",NEM,528785.35340589,331797.63360639,0.6275
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,33,9,"2024/08/14 00:00:00",NSW1,180608.06073771,128136.25495618,0.7095
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,33,9,"2024/08/14 00:00:00",QLD1,158526.12832321,106720.16170618,0.6732
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,33,9,"2024/08/14 00:00:00",SA1,37324.38863724,5756.1454337,0.1542
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,33,9,"2024/08/14 00:00:00",TAS1,20659.90319268,2522.78788121,0.1221
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,33,9,"2024/08/14 00:00:00",VIC1,131666.87251505,88662.28362912,0.6734
