C,SETP.WORLD,DVD_BILLING_CO2E_PUBLICATION,AEMO,PUBLIC,2025/01/10,14:15:30,001736482530579,MONTHLY_ARCHIVE,001736482530579
I,BILLING,BILLING_CO2E_PUBLICATION,1,CONTRACTYEAR,WEEKNO,BILLRUNNO,SETTLEMENTDATE,REGIONID,SENTOUTENERGY,GENERATOREMISSIONS,INTENSITYINDEX
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,49,9,"2024/12/01 00:00:00",NEM,473528.51666297,276579.98100292,0.5841
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,49,9,"2024/12/01 00:00:00",NSW1,161833.85081382,97088.59528055,0.5999
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,49,9,"2024/12/01 00:00:00",QLD1,159015.34441536,106752.16401478,0.6713
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,49,9,"2024/12/01 00:00:00",SA1,17133.29821689,4215.02182041,0.246
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,49,9,"2024/12/01 00:00:00",TAS1,21391.7555681,0,0
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,49,9,"2024/12/01 00:00:00",VIC1,114154.2676488,68524.19988718,0.6003
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,49,9,"2024/12/02 00:00:00",NEM,532074.88589946,296175.53392504,0.5566
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,49,9,"2024/12/02 00:00:00",NSW1,182759.05913072,103535.36387848,0.5665
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,49,9,"2024/12/02 00:00:00",QLD1,173505.00066012,111514.40402208,0.6427
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,49,9,"2024/12/02 00:00:00",SA1,35264.50007666,5311.10006696,0.1506
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,49,9,"2024/12/02 00:00:00",TAS1,27097.83345073,62.69918595,0.0023
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,49,9,"2024/12/02 00:00:00",VIC1,113448.49258123,75751.96677157,0.6677
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,49,9,"2024/12/03 00:00:00",NEM,548272.98724386,317221.12736559,0.5786
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,49,9,"2024/12/03 00:00:00",NSW1,191842.95218173,120773.9682621,0.6295
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,49,9,"2024/12/03 00:00:00",QLD1,171148.22759853,116996.78548488,0.6836
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,49,9,"2024/12/03 00:00:00",SA1,28797.52954313,3741.08540054,0.1299
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,49,9,"2024/12/03 00:00:00",TAS1,23802.97485181,0,0
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,49,9,"2024/12/03 00:00:00",VIC1,132681.30306866,75709.28821807,0.5706
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,49,9,"2024/12/04 00:00:00",NEM,500824.76640714,316048.78862798,0.6311
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,49,9,"2024/12/04 00:00:00",NSW1,175012.87526697,112478.55049112,0.6427
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,49,9,"2024/12/04 00:00:00",QLD1,168113.40203477,113376.50714458,0.6744
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,49,9,"2024/12/04 00:00:00",SA1,29481.20078878,3760.16851434,0.1275
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,49,9,"2024/12/04 00:00:00",TAS1,19575.99517979,5.32694764,0.0003
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,49,9,"2024/12/04 00:00:00",VIC1,108641.29313683,86428.2355303,0.7955
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,49,9,"2024/12/05 00:00:00",NEM,542055.23854625,330823.37746765,0.6103
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,49,9,"2024/12/05 00:00:00",NSW1,183317.00811297,114764.80098018,0.626
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,49,9,"2024/12/05 00:00:00",QLD1,172904.47372528,116615.40082938,0.6744
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,49,9,"2024/12/05 00:00:00",SA1,39972.14770279,8440.02354748,0.2111
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,49,9,"2024/12/05 00:00:00",TAS1,23831.4475402,0,0
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,49,9,"2024/12/05 00:00:00",VIC1,122030.16146501,91003.15211061,0.7457
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,49,9,"2024/12/06 00:00:00",NEM,566258.89445545,335326.41378348,0.5922
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,49,9,"2024/12/06 00:00:00",NSW1,193244.45272687,124186.56695814,0.6426
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,49,9,"2024/12/06 00:00:00",QLD1,175865.63684811,109837.31358358,0.6246
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,49,9,"2024/12/06 00:00:00",SA1,37129.29301488,8140.92032278,0.2193
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,49,9,"2024/12/06 00:00:00",TAS1,27751.55445392,0,0
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,49,9,"2024/12/06 00:00:00",VIC1,132267.95741167,93161.61291898,0.7043
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,49,9,"2024/12/07 00:00:00",NEM,519207.14971804,294406.57891513,0.567
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,49,9,"2024/12/07 00:00:00",NSW1,190663.94191356,115417.62907921,0.6053
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,49,9,"2024/12/07 00:00:00",QLD1,160583.71846336,101504.87087399,0.6321
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,49,9,"2024/12/07 00:00:00",SA1,26919.57328008,2372.62103989,0.0881
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,49,9,"2024/12/07 00:00:00",TAS1,20138.71340251,0,0
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,49,9,"2024/12/07 00:00:00",VIC1,120901.20265853,75111.45792204,0.6213
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,50,10,"2024/12/08 00:00:00",NEM,476669.82312288,274294.41750307,0.5754
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,50,10,"2024/12/08 00:00:00",NSW1,176088.26690993,99793.85163694,0.5667
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,50,10,"2024/12/08 00:00:00",QLD1,165285.1811941,103056.18093801,0.6235
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,50,10,"2024/12/08 00:00:00",SA1,17711.96166707,2196.37777995,0.124
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,50,10,"2024/12/08 00:00:00",TAS1,22291.45527812,0,0
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,50,10,"2024/12/08 00:00:00",VIC1,95292.95807366,69248.00714817,0.7267
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,50,10,"2024/12/09 00:00:00",NEM,516434.46981338,326646.43403602,0.6325
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,50,10,"2024/12/09 00:00:00",NSW1,179079.16948469,120099.41384758,0.6706
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,50,10,"2024/12/09 00:00:00",QLD1,179154.93773667,116272.36132988,0.649
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,50,10,"2024/12/09 00:00:00",SA1,26062.26917278,5414.55494672,0.2078
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,50,10,"2024/12/09 00:00:00",TAS1,30795.519354,0,0
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,50,10,"2024/12/09 00:00:00",VIC1,101342.57406524,84860.10391184,0.8374
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,50,10,"2024/12/10 00:00:00",NEM,498478.16643289,304187.23591798,0.6102
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,50,10,"2024/12/10 00:00:00",NSW1,169487.87927222,105917.56043685,0.6249
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,50,10,"2024/12/10 00:00:00",QLD1,172271.96054444,117574.6368813,0.6825
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,50,10,"2024/12/10 00:00:00",SA1,29515.31225592,4241.16237478,0.1437
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,50,10,"2024/12/10 00:00:00",TAS1,27582.4912458,0,0
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,50,10,"2024/12/10 00:00:00",VIC1,99620.52311451,76453.87622505,0.7675
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,50,10,"2024/12/11 00:00:00",NEM,482195.65123381,282198.89693256,0.5852
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,50,10,"2024/12/11 00:00:00",NSW1,175446.9118317,103508.4952313,0.59
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,50,10,"2024/12/11 00:00:00",QLD1,153223.62253683,102185.73841226,0.6669
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,50,10,"2024/12/11 00:00:00",SA1,23759.75178451,3750.11588373,0.1578
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,50,10,"2024/12/11 00:00:00",TAS1,26297.23388328,0,0
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,50,10,"2024/12/11 00:00:00",VIC1,103468.13119749,72754.54740527,0.7032
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,50,10,"2024/12/12 00:00:00",NEM,496600.70687426,291167.4931155,0.5863
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,50,10,"2024/12/12 00:00:00",NSW1,166857.39207106,103369.76646255,0.6195
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,50,10,"2024/12/12 00:00:00",QLD1,164768.3000455,104643.24848057,0.6351
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,50,10,"2024/12/12 00:00:00",SA1,27719.11831316,4942.85794287,0.1783
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,50,10,"2024/12/12 00:00:00",TAS1,27451.70217395,0,0
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,50,10,"2024/12/12 00:00:00",VIC1,109804.19427059,78211.62022951,0.7123
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,50,10,"2024/12/13 00:00:00",NEM,525421.39278379,306605.91866445,0.5835
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,50,10,"2024/12/13 00:00:00",NSW1,189874.66002978,114532.73004824,0.6032
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,50,10,"2024/12/13 00:00:00",QLD1,173191.49430986,109113.67327688,0.63
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,50,10,"2024/12/13 00:00:00",SA1,29200.03835261,5603.32876215,0.1919
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,50,10,"2024/12/13 00:00:00",TAS1,28611.93643512,182.08221412,0.0064
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,50,10,"2024/12/13 00:00:00",VIC1,104543.26365642,77174.10436306,0.7382
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,50,10,"2024/12/14 00:00:00",NEM,504228.61665389,302023.36090946,0.599
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,50,10,"2024/12/14 00:00:00",NSW1,177957.4118202,109659.18626054,0.6162
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,50,10,"2024/12/14 00:00:00",QLD1,169463.70007382,106607.60201354,0.6291
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,50,10,"2024/12/14 00:00:00",SA1,32691.05613876,5511.59911039,0.1686
D,BILLING,BILLING_CO2E_PUBLICATION,1,2024,50,10,"2024/12/14 00:00:00",TAS1,27498.48037631,211.72823615,0.0077
