C,SETP.WORLD,DVD_BILLING_CO2E_PUBLICATION,AEMO,PUBLIC,2020/07/09,00:13:27,0000000325429896,,0000000325429872
I,BILLING,BILLING_CO2E_PUBLICATION,1,CONTRACTYEAR,WEEKNO,BILLRUNNO,SETTLEMENTDATE,REGIONID,SENTOUTENERGY,GENERATOREMISSIONS,INTENSITYINDEX
D,BILLING,BILLING_CO2E_PUBLICATION,1,2020,22,9,"2020/05/24 00:00:00",NEM,491125.05177136,352825.75647329,0.7184
D,BILLING,BILLING_CO2E_PUBLICATION,1,2020,22,9,"2020/05/24 00:00:00",NSW1,162534.33934101,130402.33991907,0.8023
D,BILLING,BILLING_CO2E_PUBLICATION,1,2020,22,9,"2020/05/24 00:00:00",QLD1,145674.44752134,105773.44239881,0.7261
D,BILLING,BILLING_CO2E_PUBLICATION,1,2020,22,9,"2020/05/24 00:00:00",SA1,28328.796445,8489.86436594,0.2997
D,BILLING,BILLING_CO2E_PUBLICATION,1,2020,22,9,"2020/05/24 00:00:00",TAS1,30276.733541,42.81488713,0.0014
D,BILLING,BILLING_CO2E_PUBLICATION,1,2020,22,9,"2020/05/24 00:00:00",VIC1,124310.73492301,108117.29490234,0.8697
D,BILLING,BILLING_CO2E_PUBLICATION,1,2020,22,9,"2020/05/25 00:00:00",NEM,533732.58572742,379104.48627890,0.7103
D,BILLING,BILLING_CO2E_PUBLICATION,1,2020,22,9,"2020/05/25 00:00:00",NSW1,177893.7631,146252.52020707,0.8221
D,BILLING,BILLING_CO2E_PUBLICATION,1,2020,22,9,"2020/05/25 00:00:00",QLD1,154188.74782042,111012.43359472,0.72
D,BILLING,BILLING_CO2E_PUBLICATION,1,2020,22,9,"2020/05/25 00:00:00",SA1,39520.545739,13182.21927045,0.3336
D,BILLING,BILLING_CO2E_PUBLICATION,1,2020,22,9,"2020/05/25 00:00:00",TAS1,33308.749688,187.13883140,0.0056
D,BILLING,BILLING_CO2E_PUBLICATION,1,2020,22,9,"2020/05/25 00:00:00",VIC1,128820.779380,108470.17437526,0.8420
D,BILLING,BILLING_CO2E_PUBLICATION,1,2020,22,9,"2020/05/26 00:00:00",NEM,533853.04043617,370308.09533521,0.6937
D,BILLING,BILLING_CO2E_PUBLICATION,1,2020,22,9,"2020/05/26 00:00:00",NSW1,178181.15307925,151637.22540958,0.8510
D,BILLING,BILLING_CO2E_PUBLICATION,1,2020,22,9,"2020/05/26 00:00:00",QLD1,152920.35051592,111521.47610851,0.7293
