SETTLEMENTDATE,REGIONID,AVGRRP,PEAKRRP
2024/02/01 00:00:00,QLD1,107.15000000,117.65000000
2024/02/01 00:00:00,SA1,10.41000000,-21.40000000
2024/02/01 00:00:00,NSW1,93.41000000,104.47000000
2024/02/01 00:00:00,TAS1,37.07000000,25.09000000
2024/02/01 00:00:00,VIC1,1.46000000,-30.60000000
2024/02/02 00:00:00,VIC1,15.08000000,-8.49000000
2024/02/02 00:00:00,SA1,21.08000000,-7.40000000
2024/02/02 00:00:00,QLD1,149.63000000,155.95000000
2024/02/02 00:00:00,TAS1,28.21000000,12.48000000
2024/02/02 00:00:00,NSW1,120.64000000,138.45000000
2024/02/03 00:00:00,TAS1,35.11000000,N/A
2024/02/03 00:00:00,QLD1,95.32000000,N/A
2024/02/03 00:00:00,SA1,77.85000000,N/A
2024/02/03 00:00:00,NSW1,87.76000000,N/A
2024/02/03 00:00:00,VIC1,42.90000000,N/A
2024/02/04 00:00:00,NSW1,105.90000000,N/A
2024/02/04 00:00:00,QLD1,105.71000000,N/A
2024/02/04 00:00:00,SA1,59.52000000,N/A
2024/02/04 00:00:00,TAS1,43.12000000,N/A
2024/02/04 00:00:00,VIC1,53.60000000,N/A
2024/02/05 00:00:00,NSW1,198.96000000,254.76000000
2024/02/05 00:00:00,QLD1,156.70000000,181.87000000
2024/02/05 00:00:00,TAS1,57.65000000,57.66000000
2024/02/05 00:00:00,SA1,40.37000000,20.58000000
2024/02/05 00:00:00,VIC1,53.38000000,49.47000000
2024/02/06 00:00:00,SA1,13.76000000,-21.12000000
2024/02/06 00:00:00,VIC1,10.29000000,-24.25000000
2024/02/06 00:00:00,TAS1,41.44000000,26.71000000
2024/02/06 00:00:00,NSW1,68.48000000,53.70000000
2024/02/06 00:00:00,QLD1,146.41000000,164.08000000
2024/02/07 00:00:00,SA1,16.72000000,-9.74000000
2024/02/07 00:00:00,NSW1,58.01000000,53.12000000
2024/02/07 00:00:00,QLD1,82.86000000,72.78000000
2024/02/07 00:00:00,TAS1,45.64000000,31.98000000
2024/02/07 00:00:00,VIC1,13.90000000,-11.64000000
2024/02/08 00:00:00,VIC1,21.18000000,5.18000000
2024/02/08 00:00:00,TAS1,52.24000000,40.67000000
2024/02/08 00:00:00,SA1,23.85000000,7.28000000
2024/02/08 00:00:00,NSW1,68.31000000,75.08000000
2024/02/08 00:00:00,QLD1,82.50000000,88.45000000
2024/02/09 00:00:00,SA1,7.93000000,-20.62000000
2024/02/09 00:00:00,QLD1,81.28000000,81.76000000
2024/02/09 00:00:00,NSW1,59.32000000,52.91000000
2024/02/09 00:00:00,VIC1,4.76000000,-23.41000000
2024/02/09 00:00:00,TAS1,37.92000000,20.62000000
2024/02/10 00:00:00,TAS1,33.57000000,N/A
2024/02/10 00:00:00,QLD1,44.06000000,N/A
2024/02/10 00:00:00,SA1,-2.98000000,N/A
2024/02/10 00:00:00,VIC1,-6.75000000,N/A
