C,SETP.WORLD,DVD_BILLING_CO2E_PUBLICATION,AEMO,PUBLIC,2018/11/08,00:00:21,0000000300863676,,0000000300863652
I,BILLING,BILLING_CO2E_PUBLICATION,1,CONTRACTYEAR,WEEKNO,BILLRUNNO,SETTLEMENTDATE,REGIONID,SENTOUTENERGY,GENERATOREMISSIONS,INTENSITYINDEX
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,39,10,"2018/09/23 00:00:00",NEM,461103.39454797,374235.11581518,0.8116
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,39,10,"2018/09/23 00:00:00",NSW1,155217.89096899,134378.54629464,0.8657
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,39,10,"2018/09/23 00:00:00",QLD1,142358.901201,127927.16353797,0.8986
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,39,10,"2018/09/23 00:00:00",SA1,23806.68007699,7309.37878096,0.3070
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,39,10,"2018/09/23 00:00:00",TAS1,41075.50969299,193.09569423,0.0047
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,39,10,"2018/09/23 00:00:00",VIC1,98644.412608,104426.93150738,1.0586
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,39,10,"2018/09/24 00:00:00",NEM,511647.56951398,405408.90338426,0.7924
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,39,10,"2018/09/24 00:00:00",NSW1,176762.33988099,148479.22843365,0.84
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,39,10,"2018/09/24 00:00:00",QLD1,156368.04805199,140238.18884338,0.8968
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,39,10,"2018/09/24 00:00:00",SA1,35276.495685,10214.09615203,0.2895
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,39,10,"2018/09/24 00:00:00",TAS1,37881.226347,688.04824070,0.0182
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,39,10,"2018/09/24 00:00:00",VIC1,105359.459549,105789.34171450,1.0041
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,39,10,"2018/09/25 00:00:00",NEM,515118.47452376,418734.20482430,0.8129
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,39,10,"2018/09/25 00:00:00",NSW1,177934.193619,151442.40356376,0.8511
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,39,10,"2018/09/25 00:00:00",QLD1,158891.42910775,143661.12681508,0.9041
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,39,10,"2018/09/25 00:00:00",SA1,30540.32460801,11935.18079911,0.3908
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,39,10,"2018/09/25 00:00:00",TAS1,37503.494449,1435.70620919,0.0383
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,39,10,"2018/09/25 00:00:00",VIC1,110249.032740,110259.78743716,1.0001
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,39,10,"2018/09/26 00:00:00",NEM,511777.67054423,413889.15289350,0.8087
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,39,10,"2018/09/26 00:00:00",NSW1,179069.518548,151222.20428526,0.8445
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,39,10,"2018/09/26 00:00:00",QLD1,158821.39900723,142296.42794643,0.8960
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,39,10,"2018/09/26 00:00:00",SA1,28334.233486,10679.75750049,0.3769
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,39,10,"2018/09/26 00:00:00",TAS1,37590.869518,722.68820504,0.0192
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,39,10,"2018/09/26 00:00:00",VIC1,107961.649985,108968.07495628,1.0093
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,39,10,"2018/09/27 00:00:00",NEM,496430.04108303,408890.81541442,0.8237
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,39,10,"2018/09/27 00:00:00",NSW1,170276.806290,147886.61497078,0.8685
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,39,10,"2018/09/27 00:00:00",QLD1,155062.65864803,139960.14921660,0.9026
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,39,10,"2018/09/27 00:00:00",SA1,26719.337284,8831.57507007,0.3305
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,39,10,"2018/09/27 00:00:00",TAS1,33861.340648,419.67841468,0.0124
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,39,10,"2018/09/27 00:00:00",VIC1,110509.898213,111792.79774229,1.0116
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,39,10,"2018/09/28 00:00:00",NEM,487584.630132,395777.59834898,0.8117
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,39,10,"2018/09/28 00:00:00",NSW1,168453.175422,141236.83848031,0.8384
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,39,10,"2018/09/28 00:00:00",QLD1,153237.451295,134459.28666768,0.8775
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,39,10,"2018/09/28 00:00:00",SA1,30072.326648,8292.06543097,0.2757
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,39,10,"2018/09/28 00:00:00",TAS1,31908.392211,379.55557374,0.0119
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,39,10,"2018/09/28 00:00:00",VIC1,103913.284556,111409.85219628,1.0721
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,39,10,"2018/09/29 00:00:00",NEM,457820.82245802,379805.53324787,0.8296
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,39,10,"2018/09/29 00:00:00",NSW1,160985.841503,137184.60358575,0.8522
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,39,10,"2018/09/29 00:00:00",QLD1,137041.50761501,123100.04551080,0.8983
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,39,10,"2018/09/29 00:00:00",SA1,24106.538955,8204.44180660,0.3403
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,39,10,"2018/09/29 00:00:00",TAS1,33986.067928,298.92186542,0.0088
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,39,10,"2018/09/29 00:00:00",VIC1,101700.86645701,111017.52047930,1.0916
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,40,9,"2018/09/30 00:00:00",NEM,451483.38364803,369346.00023839,0.8181
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,40,9,"2018/09/30 00:00:00",NSW1,155135.19579401,133586.50774972,0.8611
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,40,9,"2018/09/30 00:00:00",QLD1,142746.132893,127880.05234523,0.8959
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,40,9,"2018/09/30 00:00:00",SA1,32487.924339,7518.02603592,0.2314
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,40,9,"2018/09/30 00:00:00",TAS1,32423.751678,345.51968622,0.0107
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,40,9,"2018/09/30 00:00:00",VIC1,88690.37894402,100015.89442130,1.1277
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,40,9,"2018/10/01 00:00:00",NEM,457235.870622,372919.87362725,0.8156
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,40,9,"2018/10/01 00:00:00",NSW1,151803.515118,133326.44893876,0.8783
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,40,9,"2018/10/01 00:00:00",QLD1,142465.626522,127731.06689477,0.8966
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,40,9,"2018/10/01 00:00:00",SA1,31288.99210299,7890.22147117,0.2522
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,40,9,"2018/10/01 00:00:00",TAS1,32853.71275901,437.64527321,0.0133
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,40,9,"2018/10/01 00:00:00",VIC1,98824.024120,103534.49104934,1.0477
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,40,9,"2018/10/02 00:00:00",NEM,480377.84489550,395487.94552335,0.8233
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,40,9,"2018/10/02 00:00:00",NSW1,160686.97446001,143254.13785578,0.8915
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,40,9,"2018/10/02 00:00:00",QLD1,151306.87899948,135757.14306640,0.8972
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,40,9,"2018/10/02 00:00:00",SA1,35224.50380501,8007.57748771,0.2273
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,40,9,"2018/10/02 00:00:00",TAS1,27713.583590,491.33215686,0.0177
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,40,9,"2018/10/02 00:00:00",VIC1,105445.904041,107977.75495660,1.0240
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,40,9,"2018/10/03 00:00:00",NEM,489218.81675675,404775.08742124,0.8274
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,40,9,"2018/10/03 00:00:00",NSW1,169560.749022,148236.93282567,0.8742
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,40,9,"2018/10/03 00:00:00",QLD1,147913.07861976,132016.25099865,0.8925
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,40,9,"2018/10/03 00:00:00",SA1,31648.43618999,11025.38700625,0.3484
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,40,9,"2018/10/03 00:00:00",TAS1,34560.55773799,638.79699630,0.0185
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,40,9,"2018/10/03 00:00:00",VIC1,105535.99518701,112857.71959437,1.0694
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,40,9,"2018/10/04 00:00:00",NEM,496789.15712798,400570.53433161,0.8063
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,40,9,"2018/10/04 00:00:00",NSW1,168830.442599,145182.57328586,0.8599
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,40,9,"2018/10/04 00:00:00",QLD1,148933.175833,134885.37490411,0.9057
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,40,9,"2018/10/04 00:00:00",SA1,35822.106052,8152.77419874,0.2276
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,40,9,"2018/10/04 00:00:00",TAS1,28380.283901,276.12288406,0.0097
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,40,9,"2018/10/04 00:00:00",VIC1,114823.14874298,112073.68905884,0.9761
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,40,9,"2018/10/05 00:00:00",NEM,495053.02874298,413851.85338176,0.8360
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,40,9,"2018/10/05 00:00:00",NSW1,179970.732775,153420.60522717,0.8525
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,40,9,"2018/10/05 00:00:00",QLD1,147518.383844,133667.38841840,0.9061
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,40,9,"2018/10/05 00:00:00",SA1,28418.195493,9338.42218181,0.3286
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,40,9,"2018/10/05 00:00:00",TAS1,26471.88287499,538.19067695,0.0203
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,40,9,"2018/10/05 00:00:00",VIC1,112673.83375599,116887.24687743,1.0374
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,40,9,"2018/10/06 00:00:00",NEM,460196.14272404,399786.62904090,0.8687
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,40,9,"2018/10/06 00:00:00",NSW1,165519.448713,144913.51710101,0.8755
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,40,9,"2018/10/06 00:00:00",QLD1,148143.17694403,134736.71054653,0.9095
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,40,9,"2018/10/06 00:00:00",SA1,22157.292165,8540.28022047,0.3854
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,40,9,"2018/10/06 00:00:00",TAS1,24603.156311,309.27560003,0.0126
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,40,9,"2018/10/06 00:00:00",VIC1,99773.06859101,111286.84557286,1.1154
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,41,9,"2018/10/07 00:00:00",NEM,448418.46255799,384997.04262025,0.8586
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,41,9,"2018/10/07 00:00:00",NSW1,159774.045591,139664.66840543,0.8741
