C,SETP.WORLD,DVD_BILLING_CO2E_PUBLICATION,AEMO,PUBLIC,2018/12/07,00:00:12,0000000301883840,,0000000301883816
I,BILLING,BILLING_CO2E_PUBLICATION,1,CONTRACTYEAR,WEEKNO,BILLRUNNO,SETTLEMENTDATE,REGIONID,SENTOUTENERGY,GENERATOREMISSIONS,INTENSITYINDEX
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,43,11,"2018/10/21 00:00:00",NEM,435541.77343801,358315.81321573,0.8227
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,43,11,"2018/10/21 00:00:00",NSW1,155029.784554,130121.91233670,0.8393
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,43,11,"2018/10/21 00:00:00",QLD1,138221.22908201,116773.45935556,0.8448
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,43,11,"2018/10/21 00:00:00",SA1,21724.027134,8273.04313262,0.3808
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,43,11,"2018/10/21 00:00:00",TAS1,23436.070694,124.10698947,0.0053
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,43,11,"2018/10/21 00:00:00",VIC1,97130.661974,103023.29140138,1.0607
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,43,11,"2018/10/22 00:00:00",NEM,477358.32529330,365982.65076012,0.7667
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,43,11,"2018/10/22 00:00:00",NSW1,165855.46154799,139704.45486547,0.8423
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,43,11,"2018/10/22 00:00:00",QLD1,141348.84275132,119421.10524429,0.8449
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,43,11,"2018/10/22 00:00:00",SA1,35906.904076,6008.38546721,0.1673
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,43,11,"2018/10/22 00:00:00",TAS1,23014.652658,105.48018765,0.0046
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,43,11,"2018/10/22 00:00:00",VIC1,111232.46425999,100743.22499550,0.9057
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,43,11,"2018/10/23 00:00:00",NEM,483394.39990351,376661.02399479,0.7792
