"C","SETP.WORLD","DVD_DISPATCH_UNIT_SCADA","AEMO","PUBLIC","X2018.05.08","X00.00.02","X0000000294579225","X","X0000000294579167"
"I","DISPATCH","UNIT_SCADA",1,"SETTLEMENTDATE","DUID","SCADAVALUE",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/04/01 00:05:00","BARCSF1","0.60",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/04/01 00:05:00","BUTLERSG","6.299998",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/04/01 00:05:00","CALL_A_4","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/04/01 00:05:00","CAPTL_WF","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/04/01 00:05:00","CATHROCK","4.49",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/04/01 00:05:00","CHALLHWF","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/04/01 00:05:00","CLOVER","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/04/01 00:05:00","CLUNY","0.000458",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/04/01 00:05:00","CNUNDAWF","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/04/01 00:05:00","CULLRGWF","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/04/01 00:05:00","ERGT01","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/04/01 00:05:00","GB01","0.022186",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/04/01 00:05:00","GERMCRK","36.099998",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/04/01 00:05:00","HUGSF1","0.5550",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/04/01 00:05:00","INVICTA","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/04/01 00:05:00","LKBONNY1","-0.449338",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/04/01 00:05:00","LRSF1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/04/01 00:05:00","MBAHNTH","59.868744",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/04/01 00:05:00","MLSP1","0.161001",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/04/01 00:05:00","MLWF1","0.0150",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/04/01 00:05:00","MTMILLAR","15.701167",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/04/01 00:05:00","PALOONA","7.96",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/04/01 00:05:00","PIONEER","-0.60",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/04/01 00:05:00","PORTWF","-0.10",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/04/01 00:05:00","REPULSE","12.347640",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/04/01 00:05:00","ROWALLAN","8.8963",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/04/01 00:05:00","ROYALLA1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/04/01 00:05:00","RPCG","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/04/01 00:05:00","RUBICON","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/04/01 00:05:00","STARHLWF","-0.099971",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/04/01 00:05:00","WAUBRAWF","10.71",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/04/01 00:05:00","WOOLNTH1","44.370018",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/04/01 00:05:00","WPWF","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/04/01 00:05:00","YAMBUKWF","-0.20",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/04/01 00:05:00","YSWF1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/04/01 00:10:00","BARCSF1","0.60",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/04/01 00:10:00","BUTLERSG","6.299998",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/04/01 00:10:00","CALL_A_4","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/04/01 00:10:00","CAPTL_WF","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/04/01 00:10:00","CATHROCK","3.69",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/04/01 00:10:00","CHALLHWF","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/04/01 00:10:00","CLOVER","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/04/01 00:10:00","CLUNY","0.000458",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/04/01 00:10:00","CNUNDAWF","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/04/01 00:10:00","CULLRGWF","0",NA,NA,NA
