YEAR,MONTHNUMBER,MONTH,REGIONID,AVGRRP,PEAKRRP
2022,2022/07/31 00:00:00,JULY,NSW1,371.17000000,424.92000000
2022,2022/07/31 00:00:00,JULY,QLD1,391.59000000,506.10000000
2022,2022/07/31 00:00:00,JULY,SA1,372.49000000,487.65000000
2022,2022/07/31 00:00:00,JULY,TAS1,322.84000000,366.00000000
2022,2022/07/31 00:00:00,JULY,VIC1,340.34000000,431.21000000
2022,2022/08/31 00:00:00,AUGUST,NSW1,148.32000000,156.02000000
2022,2022/08/31 00:00:00,AUGUST,QLD1,133.51000000,128.90000000
2022,2022/08/31 00:00:00,AUGUST,SA1,173.04000000,223.01000000
2022,2022/08/31 00:00:00,AUGUST,TAS1,149.51000000,169.02000000
2022,2022/08/31 00:00:00,AUGUST,VIC1,121.01000000,136.75000000
2022,2022/09/30 00:00:00,SEPTEMBER,NSW1,153.87000000,157.12000000
2022,2022/09/30 00:00:00,SEPTEMBER,QLD1,156.90000000,152.29000000
2022,2022/09/30 00:00:00,SEPTEMBER,SA1,147.84000000,136.64000000
2022,2022/09/30 00:00:00,SEPTEMBER,TAS1,132.74000000,150.51000000
2022,2022/09/30 00:00:00,SEPTEMBER,VIC1,111.77000000,130.63000000
