"C","SETP.WORLD","DVD_DISPATCH_UNIT_SCADA","AEMO","PUBLIC","X2024.08.06","X16.05.11","X0000000428653915","X","X0000000428653863"
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:50:00","HUGSF1","9.485001",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:50:00","KEPBG1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:50:00","LRSF1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:50:00","MBAHNTH","35.512497",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:50:00","MLSP1","9.353001",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:50:00","MLWF1","0.36",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:50:00","PALOONA","12.78",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:50:00","PIONEER","-1.90",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:50:00","PORTWF","12.70",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:50:00","REPULSE","14.909286",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:50:00","ROWALLAN","-0.005966",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:50:00","ROYALLA1","15.135001",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:50:00","RPCG","-0.10",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:50:00","RUBICON","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:50:00","SHOAL1","45.275002",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:50:00","WAUBRAWF","38.5410",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:50:00","WOOLNTH1","1.05",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:50:00","YAMBUKWF","2.50",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 10:50:00","YSWF1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:00:00","BARCSF1","5.70",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:00:00","BUTLERSG","7.299998",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:00:00","BWTR1","4.687120",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:00:00","CAPTL_WF","9.045060",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:00:00","CHALLHWF","1.10",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:00:00","CLOVER","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:00:00","CLUNY","9.219959",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:00:00","CONDONG1","19.66",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:00:00","CULLRGWF","1.15",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:00:00","DIAPURWF1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:00:00","ERGT01","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:00:00","GB01","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:00:00","GERMCRK","17.8610",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:00:00","GRIFSF1","9.700160",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:00:00","HUGSF1","9.7910",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:00:00","KEPBG1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:00:00","LRSF1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:00:00","MBAHNTH","34.031242",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:00:00","MLSP1","9.5530",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:00:00","MLWF1","0.6450",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:00:00","PALOONA","12.82",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:00:00","PIONEER","-2.10",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:00:00","PORTWF","15.20",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:00:00","REPULSE","14.845808",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/07/01 11:00:00","ROWALLAN","-0.005447",NA,NA,NA
