C,SETP.WORLD,DVD_TRADINGPRICE,AEMO,PUBLIC,2018/09/07,00:10:00,0000000298797431,
I,TRADING,PRICE,2,SETTLEMENTDATE,RUNNO,REGIONID,PERIODID,RRP
D,TRADING,PRICE,2,"2018/08/01 00:30:00",1,NSW1,1,54.08
D,TRADING,PRICE,2,"2018/08/01 00:30:00",1,QLD1,1,52.82
D,TRADING,PRICE,2,"2018/08/01 00:30:00",1,SA1,1,103.67
D,TRADING,PRICE,2,"2018/08/01 00:30:00",1,TAS1,1,10
D,TRADING,PRICE,2,"2018/08/01 00:30:00",1,VIC1,1,18.26
D,TRADING,PRICE,2,"2018/08/01 01:00:00",1,NSW1,2,61.69
D,TRADING,PRICE,2,"2018/08/01 01:00:00",1,QLD1,2,58.84
D,TRADING,PRICE,2,"2018/08/01 01:00:00",1,SA1,2,97.04
D,TRADING,PRICE,2,"2018/08/01 01:00:00",1,TAS1,2,7.76
D,TRADING,PRICE,2,"2018/08/01 01:00:00",1,VIC1,2,10.5
D,TRADING,PRICE,2,"2018/08/01 01:30:00",1,NSW1,3,62.68
D,TRADING,PRICE,2,"2018/08/01 01:30:00",1,QLD1,3,58.47
D,TRADING,PRICE,2,"2018/08/01 01:30:00",1,SA1,3,77.2
D,TRADING,PRICE,2,"2018/08/01 01:30:00",1,TAS1,3,5.04
D,TRADING,PRICE,2,"2018/08/01 01:30:00",1,VIC1,3,10.5
D,TRADING,PRICE,2,"2018/08/01 02:00:00",1,NSW1,4,61.73
D,TRADING,PRICE,2,"2018/08/01 02:00:00",1,QLD1,4,57.57
D,TRADING,PRICE,2,"2018/08/01 02:00:00",1,SA1,4,76.8
D,TRADING,PRICE,2,"2018/08/01 02:00:00",1,TAS1,4,5.04
D,TRADING,PRICE,2,"2018/08/01 02:00:00",1,VIC1,4,10.5
D,TRADING,PRICE,2,"2018/08/01 02:30:00",1,NSW1,5,55.96
D,TRADING,PRICE,2,"2018/08/01 02:30:00",1,QLD1,5,52.96
D,TRADING,PRICE,2,"2018/08/01 02:30:00",1,SA1,5,75.75
D,TRADING,PRICE,2,"2018/08/01 02:30:00",1,TAS1,5,5.04
D,TRADING,PRICE,2,"2018/08/01 02:30:00",1,VIC1,5,10.5
D,TRADING,PRICE,2,"2018/08/01 03:00:00",1,NSW1,6,51.1
D,TRADING,PRICE,2,"2018/08/01 03:00:00",1,QLD1,6,49.35
D,TRADING,PRICE,2,"2018/08/01 03:00:00",1,SA1,6,78.69
D,TRADING,PRICE,2,"2018/08/01 03:00:00",1,TAS1,6,5.04
D,TRADING,PRICE,2,"2018/08/01 03:00:00",1,VIC1,6,10.88
D,TRADING,PRICE,2,"2018/08/01 03:30:00",1,NSW1,7,52.08
D,TRADING,PRICE,2,"2018/08/01 03:30:00",1,QLD1,7,50.78
D,TRADING,PRICE,2,"2018/08/01 03:30:00",1,SA1,7,69.15
D,TRADING,PRICE,2,"2018/08/01 03:30:00",1,TAS1,7,5.04
D,TRADING,PRICE,2,"2018/08/01 03:30:00",1,VIC1,7,10.5
D,TRADING,PRICE,2,"2018/08/01 04:00:00",1,NSW1,8,46.04
D,TRADING,PRICE,2,"2018/08/01 04:00:00",1,QLD1,8,45.22
D,TRADING,PRICE,2,"2018/08/01 04:00:00",1,SA1,8,42.94
D,TRADING,PRICE,2,"2018/08/01 04:00:00",1,TAS1,8,9.97
D,TRADING,PRICE,2,"2018/08/01 04:00:00",1,VIC1,8,10.5
D,TRADING,PRICE,2,"2018/08/01 04:30:00",1,NSW1,9,53.7
D,TRADING,PRICE,2,"2018/08/01 04:30:00",1,QLD1,9,54.14
D,TRADING,PRICE,2,"2018/08/01 04:30:00",1,SA1,9,49.84
D,TRADING,PRICE,2,"2018/08/01 04:30:00",1,TAS1,9,18.61
D,TRADING,PRICE,2,"2018/08/01 04:30:00",1,VIC1,9,11.86
D,TRADING,PRICE,2,"2018/08/01 05:00:00",1,NSW1,10,55.92
D,TRADING,PRICE,2,"2018/08/01 05:00:00",1,QLD1,10,56.47
D,TRADING,PRICE,2,"2018/08/01 05:00:00",1,SA1,10,59.3
D,TRADING,PRICE,2,"2018/08/01 05:00:00",1,TAS1,10,22.12
D,TRADING,PRICE,2,"2018/08/01 05:00:00",1,VIC1,10,24.09
D,TRADING,PRICE,2,"2018/08/01 05:30:00",1,NSW1,11,58.13
D,TRADING,PRICE,2,"2018/08/01 05:30:00",1,QLD1,11,56.47
D,TRADING,PRICE,2,"2018/08/01 05:30:00",1,SA1,11,71.15
D,TRADING,PRICE,2,"2018/08/01 05:30:00",1,TAS1,11,36.16
D,TRADING,PRICE,2,"2018/08/01 05:30:00",1,VIC1,11,54.56
D,TRADING,PRICE,2,"2018/08/01 06:00:00",1,NSW1,12,58.94
D,TRADING,PRICE,2,"2018/08/01 06:00:00",1,QLD1,12,57.96
D,TRADING,PRICE,2,"2018/08/01 06:00:00",1,SA1,12,72.35
D,TRADING,PRICE,2,"2018/08/01 06:00:00",1,TAS1,12,36.77
D,TRADING,PRICE,2,"2018/08/01 06:00:00",1,VIC1,12,56.97
D,TRADING,PRICE,2,"2018/08/01 06:30:00",1,NSW1,13,82.78
D,TRADING,PRICE,2,"2018/08/01 06:30:00",1,QLD1,13,79.59
D,TRADING,PRICE,2,"2018/08/01 06:30:00",1,SA1,13,104.76
D,TRADING,PRICE,2,"2018/08/01 06:30:00",1,TAS1,13,36.78
D,TRADING,PRICE,2,"2018/08/01 06:30:00",1,VIC1,13,83.26
D,TRADING,PRICE,2,"2018/08/01 07:00:00",1,NSW1,14,102.58
D,TRADING,PRICE,2,"2018/08/01 07:00:00",1,QLD1,14,96.89
D,TRADING,PRICE,2,"2018/08/01 07:00:00",1,SA1,14,223.4
D,TRADING,PRICE,2,"2018/08/01 07:00:00",1,TAS1,14,39.08
D,TRADING,PRICE,2,"2018/08/01 07:00:00",1,VIC1,14,104.47
D,TRADING,PRICE,2,"2018/08/01 07:30:00",1,NSW1,15,102.06
D,TRADING,PRICE,2,"2018/08/01 07:30:00",1,QLD1,15,93.9
D,TRADING,PRICE,2,"2018/08/01 07:30:00",1,SA1,15,194.74
