"C","SETP.WORLD","DVD_DISPATCH_UNIT_SCADA","AEMO","PUBLIC","X2025.01.10","X14.16.20","X001736482580184","MONTHLY_ARCHIVE","X001736482580184.1"
"I","DISPATCH","UNIT_SCADA",1,"SETTLEMENTDATE","DUID","SCADAVALUE","LASTCHANGED",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/12/01 00:05:00","ADPBA1","0.09","2024/12/01 00:00:11",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/12/01 00:05:00","ADPPV1","0","2024/12/01 00:00:11",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/12/01 00:05:00","AGLHAL","0","2024/12/01 00:00:11",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/12/01 00:05:00","AGLSOM","0","2024/12/01 00:00:11",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/12/01 00:05:00","ANGAST1","0","2024/12/01 00:00:11",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/12/01 00:05:00","ARWF1","25.4","2024/12/01 00:00:11",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/12/01 00:05:00","AVLSF1","0","2024/12/01 00:00:11",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/12/01 00:05:00","BALB1","0","2024/12/01 00:00:11",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/12/01 00:05:00","BALDHWF1","78.64799","2024/12/01 00:00:11",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/12/01 00:05:00","BANGOWF1","27.79583","2024/12/01 00:00:11",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/12/01 00:05:00","BANGOWF2","15.19974","2024/12/01 00:00:11",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/12/01 00:05:00","BANN1","0","2024/12/01 00:00:11",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/12/01 00:05:00","BARCALDN","0","2024/12/01 00:00:11",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/12/01 00:05:00","BARCSF1","0","2024/12/01 00:00:11",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/12/01 00:05:00","BARKIPS1","71.09","2024/12/01 00:00:11",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/12/01 00:05:00","BARRON-1","0","2024/12/01 00:00:11",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/12/01 00:05:00","BARRON-2","0","2024/12/01 00:00:11",NA,NA
