YEAR,MONTHNUMBER,MONTH,REGIONID,AVGRRP,PEAKRRP
2024,2024/07/31 00:00:00,JULY,NSW1,127.17000000,154.76000000
2024,2024/07/31 00:00:00,JULY,QLD1,119.06000000,134.90000000
2024,2024/07/31 00:00:00,JULY,SA1,241.22000000,294.90000000
2024,2024/07/31 00:00:00,JULY,TAS1,180.76000000,215.33000000
2024,2024/07/31 00:00:00,JULY,VIC1,149.14000000,191.27000000
2024,2024/08/31 00:00:00,AUGUST,NSW1,174.45000000,252.78000000
2024,2024/08/31 00:00:00,AUGUST,QLD1,130.10000000,161.51000000
2024,2024/08/31 00:00:00,AUGUST,SA1,149.52000000,219.37000000
2024,2024/08/31 00:00:00,AUGUST,TAS1,128.69000000,155.78000000
2024,2024/08/31 00:00:00,AUGUST,VIC1,143.40000000,215.57000000
2024,2024/09/30 00:00:00,SEPTEMBER,NSW1,58.02000000,49.48000000
2024,2024/09/30 00:00:00,SEPTEMBER,QLD1,49.66000000,31.89000000
2024,2024/09/30 00:00:00,SEPTEMBER,SA1,80.29000000,144.89000000
2024,2024/09/30 00:00:00,SEPTEMBER,TAS1,22.51000000,31.21000000
2024,2024/09/30 00:00:00,SEPTEMBER,VIC1,17.39000000,26.50000000
2024,2024/10/31 00:00:00,OCTOBER,NSW1,77.41000000,81.87000000
2024,2024/10/31 00:00:00,OCTOBER,QLD1,70.85000000,62.11000000
2024,2024/10/31 00:00:00,OCTOBER,SA1,35.24000000,29.08000000
2024,2024/10/31 00:00:00,OCTOBER,TAS1,49.80000000,52.54000000
2024,2024/10/31 00:00:00,OCTOBER,VIC1,20.36000000,10.31000000
