C,SETP.WORLD,DVD_TRADINGPRICE,AEMO,PUBLIC,2024/04/10,19:20:17,0000000416011519,
I,TRADING,PRICE,2,SETTLEMENTDATE,RUNNO,REGIONID,PERIODID,RRP
D,TRADING,PRICE,2,"2024/03/01 06:10:00",1,NSW1,74,137.41
D,TRADING,PRICE,2,"2024/03/01 06:10:00",1,VIC1,74,135.01
D,TRADING,PRICE,2,"2024/03/01 06:10:00",1,SA1,74,138.74
D,TRADING,PRICE,2,"2024/03/01 06:10:00",1,QLD1,74,143.55
D,TRADING,PRICE,2,"2024/03/01 06:10:00",1,TAS1,74,126.22
D,TRADING,PRICE,2,"2024/03/01 07:05:00",1,NSW1,85,100.01
D,TRADING,PRICE,2,"2024/03/01 07:05:00",1,VIC1,85,103.57
D,TRADING,PRICE,2,"2024/03/01 07:05:00",1,SA1,85,106.95
D,TRADING,PRICE,2,"2024/03/01 07:05:00",1,QLD1,85,98.4
D,TRADING,PRICE,2,"2024/03/01 07:05:00",1,TAS1,85,100.2
D,TRADING,PRICE,2,"2024/03/01 07:35:00",1,NSW1,91,59.22
D,TRADING,PRICE,2,"2024/03/01 07:35:00",1,VIC1,91,71.43
D,TRADING,PRICE,2,"2024/03/01 07:35:00",1,SA1,91,76.45
D,TRADING,PRICE,2,"2024/03/01 07:35:00",1,QLD1,91,54.29
D,TRADING,PRICE,2,"2024/03/01 07:35:00",1,TAS1,91,80.1
D,TRADING,PRICE,2,"2024/03/01 18:15:00",1,NSW1,219,138.78
D,TRADING,PRICE,2,"2024/03/01 18:15:00",1,VIC1,219,100.98
D,TRADING,PRICE,2,"2024/03/01 18:15:00",1,SA1,219,100.01
D,TRADING,PRICE,2,"2024/03/01 18:15:00",1,QLD1,219,190.5
D,TRADING,PRICE,2,"2024/03/01 18:15:00",1,TAS1,219,54.2
D,TRADING,PRICE,2,"2024/03/02 00:00:00",1,NSW1,288,87.99
D,TRADING,PRICE,2,"2024/03/02 00:00:00",1,VIC1,288,75.6
D,TRADING,PRICE,2,"2024/03/02 00:00:00",1,SA1,288,92.44
D,TRADING,PRICE,2,"2024/03/02 00:00:00",1,QLD1,288,84.81
D,TRADING,PRICE,2,"2024/03/02 00:00:00",1,TAS1,288,77.46
D,TRADING,PRICE,2,"2024/03/02 01:35:00",1,NSW1,19,66.01
D,TRADING,PRICE,2,"2024/03/02 01:35:00",1,VIC1,19,56.99
D,TRADING,PRICE,2,"2024/03/02 01:35:00",1,SA1,19,99.98
D,TRADING,PRICE,2,"2024/03/02 01:35:00",1,QLD1,19,66.13
D,TRADING,PRICE,2,"2024/03/02 01:35:00",1,TAS1,19,81.02
D,TRADING,PRICE,2,"2024/03/02 01:50:00",1,NSW1,22,66.57
D,TRADING,PRICE,2,"2024/03/02 01:50:00",1,VIC1,22,56.99
D,TRADING,PRICE,2,"2024/03/02 01:50:00",1,SA1,22,99.98
D,TRADING,PRICE,2,"2024/03/02 01:50:00",1,QLD1,22,67.02
D,TRADING,PRICE,2,"2024/03/02 01:50:00",1,TAS1,22,60.23
D,TRADING,PRICE,2,"2024/03/02 01:55:00",1,NSW1,23,85.54
D,TRADING,PRICE,2,"2024/03/02 01:55:00",1,VIC1,23,73.81
D,TRADING,PRICE,2,"2024/03/02 01:55:00",1,SA1,23,99.98
D,TRADING,PRICE,2,"2024/03/02 01:55:00",1,QLD1,23,85.55
D,TRADING,PRICE,2,"2024/03/02 01:55:00",1,TAS1,23,78.4
D,TRADING,PRICE,2,"2024/03/02 02:15:00",1,NSW1,27,68
D,TRADING,PRICE,2,"2024/03/02 02:15:00",1,VIC1,27,58.19
D,TRADING,PRICE,2,"2024/03/02 02:15:00",1,SA1,27,99.98
D,TRADING,PRICE,2,"2024/03/02 02:15:00",1,QLD1,27,68.34
D,TRADING,PRICE,2,"2024/03/02 02:15:00",1,TAS1,27,71.02
D,TRADING,PRICE,2,"2024/03/02 12:10:00",1,NSW1,146,100.01
D,TRADING,PRICE,2,"2024/03/02 12:10:00",1,VIC1,146,-49.2
D,TRADING,PRICE,2,"2024/03/02 12:10:00",1,SA1,146,-46.77
D,TRADING,PRICE,2,"2024/03/02 12:10:00",1,QLD1,146,18.55
D,TRADING,PRICE,2,"2024/03/02 12:10:00",1,TAS1,146,11.2
D,TRADING,PRICE,2,"2024/03/02 12:15:00",1,NSW1,147,88.89
D,TRADING,PRICE,2,"2024/03/02 12:15:00",1,VIC1,147,-48.36
D,TRADING,PRICE,2,"2024/03/02 12:15:00",1,SA1,147,-45
D,TRADING,PRICE,2,"2024/03/02 12:15:00",1,QLD1,147,-20.5
D,TRADING,PRICE,2,"2024/03/02 12:15:00",1,TAS1,147,11.2
