"C","SETP.WORLD","DVD_DISPATCH_UNIT_SCADA","AEMO","PUBLIC","X2019.03.02","X00.05.03","X0000000304980116","X","X0000000304980068"
"I","DISPATCH","UNIT_SCADA",1,"SETTLEMENTDATE","DUID","SCADAVALUE",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:05:00","BARCSF1","0.60",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:05:00","BUTLERSG","9.899999",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:05:00","CALL_A_4","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:05:00","CAPTL_WF","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:05:00","CATHROCK","44.919998",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:05:00","CHALLHWF","1.80",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:05:00","CLOVER","-0.01",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:05:00","CLUNY","7.629663",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:05:00","CNUNDAWF","1.301518",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:05:00","CULLRGWF","-0.07",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:05:00","ERGT01","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:05:00","GB01","0.018238",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:05:00","GERMCRK","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:05:00","GRIFSF1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:05:00","HUGSF1","0.0260",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:05:00","LKBONNY1","-0.270719",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:05:00","MBAHNTH","39.112503",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:05:00","MLSP1","0.326001",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:05:00","MLWF1","0.3150",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:05:00","MTMILLAR","47.244884",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:05:00","PALOONA","16.82",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:05:00","PIONEER","22.300001",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:05:00","PORTWF","17.40",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:05:00","REPULSE","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:05:00","ROWALLAN","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:05:00","ROYALLA1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:05:00","RPCG","-2.30",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:05:00","RUBICON","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:05:00","SATGN1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:05:00","SATGS1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:05:00","STARHLWF","10.596910",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:05:00","WAUBRAWF","16.606001",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:05:00","WOOLNTH1","6.710015",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:05:00","WPWF","12",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:05:00","YAMBUKWF","1.60",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:05:00","YSWF1","0.20",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:10:00","BARCSF1","0.60",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:10:00","BUTLERSG","9.899999",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:10:00","CALL_A_4","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:10:00","CAPTL_WF","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:10:00","CATHROCK","45.079998",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:10:00","CHALLHWF","1.70",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:10:00","CLOVER","-0.01",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:10:00","CLUNY","7.653468",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:10:00","CNUNDAWF","0.901051",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:10:00","CULLRGWF","-0.04",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:10:00","ERGT01","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:10:00","GB01","0.018238",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:10:00","GERMCRK","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:10:00","GRIFSF1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:10:00","HUGSF1","0.0260",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:10:00","LKBONNY1","-0.270719",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:10:00","MBAHNTH","38.081253",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:10:00","MLSP1","0.326001",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:10:00","MLWF1","0.42",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:10:00","MTMILLAR","47.244884",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:10:00","PALOONA","16.949999",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:10:00","PIONEER","22.300001",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:10:00","PORTWF","15",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:10:00","REPULSE","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:10:00","ROWALLAN","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:10:00","ROYALLA1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:10:00","RPCG","-2.30",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:10:00","RUBICON","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:10:00","SATGN1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:10:00","SATGS1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:10:00","STARHLWF","9.197318",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:10:00","WAUBRAWF","12.6980",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:10:00","WOOLNTH1","5.370015",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:10:00","WPWF","15",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:10:00","YAMBUKWF","1.40",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:10:00","YSWF1","0.20",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:15:00","BARCSF1","0.60",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:15:00","BUTLERSG","9.899999",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:15:00","CALL_A_4","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:15:00","CAPTL_WF","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:15:00","CATHROCK","45.079998",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:15:00","CHALLHWF","1.60",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:15:00","CLOVER","-0.01",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:15:00","CLUNY","7.548181",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:15:00","CNUNDAWF","0.901051",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:15:00","CULLRGWF","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:15:00","ERGT01","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:15:00","GB01","0.018238",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:15:00","GERMCRK","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:15:00","GRIFSF1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:15:00","HUGSF1","0.0260",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:15:00","LKBONNY1","-0.181410",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:15:00","MBAHNTH","38.081253",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:15:00","MLSP1","0.326001",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:15:00","MLWF1","0.5250",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:15:00","MTMILLAR","47.125824",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:15:00","PALOONA","16.949999",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:15:00","PIONEER","22.300001",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:15:00","PORTWF","11.70",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:15:00","REPULSE","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:15:00","ROWALLAN","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:15:00","ROYALLA1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:15:00","RPCG","-2.30",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:15:00","RUBICON","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:15:00","SATGN1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:15:00","SATGS1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:15:00","STARHLWF","7.997668",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:15:00","WAUBRAWF","9.3220",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:15:00","WOOLNTH1","4.250015",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:15:00","WPWF","12",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:15:00","YAMBUKWF","0.90",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:15:00","YSWF1","0.20",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:20:00","BARCSF1","0.60",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:20:00","BUTLERSG","9.899999",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:20:00","CALL_A_4","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:20:00","CAPTL_WF","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:20:00","CATHROCK","43.979996",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:20:00","CHALLHWF","1.40",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:20:00","CLOVER","-0.01",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:20:00","CLUNY","7.601282",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:20:00","CNUNDAWF","0.901051",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:20:00","CULLRGWF","-0.04",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:20:00","ERGT01","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:20:00","GB01","0.018238",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:20:00","GERMCRK","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:20:00","GRIFSF1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:20:00","HUGSF1","0.0260",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:20:00","LKBONNY1","-0.181410",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:20:00","MBAHNTH","38.081253",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:20:00","MLSP1","0.326001",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:20:00","MLWF1","1.0350",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:20:00","MTMILLAR","47.155590",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:20:00","PALOONA","16.949999",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2018/12/01 00:20:00","PIONEER","22.300001",NA,NA,NA
