C,SETP.WORLD,DVD_TRADINGPRICE,AEMO,PUBLIC,2024/12/09,14:08:47,001733717327636,MONTHLY_ARCHIVE
I,TRADING,PRICE,3,SETTLEMENTDATE,RUNNO,REGIONID,PERIODID,RRP
D,TRADING,PRICE,3,"2024/11/01 00:05:00",1,SA1,1,88.94
D,TRADING,PRICE,3,"2024/11/01 00:05:00",1,NSW1,1,100.01
D,TRADING,PRICE,3,"2024/11/01 00:05:00",1,QLD1,1,99.95
D,TRADING,PRICE,3,"2024/11/01 00:05:00",1,TAS1,1,120.3
D,TRADING,PRICE,3,"2024/11/01 00:05:00",1,VIC1,1,85.3
D,TRADING,PRICE,3,"2024/11/01 00:10:00",1,SA1,2,89.28
D,TRADING,PRICE,3,"2024/11/01 00:10:00",1,NSW1,2,100.01
D,TRADING,PRICE,3,"2024/11/01 00:10:00",1,QLD1,2,99.95
D,TRADING,PRICE,3,"2024/11/01 00:10:00",1,TAS1,2,120.93
D,TRADING,PRICE,3,"2024/11/01 00:10:00",1,VIC1,2,85.33
D,TRADING,PRICE,3,"2024/11/01 00:15:00",1,SA1,3,100.64
D,TRADING,PRICE,3,"2024/11/01 00:15:00",1,NSW1,3,112.67
D,TRADING,PRICE,3,"2024/11/01 00:15:00",1,QLD1,3,112.75
D,TRADING,PRICE,3,"2024/11/01 00:15:00",1,TAS1,3,121.57
D,TRADING,PRICE,3,"2024/11/01 00:15:00",1,VIC1,3,96.18
D,TRADING,PRICE,3,"2024/11/01 00:20:00",1,SA1,4,89.99
D,TRADING,PRICE,3,"2024/11/01 00:20:00",1,NSW1,4,100.72
D,TRADING,PRICE,3,"2024/11/01 00:20:00",1,QLD1,4,99.95
D,TRADING,PRICE,3,"2024/11/01 00:20:00",1,TAS1,4,120.3
D,TRADING,PRICE,3,"2024/11/01 00:20:00",1,VIC1,4,86.05
D,TRADING,PRICE,3,"2024/11/01 00:25:00",1,SA1,5,88.64
D,TRADING,PRICE,3,"2024/11/01 00:25:00",1,NSW1,5,100.01
D,TRADING,PRICE,3,"2024/11/01 00:25:00",1,QLD1,5,99.95
D,TRADING,PRICE,3,"2024/11/01 00:25:00",1,TAS1,5,120.3
D,TRADING,PRICE,3,"2024/11/01 00:25:00",1,VIC1,5,84.76
D,TRADING,PRICE,3,"2024/11/01 00:30:00",1,SA1,6,71.69
D,TRADING,PRICE,3,"2024/11/01 00:30:00",1,NSW1,6,82.07
D,TRADING,PRICE,3,"2024/11/01 00:30:00",1,QLD1,6,99.95
D,TRADING,PRICE,3,"2024/11/01 00:30:00",1,TAS1,6,120.3
D,TRADING,PRICE,3,"2024/11/01 00:30:00",1,VIC1,6,69
D,TRADING,PRICE,3,"2024/11/01 00:35:00",1,SA1,7,61.17
D,TRADING,PRICE,3,"2024/11/01 00:35:00",1,NSW1,7,100.01
D,TRADING,PRICE,3,"2024/11/01 00:35:00",1,QLD1,7,110.83
D,TRADING,PRICE,3,"2024/11/01 00:35:00",1,TAS1,7,120.3
D,TRADING,PRICE,3,"2024/11/01 00:35:00",1,VIC1,7,59
D,TRADING,PRICE,3,"2024/11/01 00:40:00",1,SA1,8,61.39
D,TRADING,PRICE,3,"2024/11/01 00:40:00",1,NSW1,8,100.01
D,TRADING,PRICE,3,"2024/11/01 00:40:00",1,QLD1,8,112.95
D,TRADING,PRICE,3,"2024/11/01 00:40:00",1,TAS1,8,120.3
D,TRADING,PRICE,3,"2024/11/01 00:40:00",1,VIC1,8,59.38
D,TRADING,PRICE,3,"2024/11/01 00:45:00",1,SA1,9,60.99
D,TRADING,PRICE,3,"2024/11/01 00:45:00",1,NSW1,9,100.01
D,TRADING,PRICE,3,"2024/11/01 00:45:00",1,QLD1,9,99.95
D,TRADING,PRICE,3,"2024/11/01 00:45:00",1,TAS1,9,120.3
D,TRADING,PRICE,3,"2024/11/01 00:45:00",1,VIC1,9,58.91
D,TRADING,PRICE,3,"2024/11/01 00:50:00",1,SA1,10,71.44
D,TRADING,PRICE,3,"2024/11/01 00:50:00",1,NSW1,10,81.86
D,TRADING,PRICE,3,"2024/11/01 00:50:00",1,QLD1,10,110.92
D,TRADING,PRICE,3,"2024/11/01 00:50:00",1,TAS1,10,120.3
D,TRADING,PRICE,3,"2024/11/01 00:50:00",1,VIC1,10,69
D,TRADING,PRICE,3,"2024/11/01 00:55:00",1,SA1,11,70.51
D,TRADING,PRICE,3,"2024/11/01 00:55:00",1,NSW1,11,80.22
D,TRADING,PRICE,3,"2024/11/01 00:55:00",1,QLD1,11,108.58
D,TRADING,PRICE,3,"2024/11/01 00:55:00",1,TAS1,11,120.3
