"C","SETP.WORLD","DVD_DISPATCH_UNIT_SCADA","AEMO","PUBLIC","X2024.09.08","X20.25.36","X001725791136689","MONTHLY_ARCHIVE","X001725791136689.1"
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","BUTLERSG","7.699998",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","BW01","644.84625",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","BW02","675.58405",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","BW03","610.54401",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","BW04","630.44177",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","BWTR1","4.17268",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","CALL_B_1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","CALL_B_2","280.5",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","CAPBES1G","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","CAPBES1L","0.11",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","CAPTL_WF","22.871443",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","CATHROCK","44.8",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","CBWWBA1G","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","CBWWBA1L","0.807",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","CETHANA","10.34787",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","CG1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","CG2","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","CG3","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","CG4","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","CHALLHWF","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","CHBESSG1","-0.21351",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","CHBESSL1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","CHILDSF1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","CHYTWF1","0.31",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","CLARESF1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","CLEMGPWF","30.68691",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","CLERMSF1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","CLOVER","-0.01",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","CLUNY","16.58732",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","CNUNDAWF","5.60654",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","COHUNSF1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","COLEASF1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","COLUMSF1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","COLWF01","41.12764",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","CONDONG1","20.76",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","COOPGWF1","63.04",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","CPP_3","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","CPP_4","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","CPSA","90.855",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","CROOKWF2","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","CROOKWF3","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","CROWLWF1","0.13886",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","CRURWF1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","CRWASF1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","CSPVPS1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","CTHLWF1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","CULLRGWF","9.34",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","DALNTH1","-0.05951",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","DARLSF1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","DARTM1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","DAYDSF1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","DDPS1","477.68335",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","DDSF1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","DEVILS_G","55.29465",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","DG_NSW1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","DG_QLD1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","DG_SA1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","DG_TAS1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","DG_VIC1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","DIAPURWF1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","DPNTB1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","DPNTBG1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","DPNTBL1","24.96544",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","DRYCGT1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","DRYCGT2","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","DRYCGT3","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","DULAWF1","98.40001",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","DUNDWF1","45.83",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","DUNDWF2","11.79",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","DUNDWF3","19.16",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","EDENVSF1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","EILDON1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","EILDON2","-0.04",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","ELAINWF1","2.54",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","EMERASF1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","ER01","301.8967",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","ER02","353.87503",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","ER03","582.73596",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","ER04","582.46741",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","ERGT01","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","FINLYSF1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","FISHER","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","FLYCRKWF","45.27",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","GANGARR1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","GANNB1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","GANNBG1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","GANNBL1","13.90636",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","GANNSF1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","GB01","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","GERMCRK","18.833",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","GIRGSF","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","GLENSF1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","GLRWNSF1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","GNNDHSF1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","GOONSF1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","GORDON","23.71252",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","GRANWF1","17.94",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","GRIFSF1","0.001526",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","GSTONE1","225.02539",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","GSTONE2","209.4873",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","GSTONE3","225.17578",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","GSTONE4","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","GSTONE5","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","GSTONE6","219.3584",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","GSWF1A","5.7",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","GSWF1B1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","GULLRSF1","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","GULLRWF1","54.82417",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","GULLRWF2","60.76704",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","GUNNING1","24.55027",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","GUTHEGA","0",NA,NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/08/01 00:05:00","HALLWF1","76.82",NA,NA,NA
