C,SETP.WORLD,DVD_TRADINGPRICE,AEMO,PUBLIC,2018/07/08,01:55:00,0000000296748972,
I,TRADING,PRICE,2,SETTLEMENTDATE,RUNNO,REGIONID,PERIODID,RRP
D,TRADING,PRICE,2,"2018/06/01 00:30:00",1,NSW1,1,61.49
D,TRADING,PRICE,2,"2018/06/01 00:30:00",1,QLD1,1,52.5
D,TRADING,PRICE,2,"2018/06/01 00:30:00",1,SA1,1,69.19
D,TRADING,PRICE,2,"2018/06/01 00:30:00",1,TAS1,1,70.44
D,TRADING,PRICE,2,"2018/06/01 00:30:00",1,VIC1,1,67.38
D,TRADING,PRICE,2,"2018/06/01 01:00:00",1,NSW1,2,61.38
D,TRADING,PRICE,2,"2018/06/01 01:00:00",1,QLD1,2,51.58
D,TRADING,PRICE,2,"2018/06/01 01:00:00",1,SA1,2,104.92
D,TRADING,PRICE,2,"2018/06/01 01:00:00",1,TAS1,2,76.3
D,TRADING,PRICE,2,"2018/06/01 01:00:00",1,VIC1,2,100.39
D,TRADING,PRICE,2,"2018/06/01 01:30:00",1,NSW1,3,65.59
D,TRADING,PRICE,2,"2018/06/01 01:30:00",1,QLD1,3,56.14
D,TRADING,PRICE,2,"2018/06/01 01:30:00",1,SA1,3,74.12
D,TRADING,PRICE,2,"2018/06/01 01:30:00",1,TAS1,3,78.33
D,TRADING,PRICE,2,"2018/06/01 01:30:00",1,VIC1,3,71.43
D,TRADING,PRICE,2,"2018/06/01 02:00:00",1,NSW1,4,61.52
D,TRADING,PRICE,2,"2018/06/01 02:00:00",1,QLD1,4,53.78
D,TRADING,PRICE,2,"2018/06/01 02:00:00",1,SA1,4,65.69
D,TRADING,PRICE,2,"2018/06/01 02:00:00",1,TAS1,4,78.32
D,TRADING,PRICE,2,"2018/06/01 02:00:00",1,VIC1,4,64.23
D,TRADING,PRICE,2,"2018/06/01 02:30:00",1,NSW1,5,60.05
D,TRADING,PRICE,2,"2018/06/01 02:30:00",1,QLD1,5,52.47
D,TRADING,PRICE,2,"2018/06/01 02:30:00",1,SA1,5,61.54
D,TRADING,PRICE,2,"2018/06/01 02:30:00",1,TAS1,5,78.32
D,TRADING,PRICE,2,"2018/06/01 02:30:00",1,VIC1,5,60.81
D,TRADING,PRICE,2,"2018/06/01 03:00:00",1,NSW1,6,60.72
D,TRADING,PRICE,2,"2018/06/01 03:00:00",1,QLD1,6,52.81
D,TRADING,PRICE,2,"2018/06/01 03:00:00",1,SA1,6,57.77
D,TRADING,PRICE,2,"2018/06/01 03:00:00",1,TAS1,6,78.32
D,TRADING,PRICE,2,"2018/06/01 03:00:00",1,VIC1,6,59.48
D,TRADING,PRICE,2,"2018/06/01 03:30:00",1,NSW1,7,60.95
D,TRADING,PRICE,2,"2018/06/01 03:30:00",1,QLD1,7,53.23
D,TRADING,PRICE,2,"2018/06/01 03:30:00",1,SA1,7,55.66
D,TRADING,PRICE,2,"2018/06/01 03:30:00",1,TAS1,7,78.32
D,TRADING,PRICE,2,"2018/06/01 03:30:00",1,VIC1,7,58.83
D,TRADING,PRICE,2,"2018/06/01 04:00:00",1,NSW1,8,61.46
D,TRADING,PRICE,2,"2018/06/01 04:00:00",1,QLD1,8,54.05
D,TRADING,PRICE,2,"2018/06/01 04:00:00",1,SA1,8,55
D,TRADING,PRICE,2,"2018/06/01 04:00:00",1,TAS1,8,78.35
D,TRADING,PRICE,2,"2018/06/01 04:00:00",1,VIC1,8,58.69
D,TRADING,PRICE,2,"2018/06/01 04:30:00",1,NSW1,9,61.38
D,TRADING,PRICE,2,"2018/06/01 04:30:00",1,QLD1,9,53.76
D,TRADING,PRICE,2,"2018/06/01 04:30:00",1,SA1,9,54.9
D,TRADING,PRICE,2,"2018/06/01 04:30:00",1,TAS1,9,78.36
D,TRADING,PRICE,2,"2018/06/01 04:30:00",1,VIC1,9,58.63
D,TRADING,PRICE,2,"2018/06/01 05:00:00",1,NSW1,10,60.85
D,TRADING,PRICE,2,"2018/06/01 05:00:00",1,QLD1,10,53.94
D,TRADING,PRICE,2,"2018/06/01 05:00:00",1,SA1,10,56.19
D,TRADING,PRICE,2,"2018/06/01 05:00:00",1,TAS1,10,79.6
D,TRADING,PRICE,2,"2018/06/01 05:00:00",1,VIC1,10,59.41
D,TRADING,PRICE,2,"2018/06/01 05:30:00",1,NSW1,11,61.56
D,TRADING,PRICE,2,"2018/06/01 05:30:00",1,QLD1,11,55.95
D,TRADING,PRICE,2,"2018/06/01 05:30:00",1,SA1,11,58.73
D,TRADING,PRICE,2,"2018/06/01 05:30:00",1,TAS1,11,78.36
D,TRADING,PRICE,2,"2018/06/01 05:30:00",1,VIC1,11,62.07
D,TRADING,PRICE,2,"2018/06/01 06:00:00",1,NSW1,12,63.67
D,TRADING,PRICE,2,"2018/06/01 06:00:00",1,QLD1,12,59.23
D,TRADING,PRICE,2,"2018/06/01 06:00:00",1,SA1,12,62.98
D,TRADING,PRICE,2,"2018/06/01 06:00:00",1,TAS1,12,80.09
D,TRADING,PRICE,2,"2018/06/01 06:00:00",1,VIC1,12,66.65
D,TRADING,PRICE,2,"2018/06/01 06:30:00",1,NSW1,13,74.14
D,TRADING,PRICE,2,"2018/06/01 06:30:00",1,QLD1,13,71.11
D,TRADING,PRICE,2,"2018/06/01 06:30:00",1,SA1,13,74.24
D,TRADING,PRICE,2,"2018/06/01 06:30:00",1,TAS1,13,78.36
D,TRADING,PRICE,2,"2018/06/01 06:30:00",1,VIC1,13,79.89
D,TRADING,PRICE,2,"2018/06/01 07:00:00",1,NSW1,14,221.26
D,TRADING,PRICE,2,"2018/06/01 07:00:00",1,QLD1,14,213.96
