C,SETP.WORLD,DVD_BILLING_CO2E_PUBLICATION,AEMO,PUBLIC,2020/02/07,00:12:40,0000000318731710,,0000000318731686
I,BILLING,BILLING_CO2E_PUBLICATION,1,CONTRACTYEAR,WEEKNO,BILLRUNNO,SETTLEMENTDATE,REGIONID,SENTOUTENERGY,GENERATOREMISSIONS,INTENSITYINDEX
D,BILLING,BILLING_CO2E_PUBLICATION,1,2019,52,10,"2019/12/22 00:00:00",NEM,460655.79077469,347536.12895671,0.7544
D,BILLING,BILLING_CO2E_PUBLICATION,1,2019,52,10,"2019/12/22 00:00:00",NSW1,153939.179960,119714.20615966,0.7777
D,BILLING,BILLING_CO2E_PUBLICATION,1,2019,52,10,"2019/12/22 00:00:00",QLD1,155578.05888669,118471.80431632,0.7615
D,BILLING,BILLING_CO2E_PUBLICATION,1,2019,52,10,"2019/12/22 00:00:00",SA1,25429.310520,4305.02512381,0.1693
D,BILLING,BILLING_CO2E_PUBLICATION,1,2019,52,10,"2019/12/22 00:00:00",TAS1,19193.879094,1.62911076,0.0001
D,BILLING,BILLING_CO2E_PUBLICATION,1,2019,52,10,"2019/12/22 00:00:00",VIC1,106515.362314,105043.46424616,0.9862
D,BILLING,BILLING_CO2E_PUBLICATION,1,2019,52,10,"2019/12/23 00:00:00",NEM,490478.26326617,382483.92717989,0.7798
D,BILLING,BILLING_CO2E_PUBLICATION,1,2019,52,10,"2019/12/23 00:00:00",NSW1,171525.00122301,140013.12567654,0.8163
D,BILLING,BILLING_CO2E_PUBLICATION,1,2019,52,10,"2019/12/23 00:00:00",QLD1,162405.98048016,124717.78425875,0.7679
D,BILLING,BILLING_CO2E_PUBLICATION,1,2019,52,10,"2019/12/23 00:00:00",SA1,23728.833672,6141.01370770,0.2588
D,BILLING,BILLING_CO2E_PUBLICATION,1,2019,52,10,"2019/12/23 00:00:00",TAS1,25379.442124,65.32579504,0.0026
D,BILLING,BILLING_CO2E_PUBLICATION,1,2019,52,10,"2019/12/23 00:00:00",VIC1,107439.005767,111546.67774186,1.0382
D,BILLING,BILLING_CO2E_PUBLICATION,1,2019,52,10,"2019/12/24 00:00:00",NEM,491694.67857067,388870.29545314,0.7909
D,BILLING,BILLING_CO2E_PUBLICATION,1,2019,52,10,"2019/12/24 00:00:00",NSW1,174053.577347,139855.36205066,0.8035
D,BILLING,BILLING_CO2E_PUBLICATION,1,2019,52,10,"2019/12/24 00:00:00",QLD1,160340.08412768,126703.73607690,0.7902
D,BILLING,BILLING_CO2E_PUBLICATION,1,2019,52,10,"2019/12/24 00:00:00",SA1,22099.736888,6677.83229927,0.3022
D,BILLING,BILLING_CO2E_PUBLICATION,1,2019,52,10,"2019/12/24 00:00:00",TAS1,22318.31800199,1.30172937,0.0001
D,BILLING,BILLING_CO2E_PUBLICATION,1,2019,52,10,"2019/12/24 00:00:00",VIC1,112882.962206,115632.06329694,1.0244
D,BILLING,BILLING_CO2E_PUBLICATION,1,2019,52,10,"2019/12/25 00:00:00",NEM,441765.44681566,352915.05620756,0.7989
D,BILLING,BILLING_CO2E_PUBLICATION,1,2019,52,10,"2019/12/25 00:00:00",NSW1,144855.488083,114281.71863760,0.7889
D,BILLING,BILLING_CO2E_PUBLICATION,1,2019,52,10,"2019/12/25 00:00:00",QLD1,145136.07486266,114731.32866335,0.7905
D,BILLING,BILLING_CO2E_PUBLICATION,1,2019,52,10,"2019/12/25 00:00:00",SA1,21629.417708,4179.70637655,0.1932
D,BILLING,BILLING_CO2E_PUBLICATION,1,2019,52,10,"2019/12/25 00:00:00",TAS1,16103.654295,1.62758661,0.0001
D,BILLING,BILLING_CO2E_PUBLICATION,1,2019,52,10,"2019/12/25 00:00:00",VIC1,114040.811867,119720.67494345,1.0498
D,BILLING,BILLING_CO2E_PUBLICATION,1,2019,52,10,"2019/12/26 00:00:00",NEM,447939.53556703,354826.62988051,0.7921
D,BILLING,BILLING_CO2E_PUBLICATION,1,2019,52,10,"2019/12/26 00:00:00",NSW1,145806.62652601,115350.86071669,0.7911
