SETTLEMENTDATE,REGIONID,AVGRRP,PEAKRRP
2018/09/01 00:00:00,VIC1,100.44,N/A
2018/09/01 00:00:00,QLD1,86.57,N/A
2018/09/01 00:00:00,TAS1,26.31,N/A
2018/09/01 00:00:00,SA1,94.59,N/A
2018/09/01 00:00:00,NSW1,95.94,N/A
2018/09/02 00:00:00,QLD1,102.54,N/A
2018/09/02 00:00:00,NSW1,115.10,N/A
2018/09/02 00:00:00,SA1,123.47,N/A
2018/09/02 00:00:00,TAS1,19.50,N/A
2018/09/02 00:00:00,VIC1,133.99,N/A
2018/09/03 00:00:00,VIC1,134.24,153.68
2018/09/03 00:00:00,NSW1,134.54,160.5
2018/09/03 00:00:00,TAS1,13.49,11.97
2018/09/03 00:00:00,QLD1,119.15,139.43
2018/09/03 00:00:00,SA1,124.47,139.61
2018/09/04 00:00:00,TAS1,9.95,6.94
2018/09/04 00:00:00,VIC1,116.82,119.22
2018/09/04 00:00:00,NSW1,117.03,122.58
2018/09/04 00:00:00,SA1,111.38,110.91
2018/09/04 00:00:00,QLD1,108.23,112.37
2018/09/05 00:00:00,TAS1,39.73,45.12
2018/09/05 00:00:00,NSW1,118.45,129.92
2018/09/05 00:00:00,SA1,89.88,101.64
2018/09/05 00:00:00,QLD1,110.07,119.98
2018/09/05 00:00:00,VIC1,106.80,120.47
2018/09/06 00:00:00,QLD1,121.21,129.14
2018/09/06 00:00:00,SA1,101.30,94.69
2018/09/06 00:00:00,VIC1,136.21,146.34
2018/09/06 00:00:00,TAS1,22.74,14.37
2018/09/06 00:00:00,NSW1,138.46,150.02
2018/09/07 00:00:00,NSW1,150.26,153.98
2018/09/07 00:00:00,VIC1,158.38,163.2
2018/09/07 00:00:00,TAS1,43.54,53.03
2018/09/07 00:00:00,SA1,153.95,157.29
2018/09/07 00:00:00,QLD1,101.07,112.01
2018/09/08 00:00:00,TAS1,28.22,N/A
2018/09/08 00:00:00,VIC1,103.06,N/A
2018/09/08 00:00:00,SA1,97.04,N/A
2018/09/08 00:00:00,QLD1,79.31,N/A
2018/09/08 00:00:00,NSW1,112.29,N/A
2018/09/09 00:00:00,QLD1,76.96,N/A
2018/09/09 00:00:00,TAS1,12.54,N/A
2018/09/09 00:00:00,VIC1,59.98,N/A
2018/09/09 00:00:00,SA1,58.11,N/A
2018/09/09 00:00:00,NSW1,85.09,N/A
2018/09/10 00:00:00,QLD1,76.49,83.8
2018/09/10 00:00:00,VIC1,90.16,100.49
2018/09/10 00:00:00,TAS1,40.11,38.29
2018/09/10 00:00:00,SA1,92.54,100.01
2018/09/10 00:00:00,NSW1,90.13,99.65
2018/09/11 00:00:00,VIC1,64.12,72.27
2018/09/11 00:00:00,QLD1,71.66,77.72
2018/09/11 00:00:00,TAS1,26.86,30.13
2018/09/11 00:00:00,SA1,56.92,66.25
2018/09/11 00:00:00,NSW1,79.78,86.69
2018/09/12 00:00:00,TAS1,30.82,31.5
2018/09/12 00:00:00,VIC1,79.84,93.52
2018/09/12 00:00:00,SA1,76,87.74
2018/09/12 00:00:00,QLD1,70.39,77.04
2018/09/12 00:00:00,NSW1,79.82,88.47
2018/09/13 00:00:00,VIC1,81.66,83.8
2018/09/13 00:00:00,SA1,84.89,84.93
2018/09/13 00:00:00,QLD1,70.28,75.12
2018/09/13 00:00:00,TAS1,16.86,20.76
2018/09/13 00:00:00,NSW1,79.82,85.29
2018/09/14 00:00:00,SA1,29.09,32.53
2018/09/14 00:00:00,NSW1,62.75,65.39
2018/09/14 00:00:00,TAS1,17.10,11.97
2018/09/14 00:00:00,VIC1,32.20,39.81
2018/09/14 00:00:00,QLD1,57.98,60.47
2018/09/15 00:00:00,TAS1,21.57,N/A
2018/09/15 00:00:00,NSW1,63.89,N/A
2018/09/15 00:00:00,QLD1,56.86,N/A
2018/09/15 00:00:00,SA1,20.38,N/A
2018/09/15 00:00:00,VIC1,2.98,N/A
2018/09/16 00:00:00,NSW1,73.81,N/A
2018/09/16 00:00:00,SA1,85.18,N/A
2018/09/16 00:00:00,VIC1,79.27,N/A
2018/09/16 00:00:00,QLD1,65.13,N/A
2018/09/16 00:00:00,TAS1,1.74,N/A
2018/09/17 00:00:00,NSW1,81.42,86.98
2018/09/17 00:00:00,QLD1,71.33,75.84
2018/09/17 00:00:00,TAS1,30.50,32.87
2018/09/17 00:00:00,SA1,64.63,60.93
2018/09/17 00:00:00,VIC1,65.67,62.43
2018/09/18 00:00:00,SA1,83.61,102.95
2018/09/18 00:00:00,TAS1,32.45,28.79
2018/09/18 00:00:00,NSW1,82.20,93.39
2018/09/18 00:00:00,QLD1,75.25,85.6
2018/09/18 00:00:00,VIC1,80.66,100.73
2018/09/19 00:00:00,QLD1,83.75,91.91
2018/09/19 00:00:00,TAS1,42.15,36.75
2018/09/19 00:00:00,SA1,101.61,112.58
2018/09/19 00:00:00,VIC1,98.22,109.51
2018/09/19 00:00:00,NSW1,94.02,103.25
2018/09/20 00:00:00,SA1,120.68,129.79
2018/09/20 00:00:00,NSW1,105.32,112.73
2018/09/20 00:00:00,VIC1,112.63,120.93
2018/09/20 00:00:00,TAS1,7.74,5.78
2018/09/20 00:00:00,QLD1,92.27,99.08
2018/09/21 00:00:00,QLD1,80.59,77.65
2018/09/21 00:00:00,SA1,120.91,112.93
2018/09/21 00:00:00,NSW1,99.21,94.43
2018/09/21 00:00:00,TAS1,8.60,10.34
2018/09/21 00:00:00,VIC1,110.09,104.74
2018/09/22 00:00:00,QLD1,68.46,N/A
2018/09/22 00:00:00,VIC1,81.18,N/A
2018/09/22 00:00:00,TAS1,19.69,N/A
2018/09/22 00:00:00,NSW1,77.19,N/A
2018/09/22 00:00:00,SA1,86.11,N/A
2018/09/23 00:00:00,VIC1,76.46,N/A
2018/09/23 00:00:00,SA1,78.99,N/A
2018/09/23 00:00:00,TAS1,107.87,N/A
2018/09/23 00:00:00,NSW1,70.74,N/A
2018/09/23 00:00:00,QLD1,64.10,N/A
2018/09/24 00:00:00,TAS1,461.64,458.17
2018/09/24 00:00:00,SA1,86.67,95.53
2018/09/24 00:00:00,VIC1,92.17,102.1
2018/09/24 00:00:00,QLD1,73.13,81.75
2018/09/24 00:00:00,NSW1,82.93,94.07
2018/09/25 00:00:00,VIC1,116.21,128.76
2018/09/25 00:00:00,SA1,115.57,127.57
2018/09/25 00:00:00,NSW1,94.70,106.79
2018/09/25 00:00:00,TAS1,270.29,347.09
2018/09/25 00:00:00,QLD1,77.80,84.55
2018/09/26 00:00:00,QLD1,71.96,85.21
2018/09/26 00:00:00,VIC1,118.47,128.93
2018/09/26 00:00:00,TAS1,112.63,113.81
2018/09/26 00:00:00,SA1,121.64,134.5
2018/09/26 00:00:00,NSW1,107.08,119.8
2018/09/27 00:00:00,QLD1,85.37,91.95
2018/09/27 00:00:00,TAS1,65.91,60.26
2018/09/27 00:00:00,NSW1,93.03,98.95
2018/09/27 00:00:00,SA1,102.99,106.89
2018/09/27 00:00:00,VIC1,96.71,101.5
2018/09/28 00:00:00,TAS1,63.50,56.04
2018/09/28 00:00:00,SA1,84.94,76.03
2018/09/28 00:00:00,VIC1,88.80,86.29
2018/09/28 00:00:00,QLD1,71.13,73.89
2018/09/28 00:00:00,NSW1,76.73,79.45
2018/09/29 00:00:00,VIC1,83.75,N/A
2018/09/29 00:00:00,SA1,87.86,N/A
2018/09/29 00:00:00,NSW1,71.38,N/A
2018/09/29 00:00:00,QLD1,67.87,N/A
2018/09/29 00:00:00,TAS1,85.16,N/A
2018/09/30 00:00:00,VIC1,84.34,N/A
2018/09/30 00:00:00,NSW1,67.75,N/A
2018/09/30 00:00:00,QLD1,61.10,N/A
2018/09/30 00:00:00,TAS1,146.46,N/A
2018/09/30 00:00:00,SA1,62.57,N/A
