C,SETP.WORLD,DVD_TRADINGPRICE,AEMO,PUBLIC,2019/03/02,00:10:03,0000000304980255,
I,TRADING,PRICE,2,SETTLEMENTDATE,RUNNO,REGIONID,PERIODID,RRP
D,TRADING,PRICE,2,"2018/12/01 00:30:00",1,NSW1,1,100.34
D,TRADING,PRICE,2,"2018/12/01 00:30:00",1,QLD1,1,94.51
D,TRADING,PRICE,2,"2018/12/01 00:30:00",1,SA1,1,89.14
D,TRADING,PRICE,2,"2018/12/01 00:30:00",1,TAS1,1,86.57
D,TRADING,PRICE,2,"2018/12/01 00:30:00",1,VIC1,1,97.32
D,TRADING,PRICE,2,"2018/12/01 01:00:00",1,NSW1,2,103.33
D,TRADING,PRICE,2,"2018/12/01 01:00:00",1,QLD1,2,96.8
D,TRADING,PRICE,2,"2018/12/01 01:00:00",1,SA1,2,90.85
D,TRADING,PRICE,2,"2018/12/01 01:00:00",1,TAS1,2,93.71
D,TRADING,PRICE,2,"2018/12/01 01:00:00",1,VIC1,2,99.68
D,TRADING,PRICE,2,"2018/12/01 01:30:00",1,NSW1,3,88.18
D,TRADING,PRICE,2,"2018/12/01 01:30:00",1,QLD1,3,83.01
D,TRADING,PRICE,2,"2018/12/01 01:30:00",1,SA1,3,76.63
D,TRADING,PRICE,2,"2018/12/01 01:30:00",1,TAS1,3,85.77
D,TRADING,PRICE,2,"2018/12/01 01:30:00",1,VIC1,3,84.25
D,TRADING,PRICE,2,"2018/12/01 02:00:00",1,NSW1,4,85.9
D,TRADING,PRICE,2,"2018/12/01 02:00:00",1,QLD1,4,80.72
D,TRADING,PRICE,2,"2018/12/01 02:00:00",1,SA1,4,74.48
D,TRADING,PRICE,2,"2018/12/01 02:00:00",1,TAS1,4,78.69
D,TRADING,PRICE,2,"2018/12/01 02:00:00",1,VIC1,4,82.56
D,TRADING,PRICE,2,"2018/12/01 02:30:00",1,NSW1,5,84.29
D,TRADING,PRICE,2,"2018/12/01 02:30:00",1,QLD1,5,78.71
D,TRADING,PRICE,2,"2018/12/01 02:30:00",1,SA1,5,74.49
D,TRADING,PRICE,2,"2018/12/01 02:30:00",1,TAS1,5,77.33
D,TRADING,PRICE,2,"2018/12/01 02:30:00",1,VIC1,5,80.77
D,TRADING,PRICE,2,"2018/12/01 03:00:00",1,NSW1,6,74.97
D,TRADING,PRICE,2,"2018/12/01 03:00:00",1,QLD1,6,69.75
D,TRADING,PRICE,2,"2018/12/01 03:00:00",1,SA1,6,64.08
D,TRADING,PRICE,2,"2018/12/01 03:00:00",1,TAS1,6,67.48
D,TRADING,PRICE,2,"2018/12/01 03:00:00",1,VIC1,6,70.24
D,TRADING,PRICE,2,"2018/12/01 03:30:00",1,NSW1,7,78.33
D,TRADING,PRICE,2,"2018/12/01 03:30:00",1,QLD1,7,75.12
D,TRADING,PRICE,2,"2018/12/01 03:30:00",1,SA1,7,52.34
D,TRADING,PRICE,2,"2018/12/01 03:30:00",1,TAS1,7,55.55
D,TRADING,PRICE,2,"2018/12/01 03:30:00",1,VIC1,7,57.94
D,TRADING,PRICE,2,"2018/12/01 04:00:00",1,NSW1,8,79.41
D,TRADING,PRICE,2,"2018/12/01 04:00:00",1,QLD1,8,76.14
D,TRADING,PRICE,2,"2018/12/01 04:00:00",1,SA1,8,43.73
D,TRADING,PRICE,2,"2018/12/01 04:00:00",1,TAS1,8,52.89
D,TRADING,PRICE,2,"2018/12/01 04:00:00",1,VIC1,8,48.73
D,TRADING,PRICE,2,"2018/12/01 04:30:00",1,NSW1,9,75.54
D,TRADING,PRICE,2,"2018/12/01 04:30:00",1,QLD1,9,71.49
D,TRADING,PRICE,2,"2018/12/01 04:30:00",1,SA1,9,55.45
D,TRADING,PRICE,2,"2018/12/01 04:30:00",1,TAS1,9,53.92
D,TRADING,PRICE,2,"2018/12/01 04:30:00",1,VIC1,9,58.12
D,TRADING,PRICE,2,"2018/12/01 05:00:00",1,NSW1,10,66.96
D,TRADING,PRICE,2,"2018/12/01 05:00:00",1,QLD1,10,64.25
D,TRADING,PRICE,2,"2018/12/01 05:00:00",1,SA1,10,49.8
D,TRADING,PRICE,2,"2018/12/01 05:00:00",1,TAS1,10,53.63
D,TRADING,PRICE,2,"2018/12/01 05:00:00",1,VIC1,10,51.26
D,TRADING,PRICE,2,"2018/12/01 05:30:00",1,NSW1,11,69.09
D,TRADING,PRICE,2,"2018/12/01 05:30:00",1,QLD1,11,66.66
D,TRADING,PRICE,2,"2018/12/01 05:30:00",1,SA1,11,54.88
D,TRADING,PRICE,2,"2018/12/01 05:30:00",1,TAS1,11,54.1
D,TRADING,PRICE,2,"2018/12/01 05:30:00",1,VIC1,11,60.05
D,TRADING,PRICE,2,"2018/12/01 06:00:00",1,NSW1,12,72.65
D,TRADING,PRICE,2,"2018/12/01 06:00:00",1,QLD1,12,69.87
D,TRADING,PRICE,2,"2018/12/01 06:00:00",1,SA1,12,59.99
D,TRADING,PRICE,2,"2018/12/01 06:00:00",1,TAS1,12,54.39
D,TRADING,PRICE,2,"2018/12/01 06:00:00",1,VIC1,12,67.69
D,TRADING,PRICE,2,"2018/12/01 06:30:00",1,NSW1,13,78.9
D,TRADING,PRICE,2,"2018/12/01 06:30:00",1,QLD1,13,75.13
D,TRADING,PRICE,2,"2018/12/01 06:30:00",1,SA1,13,65.58
D,TRADING,PRICE,2,"2018/12/01 06:30:00",1,TAS1,13,61.84
D,TRADING,PRICE,2,"2018/12/01 06:30:00",1,VIC1,13,73.99
D,TRADING,PRICE,2,"2018/12/01 07:00:00",1,NSW1,14,53.85
D,TRADING,PRICE,2,"2018/12/01 07:00:00",1,QLD1,14,49.49
D,TRADING,PRICE,2,"2018/12/01 07:00:00",1,SA1,14,45.16
D,TRADING,PRICE,2,"2018/12/01 07:00:00",1,TAS1,14,52.64
D,TRADING,PRICE,2,"2018/12/01 07:00:00",1,VIC1,14,50.55
D,TRADING,PRICE,2,"2018/12/01 07:30:00",1,NSW1,15,58.32
D,TRADING,PRICE,2,"2018/12/01 07:30:00",1,QLD1,15,53.66
D,TRADING,PRICE,2,"2018/12/01 07:30:00",1,SA1,15,48.93
D,TRADING,PRICE,2,"2018/12/01 07:30:00",1,TAS1,15,54.31
D,TRADING,PRICE,2,"2018/12/01 07:30:00",1,VIC1,15,53.36
D,TRADING,PRICE,2,"2018/12/01 08:00:00",1,NSW1,16,63.67
D,TRADING,PRICE,2,"2018/12/01 08:00:00",1,QLD1,16,59.45
D,TRADING,PRICE,2,"2018/12/01 08:00:00",1,SA1,16,54.34
D,TRADING,PRICE,2,"2018/12/01 08:00:00",1,TAS1,16,56.95
D,TRADING,PRICE,2,"2018/12/01 08:00:00",1,VIC1,16,59.55
D,TRADING,PRICE,2,"2018/12/01 08:30:00",1,NSW1,17,64.6
D,TRADING,PRICE,2,"2018/12/01 08:30:00",1,QLD1,17,60.07
D,TRADING,PRICE,2,"2018/12/01 08:30:00",1,SA1,17,54.54
D,TRADING,PRICE,2,"2018/12/01 08:30:00",1,TAS1,17,55.29
D,TRADING,PRICE,2,"2018/12/01 08:30:00",1,VIC1,17,60.58
D,TRADING,PRICE,2,"2018/12/01 09:00:00",1,NSW1,18,53.14
D,TRADING,PRICE,2,"2018/12/01 09:00:00",1,QLD1,18,50.92
D,TRADING,PRICE,2,"2018/12/01 09:00:00",1,SA1,18,44.11
D,TRADING,PRICE,2,"2018/12/01 09:00:00",1,TAS1,18,50.05
D,TRADING,PRICE,2,"2018/12/01 09:00:00",1,VIC1,18,49.06
D,TRADING,PRICE,2,"2018/12/01 09:30:00",1,NSW1,19,52.91
D,TRADING,PRICE,2,"2018/12/01 09:30:00",1,QLD1,19,52.35
D,TRADING,PRICE,2,"2018/12/01 09:30:00",1,SA1,19,13.26
D,TRADING,PRICE,2,"2018/12/01 09:30:00",1,TAS1,19,16.97
D,TRADING,PRICE,2,"2018/12/01 09:30:00",1,VIC1,19,-1.87
D,TRADING,PRICE,2,"2018/12/01 10:00:00",1,NSW1,20,51.01
D,TRADING,PRICE,2,"2018/12/01 10:00:00",1,QLD1,20,52.77
D,TRADING,PRICE,2,"2018/12/01 10:00:00",1,SA1,20,22.59
D,TRADING,PRICE,2,"2018/12/01 10:00:00",1,TAS1,20,27.93
D,TRADING,PRICE,2,"2018/12/01 10:00:00",1,VIC1,20,15.41
D,TRADING,PRICE,2,"2018/12/01 10:30:00",1,NSW1,21,52.25
D,TRADING,PRICE,2,"2018/12/01 10:30:00",1,QLD1,21,54.2
D,TRADING,PRICE,2,"2018/12/01 10:30:00",1,SA1,21,18.48
D,TRADING,PRICE,2,"2018/12/01 10:30:00",1,TAS1,21,23.23
D,TRADING,PRICE,2,"2018/12/01 10:30:00",1,VIC1,21,7.76
D,TRADING,PRICE,2,"2018/12/01 11:00:00",1,NSW1,22,55.27
D,TRADING,PRICE,2,"2018/12/01 11:00:00",1,QLD1,22,58.28
D,TRADING,PRICE,2,"2018/12/01 11:00:00",1,SA1,22,22.25
D,TRADING,PRICE,2,"2018/12/01 11:00:00",1,TAS1,22,48.38
D,TRADING,PRICE,2,"2018/12/01 11:00:00",1,VIC1,22,19.14
D,TRADING,PRICE,2,"2018/12/01 11:30:00",1,NSW1,23,55.7
D,TRADING,PRICE,2,"2018/12/01 11:30:00",1,QLD1,23,59.83
D,TRADING,PRICE,2,"2018/12/01 11:30:00",1,SA1,23,41.55
D,TRADING,PRICE,2,"2018/12/01 11:30:00",1,TAS1,23,53.89
D,TRADING,PRICE,2,"2018/12/01 11:30:00",1,VIC1,23,41.53
D,TRADING,PRICE,2,"2018/12/01 12:00:00",1,NSW1,24,57.4
D,TRADING,PRICE,2,"2018/12/01 12:00:00",1,QLD1,24,62.47
D,TRADING,PRICE,2,"2018/12/01 12:00:00",1,SA1,24,50.13
D,TRADING,PRICE,2,"2018/12/01 12:00:00",1,TAS1,24,53.89
D,TRADING,PRICE,2,"2018/12/01 12:00:00",1,VIC1,24,50.53
D,TRADING,PRICE,2,"2018/12/01 12:30:00",1,NSW1,25,56.05
D,TRADING,PRICE,2,"2018/12/01 12:30:00",1,QLD1,25,58.81
D,TRADING,PRICE,2,"2018/12/01 12:30:00",1,SA1,25,49.75
D,TRADING,PRICE,2,"2018/12/01 12:30:00",1,TAS1,25,53.89
D,TRADING,PRICE,2,"2018/12/01 12:30:00",1,VIC1,25,50.59
D,TRADING,PRICE,2,"2018/12/01 13:00:00",1,NSW1,26,71.65
D,TRADING,PRICE,2,"2018/12/01 13:00:00",1,QLD1,26,77.4
D,TRADING,PRICE,2,"2018/12/01 13:00:00",1,SA1,26,50.93
D,TRADING,PRICE,2,"2018/12/01 13:00:00",1,TAS1,26,53.89
D,TRADING,PRICE,2,"2018/12/01 13:00:00",1,VIC1,26,51.57
D,TRADING,PRICE,2,"2018/12/01 13:30:00",1,NSW1,27,78.76
D,TRADING,PRICE,2,"2018/12/01 13:30:00",1,QLD1,27,111.9
D,TRADING,PRICE,2,"2018/12/01 13:30:00",1,SA1,27,57.76
D,TRADING,PRICE,2,"2018/12/01 13:30:00",1,TAS1,27,52.76
D,TRADING,PRICE,2,"2018/12/01 13:30:00",1,VIC1,27,58.78
D,TRADING,PRICE,2,"2018/12/01 14:00:00",1,NSW1,28,111.46
D,TRADING,PRICE,2,"2018/12/01 14:00:00",1,QLD1,28,123.87
D,TRADING,PRICE,2,"2018/12/01 14:00:00",1,SA1,28,62.85
D,TRADING,PRICE,2,"2018/12/01 14:00:00",1,TAS1,28,43.88
D,TRADING,PRICE,2,"2018/12/01 14:00:00",1,VIC1,28,61.6
D,TRADING,PRICE,2,"2018/12/01 14:30:00",1,NSW1,29,97.69
D,TRADING,PRICE,2,"2018/12/01 14:30:00",1,QLD1,29,109.83
D,TRADING,PRICE,2,"2018/12/01 14:30:00",1,SA1,29,37.2
D,TRADING,PRICE,2,"2018/12/01 14:30:00",1,TAS1,29,33.91
D,TRADING,PRICE,2,"2018/12/01 14:30:00",1,VIC1,29,36.28
D,TRADING,PRICE,2,"2018/12/01 15:00:00",1,NSW1,30,134.7
D,TRADING,PRICE,2,"2018/12/01 15:00:00",1,QLD1,30,143.32
D,TRADING,PRICE,2,"2018/12/01 15:00:00",1,SA1,30,20.27
D,TRADING,PRICE,2,"2018/12/01 15:00:00",1,TAS1,30,19.72
D,TRADING,PRICE,2,"2018/12/01 15:00:00",1,VIC1,30,20.8
D,TRADING,PRICE,2,"2018/12/01 15:30:00",1,NSW1,31,97.84
D,TRADING,PRICE,2,"2018/12/01 15:30:00",1,QLD1,31,115.51
D,TRADING,PRICE,2,"2018/12/01 15:30:00",1,SA1,31,9.99
D,TRADING,PRICE,2,"2018/12/01 15:30:00",1,TAS1,31,24.67
D,TRADING,PRICE,2,"2018/12/01 15:30:00",1,VIC1,31,19.08
D,TRADING,PRICE,2,"2018/12/01 16:00:00",1,NSW1,32,162.39
D,TRADING,PRICE,2,"2018/12/01 16:00:00",1,QLD1,32,169.71
D,TRADING,PRICE,2,"2018/12/01 16:00:00",1,SA1,32,84.53
D,TRADING,PRICE,2,"2018/12/01 16:00:00",1,TAS1,32,66.26
D,TRADING,PRICE,2,"2018/12/01 16:00:00",1,VIC1,32,114.4
D,TRADING,PRICE,2,"2018/12/01 16:30:00",1,NSW1,33,122.89
D,TRADING,PRICE,2,"2018/12/01 16:30:00",1,QLD1,33,128.34
D,TRADING,PRICE,2,"2018/12/01 16:30:00",1,SA1,33,116.44
D,TRADING,PRICE,2,"2018/12/01 16:30:00",1,TAS1,33,90.19
D,TRADING,PRICE,2,"2018/12/01 16:30:00",1,VIC1,33,116.33
D,TRADING,PRICE,2,"2018/12/01 17:00:00",1,NSW1,34,101.24
D,TRADING,PRICE,2,"2018/12/01 17:00:00",1,QLD1,34,147.65
D,TRADING,PRICE,2,"2018/12/01 17:00:00",1,SA1,34,89.07
D,TRADING,PRICE,2,"2018/12/01 17:00:00",1,TAS1,34,75.19
D,TRADING,PRICE,2,"2018/12/01 17:00:00",1,VIC1,34,92.92
D,TRADING,PRICE,2,"2018/12/01 17:30:00",1,NSW1,35,122.87
D,TRADING,PRICE,2,"2018/12/01 17:30:00",1,QLD1,35,137.16
D,TRADING,PRICE,2,"2018/12/01 17:30:00",1,SA1,35,106.24
D,TRADING,PRICE,2,"2018/12/01 17:30:00",1,TAS1,35,96.85
D,TRADING,PRICE,2,"2018/12/01 17:30:00",1,VIC1,35,115.15
D,TRADING,PRICE,2,"2018/12/01 18:00:00",1,NSW1,36,138.1
D,TRADING,PRICE,2,"2018/12/01 18:00:00",1,QLD1,36,144.2
D,TRADING,PRICE,2,"2018/12/01 18:00:00",1,SA1,36,128.16
D,TRADING,PRICE,2,"2018/12/01 18:00:00",1,TAS1,36,70.8
D,TRADING,PRICE,2,"2018/12/01 18:00:00",1,VIC1,36,132.58
D,TRADING,PRICE,2,"2018/12/01 18:30:00",1,NSW1,37,114.14
D,TRADING,PRICE,2,"2018/12/01 18:30:00",1,QLD1,37,122.27
D,TRADING,PRICE,2,"2018/12/01 18:30:00",1,SA1,37,104.2
D,TRADING,PRICE,2,"2018/12/01 18:30:00",1,TAS1,37,52.63
D,TRADING,PRICE,2,"2018/12/01 18:30:00",1,VIC1,37,108.98
D,TRADING,PRICE,2,"2018/12/01 19:00:00",1,NSW1,38,107.79
D,TRADING,PRICE,2,"2018/12/01 19:00:00",1,QLD1,38,113.59
D,TRADING,PRICE,2,"2018/12/01 19:00:00",1,SA1,38,99.59
D,TRADING,PRICE,2,"2018/12/01 19:00:00",1,TAS1,38,55.26
D,TRADING,PRICE,2,"2018/12/01 19:00:00",1,VIC1,38,103.94
D,TRADING,PRICE,2,"2018/12/01 19:30:00",1,NSW1,39,159.68
D,TRADING,PRICE,2,"2018/12/01 19:30:00",1,QLD1,39,163.94
D,TRADING,PRICE,2,"2018/12/01 19:30:00",1,SA1,39,151.14
D,TRADING,PRICE,2,"2018/12/01 19:30:00",1,TAS1,39,126.39
D,TRADING,PRICE,2,"2018/12/01 19:30:00",1,VIC1,39,157.28
D,TRADING,PRICE,2,"2018/12/01 20:00:00",1,NSW1,40,111.1
D,TRADING,PRICE,2,"2018/12/01 20:00:00",1,QLD1,40,114.95
D,TRADING,PRICE,2,"2018/12/01 20:00:00",1,SA1,40,107.42
D,TRADING,PRICE,2,"2018/12/01 20:00:00",1,TAS1,40,63.98
D,TRADING,PRICE,2,"2018/12/01 20:00:00",1,VIC1,40,110.28
D,TRADING,PRICE,2,"2018/12/01 20:30:00",1,NSW1,41,93.41
D,TRADING,PRICE,2,"2018/12/01 20:30:00",1,QLD1,41,123.68
D,TRADING,PRICE,2,"2018/12/01 20:30:00",1,SA1,41,88.01
D,TRADING,PRICE,2,"2018/12/01 20:30:00",1,TAS1,41,71.63
D,TRADING,PRICE,2,"2018/12/01 20:30:00",1,VIC1,41,91.65
D,TRADING,PRICE,2,"2018/12/01 21:00:00",1,NSW1,42,81.44
D,TRADING,PRICE,2,"2018/12/01 21:00:00",1,QLD1,42,99.98
D,TRADING,PRICE,2,"2018/12/01 21:00:00",1,SA1,42,77.35
D,TRADING,PRICE,2,"2018/12/01 21:00:00",1,TAS1,42,55.35
D,TRADING,PRICE,2,"2018/12/01 21:00:00",1,VIC1,42,79.24
D,TRADING,PRICE,2,"2018/12/01 21:30:00",1,NSW1,43,81.78
D,TRADING,PRICE,2,"2018/12/01 21:30:00",1,QLD1,43,87.9
D,TRADING,PRICE,2,"2018/12/01 21:30:00",1,SA1,43,76.06
D,TRADING,PRICE,2,"2018/12/01 21:30:00",1,TAS1,43,67.51
D,TRADING,PRICE,2,"2018/12/01 21:30:00",1,VIC1,43,78.04
D,TRADING,PRICE,2,"2018/12/01 22:00:00",1,NSW1,44,72.85
D,TRADING,PRICE,2,"2018/12/01 22:00:00",1,QLD1,44,76.61
D,TRADING,PRICE,2,"2018/12/01 22:00:00",1,SA1,44,67.77
D,TRADING,PRICE,2,"2018/12/01 22:00:00",1,TAS1,44,64.5
D,TRADING,PRICE,2,"2018/12/01 22:00:00",1,VIC1,44,69.92
D,TRADING,PRICE,2,"2018/12/01 22:30:00",1,NSW1,45,71.52
D,TRADING,PRICE,2,"2018/12/01 22:30:00",1,QLD1,45,79.5
D,TRADING,PRICE,2,"2018/12/01 22:30:00",1,SA1,45,65.49
D,TRADING,PRICE,2,"2018/12/01 22:30:00",1,TAS1,45,62
D,TRADING,PRICE,2,"2018/12/01 22:30:00",1,VIC1,45,67.13
D,TRADING,PRICE,2,"2018/12/01 23:00:00",1,NSW1,46,59.58
D,TRADING,PRICE,2,"2018/12/01 23:00:00",1,QLD1,46,62.29
D,TRADING,PRICE,2,"2018/12/01 23:00:00",1,SA1,46,51.92
D,TRADING,PRICE,2,"2018/12/01 23:00:00",1,TAS1,46,51.83
D,TRADING,PRICE,2,"2018/12/01 23:00:00",1,VIC1,46,55.47
D,TRADING,PRICE,2,"2018/12/01 23:30:00",1,NSW1,47,59.54
D,TRADING,PRICE,2,"2018/12/01 23:30:00",1,QLD1,47,60.25
D,TRADING,PRICE,2,"2018/12/01 23:30:00",1,SA1,47,52.82
D,TRADING,PRICE,2,"2018/12/01 23:30:00",1,TAS1,47,53.53
D,TRADING,PRICE,2,"2018/12/01 23:30:00",1,VIC1,47,56.67
D,TRADING,PRICE,2,"2018/12/02 00:00:00",1,NSW1,48,48.75
D,TRADING,PRICE,2,"2018/12/02 00:00:00",1,QLD1,48,47.74
D,TRADING,PRICE,2,"2018/12/02 00:00:00",1,SA1,48,47.3
D,TRADING,PRICE,2,"2018/12/02 00:00:00",1,TAS1,48,43.77
D,TRADING,PRICE,2,"2018/12/02 00:00:00",1,VIC1,48,47.57
D,TRADING,PRICE,2,"2018/12/02 00:30:00",1,NSW1,1,53.28
D,TRADING,PRICE,2,"2018/12/02 00:30:00",1,QLD1,1,53.48
D,TRADING,PRICE,2,"2018/12/02 00:30:00",1,SA1,1,50.06
D,TRADING,PRICE,2,"2018/12/02 00:30:00",1,TAS1,1,47.51
D,TRADING,PRICE,2,"2018/12/02 00:30:00",1,VIC1,1,50.71
D,TRADING,PRICE,2,"2018/12/02 01:00:00",1,NSW1,2,48.44
D,TRADING,PRICE,2,"2018/12/02 01:00:00",1,QLD1,2,48.6
D,TRADING,PRICE,2,"2018/12/02 01:00:00",1,SA1,2,44.04
D,TRADING,PRICE,2,"2018/12/02 01:00:00",1,TAS1,2,49.11
D,TRADING,PRICE,2,"2018/12/02 01:00:00",1,VIC1,2,44.47
D,TRADING,PRICE,2,"2018/12/02 01:30:00",1,NSW1,3,53.33
D,TRADING,PRICE,2,"2018/12/02 01:30:00",1,QLD1,3,53.1
D,TRADING,PRICE,2,"2018/12/02 01:30:00",1,SA1,3,35.04
D,TRADING,PRICE,2,"2018/12/02 01:30:00",1,TAS1,3,36.48
D,TRADING,PRICE,2,"2018/12/02 01:30:00",1,VIC1,3,35.83
D,TRADING,PRICE,2,"2018/12/02 02:00:00",1,NSW1,4,62.26
D,TRADING,PRICE,2,"2018/12/02 02:00:00",1,QLD1,4,61.79
D,TRADING,PRICE,2,"2018/12/02 02:00:00",1,SA1,4,49.83
D,TRADING,PRICE,2,"2018/12/02 02:00:00",1,TAS1,4,53.53
D,TRADING,PRICE,2,"2018/12/02 02:00:00",1,VIC1,4,51.71
D,TRADING,PRICE,2,"2018/12/02 02:30:00",1,NSW1,5,55.9
D,TRADING,PRICE,2,"2018/12/02 02:30:00",1,QLD1,5,56.43
D,TRADING,PRICE,2,"2018/12/02 02:30:00",1,SA1,5,13.88
D,TRADING,PRICE,2,"2018/12/02 02:30:00",1,TAS1,5,28.9
D,TRADING,PRICE,2,"2018/12/02 02:30:00",1,VIC1,5,14.47
D,TRADING,PRICE,2,"2018/12/02 03:00:00",1,NSW1,6,56.75
D,TRADING,PRICE,2,"2018/12/02 03:00:00",1,QLD1,6,56.28
D,TRADING,PRICE,2,"2018/12/02 03:00:00",1,SA1,6,8.69
D,TRADING,PRICE,2,"2018/12/02 03:00:00",1,TAS1,6,9.77
D,TRADING,PRICE,2,"2018/12/02 03:00:00",1,VIC1,6,9.15
D,TRADING,PRICE,2,"2018/12/02 03:30:00",1,NSW1,7,52.75
D,TRADING,PRICE,2,"2018/12/02 03:30:00",1,QLD1,7,52.12
D,TRADING,PRICE,2,"2018/12/02 03:30:00",1,SA1,7,13.59
D,TRADING,PRICE,2,"2018/12/02 03:30:00",1,TAS1,7,15.48
