SETTLEMENTDATE,REGIONID,AVGRRP,PEAKRRP
2024/04/19 00:00:00,QLD1,75.07000000,54.95000000
2024/04/20 00:00:00,NSW1,83.34000000,N/A
2024/04/20 00:00:00,QLD1,82.62000000,N/A
2024/04/20 00:00:00,VIC1,66.52000000,N/A
2024/04/20 00:00:00,TAS1,98.46000000,N/A
2024/04/20 00:00:00,SA1,66.79000000,N/A
2024/04/21 00:00:00,VIC1,86.83000000,N/A
2024/04/21 00:00:00,QLD1,80.19000000,N/A
2024/04/21 00:00:00,SA1,89.98000000,N/A
2024/04/21 00:00:00,NSW1,82.91000000,N/A
2024/04/21 00:00:00,TAS1,90.56000000,N/A
2024/04/22 00:00:00,SA1,99.88000000,91.27000000
2024/04/22 00:00:00,VIC1,99.85000000,93.21000000
2024/04/22 00:00:00,TAS1,83.97000000,68.57000000
2024/04/22 00:00:00,QLD1,78.32000000,67.75000000
2024/04/22 00:00:00,NSW1,95.39000000,91.65000000
2024/04/23 00:00:00,SA1,10.05000000,2.96000000
2024/04/23 00:00:00,QLD1,71.47000000,62.85000000
2024/04/23 00:00:00,VIC1,10.53000000,4.54000000
2024/04/23 00:00:00,TAS1,54.04000000,53.73000000
2024/04/23 00:00:00,NSW1,71.09000000,62.30000000
2024/04/24 00:00:00,VIC1,43.30000000,54.38000000
2024/04/24 00:00:00,TAS1,43.21000000,47.25000000
2024/04/24 00:00:00,SA1,44.17000000,54.61000000
2024/04/24 00:00:00,NSW1,73.03000000,75.47000000
2024/04/24 00:00:00,QLD1,72.08000000,71.50000000
2024/04/25 00:00:00,SA1,72.17000000,52.45000000
2024/04/25 00:00:00,QLD1,69.14000000,49.46000000
2024/04/25 00:00:00,NSW1,75.26000000,57.93000000
2024/04/25 00:00:00,VIC1,70.70000000,54.60000000
2024/04/25 00:00:00,TAS1,66.02000000,52.15000000
2024/04/26 00:00:00,SA1,145.17000000,155.36000000
2024/04/26 00:00:00,QLD1,105.43000000,103.45000000
2024/04/26 00:00:00,TAS1,91.60000000,92.42000000
2024/04/26 00:00:00,NSW1,111.91000000,111.72000000
2024/04/26 00:00:00,VIC1,141.10000000,154.37000000
2024/04/27 00:00:00,TAS1,70.00000000,N/A
2024/04/27 00:00:00,NSW1,90.55000000,N/A
2024/04/27 00:00:00,SA1,111.18000000,N/A
2024/04/27 00:00:00,QLD1,78.34000000,N/A
2024/04/27 00:00:00,VIC1,106.03000000,N/A
2024/04/28 00:00:00,VIC1,75.32000000,N/A
2024/04/28 00:00:00,TAS1,58.78000000,N/A
2024/04/28 00:00:00,NSW1,83.88000000,N/A
2024/04/28 00:00:00,SA1,89.44000000,N/A
2024/04/28 00:00:00,QLD1,76.20000000,N/A
2024/04/29 00:00:00,TAS1,77.88000000,74.19000000
2024/04/29 00:00:00,VIC1,137.43000000,153.90000000
2024/04/29 00:00:00,QLD1,95.22000000,87.44000000
2024/04/29 00:00:00,NSW1,117.48000000,117.54000000
2024/04/29 00:00:00,SA1,136.01000000,145.44000000
2024/04/30 00:00:00,QLD1,101.51000000,95.26000000
2024/04/30 00:00:00,TAS1,85.65000000,74.45000000
2024/04/30 00:00:00,NSW1,125.98000000,132.21000000
2024/04/30 00:00:00,SA1,73.34000000,58.66000000
2024/04/30 00:00:00,VIC1,103.43000000,99.06000000
