"C","SETP.WORLD","DVD_DISPATCH_UNIT_SCADA","AEMO","PUBLIC","X2024.11.11","X14.24.05","X001731299045000","MONTHLY_ARCHIVE","X001731299045000.1"
"I","DISPATCH","UNIT_SCADA",1,"SETTLEMENTDATE","DUID","SCADAVALUE","LASTCHANGED",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","ADPBA1","-0.038","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","ADPBA1G","0","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","ADPBA1L","0","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","ADPPV1","0","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","AGLHAL","0","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","AGLSOM","0","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","ANGAST1","0","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","ARWF1","14.5","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","AVLSF1","0","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","BALB1","0","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","BALDHWF1","16.948","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","BANGOWF1","17.69802","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","BANGOWF2","17.19974","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","BANN1","0","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","BARCALDN","0","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","BARCSF1","0","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","BARKIPS1","0","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","BARRON-1","0","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","BARRON-2","0","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","BASTYAN","0","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","BBATRYL1","0","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","BBATTERY","0","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","BBTHREE1","0","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","BBTHREE2","0","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","BBTHREE3","0","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","BDL01","0","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","BDL02","0","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","BERYLSF1","0","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","BHB1","0","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","BLOWERNG","39.6","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","BLUEGSF1","0","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","BLUFF1","2.7","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","BLYTHB1","-0.57","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","BNGSF1","0","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","BNGSF2","0","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","BOCORWF1","0","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","BODWF1","1.35641","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","BOLIVPS1","0.00001","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","BOMENSF1","0","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","BOWWBA1","0","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","BOWWBA1G","0","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","BOWWBA1L","0","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","BOWWPV1","0","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","BRAEMAR1","0","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","BRAEMAR2","0","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","BRAEMAR3","0","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","BRAEMAR5","0.16114","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","BRAEMAR6","0","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","BRAEMAR7","0.10071","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","BROKENH1","0","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","BRYB1WF1","68.63813","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","BRYB2WF2","37.21065","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","BULBES1","0","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","BULBESG1","0","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","BULBESL1","0.11","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","BULGANA1","13.43","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","BUTLERSG","10.399999","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","BW01","656.12573","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","BW02","0","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","BW03","681.19934","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","BW04","682.07831","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","BWTR1","4.45848","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","CALL_B_1","0","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","CALL_B_2","0","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","CAPBES1","0.02","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","CAPBES1G","0","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","CAPBES1L","0","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","CAPTL_WF","0","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","CATHROCK","4.2","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","CBWWBA1","0.977","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","CBWWBA1G","0","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","CBWWBA1L","0","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","CETHANA","98.6635","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","CG1","0","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","CG2","0","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","CG3","0","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","CG4","0","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","CHALLHWF","6.9","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","CHBESSG1","-0.07257","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","CHBESSL1","0","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","CHILDSF1","0","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","CHYTWF1","2.14","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","CLARESF1","0","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","CLEMGPWF","4.89838","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","CLERMSF1","0","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","CLOVER","0","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","CLRKCWF1","0","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","CLUNY","18.168459","",NA,NA
"D","DISPATCH","UNIT_SCADA",1,"2024/10/01 00:05:00","CNUNDAWF","11.11296","",NA,NA
