C,SETP.WORLD,DVD_TRADINGPRICE,AEMO,PUBLIC,2024/06/08,00:40:08,0000000422225547,
I,TRADING,PRICE,2,SETTLEMENTDATE,RUNNO,REGIONID,PERIODID,RRP
D,TRADING,PRICE,2,"2024/05/01 18:05:00",1,NSW1,217,142.58
D,TRADING,PRICE,2,"2024/05/01 18:05:00",1,VIC1,217,98.95
D,TRADING,PRICE,2,"2024/05/01 18:05:00",1,SA1,217,94.42
D,TRADING,PRICE,2,"2024/05/01 18:05:00",1,QLD1,217,144.61
D,TRADING,PRICE,2,"2024/05/01 18:05:00",1,TAS1,217,111.16
D,TRADING,PRICE,2,"2024/05/01 18:30:00",1,NSW1,222,137.03
D,TRADING,PRICE,2,"2024/05/01 18:30:00",1,VIC1,222,132.72
D,TRADING,PRICE,2,"2024/05/01 18:30:00",1,SA1,222,122.68
D,TRADING,PRICE,2,"2024/05/01 18:30:00",1,QLD1,222,138.98
D,TRADING,PRICE,2,"2024/05/01 18:30:00",1,TAS1,222,129.97
D,TRADING,PRICE,2,"2024/05/01 18:35:00",1,NSW1,223,152.64
D,TRADING,PRICE,2,"2024/05/01 18:35:00",1,VIC1,223,150.16
D,TRADING,PRICE,2,"2024/05/01 18:35:00",1,SA1,223,138.06
D,TRADING,PRICE,2,"2024/05/01 18:35:00",1,QLD1,223,153.45
D,TRADING,PRICE,2,"2024/05/01 18:35:00",1,TAS1,223,148.06
D,TRADING,PRICE,2,"2024/05/01 18:50:00",1,NSW1,226,154.24
D,TRADING,PRICE,2,"2024/05/01 18:50:00",1,VIC1,226,151.75
D,TRADING,PRICE,2,"2024/05/01 18:50:00",1,SA1,226,138.06
D,TRADING,PRICE,2,"2024/05/01 18:50:00",1,QLD1,226,155.93
D,TRADING,PRICE,2,"2024/05/01 18:50:00",1,TAS1,226,151.95
D,TRADING,PRICE,2,"2024/05/01 19:15:00",1,NSW1,231,120.83
D,TRADING,PRICE,2,"2024/05/01 19:15:00",1,VIC1,231,113.53
D,TRADING,PRICE,2,"2024/05/01 19:15:00",1,SA1,231,104.4
D,TRADING,PRICE,2,"2024/05/01 19:15:00",1,QLD1,231,123.1
D,TRADING,PRICE,2,"2024/05/01 19:15:00",1,TAS1,231,110.28
D,TRADING,PRICE,2,"2024/05/01 19:35:00",1,NSW1,235,114.08
D,TRADING,PRICE,2,"2024/05/01 19:35:00",1,VIC1,235,107.15
D,TRADING,PRICE,2,"2024/05/01 19:35:00",1,SA1,235,98.04
D,TRADING,PRICE,2,"2024/05/01 19:35:00",1,QLD1,235,115.75
D,TRADING,PRICE,2,"2024/05/01 19:35:00",1,TAS1,235,111.19
D,TRADING,PRICE,2,"2024/05/01 19:45:00",1,NSW1,237,115.01
D,TRADING,PRICE,2,"2024/05/01 19:45:00",1,VIC1,237,107.1
D,TRADING,PRICE,2,"2024/05/01 19:45:00",1,SA1,237,97.48
D,TRADING,PRICE,2,"2024/05/01 19:45:00",1,QLD1,237,118
D,TRADING,PRICE,2,"2024/05/01 19:45:00",1,TAS1,237,111.38
D,TRADING,PRICE,2,"2024/05/02 12:30:00",1,TAS1,150,75.16
D,TRADING,PRICE,2,"2024/05/02 12:35:00",1,NSW1,151,9.47
D,TRADING,PRICE,2,"2024/05/02 12:35:00",1,VIC1,151,8.95
D,TRADING,PRICE,2,"2024/05/02 12:35:00",1,SA1,151,7.5
D,TRADING,PRICE,2,"2024/05/02 12:35:00",1,QLD1,151,-10
D,TRADING,PRICE,2,"2024/05/02 12:35:00",1,TAS1,151,75.64
D,TRADING,PRICE,2,"2024/05/02 12:50:00",1,NSW1,154,15.61
D,TRADING,PRICE,2,"2024/05/02 12:50:00",1,VIC1,154,14.15
D,TRADING,PRICE,2,"2024/05/02 12:50:00",1,SA1,154,-14.5
D,TRADING,PRICE,2,"2024/05/02 12:50:00",1,QLD1,154,-20.5
D,TRADING,PRICE,2,"2024/05/02 12:50:00",1,TAS1,154,75.16
D,TRADING,PRICE,2,"2024/05/02 12:55:00",1,NSW1,155,9.85
D,TRADING,PRICE,2,"2024/05/02 12:55:00",1,VIC1,155,8.95
D,TRADING,PRICE,2,"2024/05/02 12:55:00",1,SA1,155,-14.5
D,TRADING,PRICE,2,"2024/05/02 12:55:00",1,QLD1,155,-20.5
D,TRADING,PRICE,2,"2024/05/02 12:55:00",1,TAS1,155,75.16
D,TRADING,PRICE,2,"2024/05/02 13:00:00",1,NSW1,156,10.18
D,TRADING,PRICE,2,"2024/05/02 13:00:00",1,VIC1,156,8.95
D,TRADING,PRICE,2,"2024/05/02 13:00:00",1,SA1,156,7.2
D,TRADING,PRICE,2,"2024/05/02 13:00:00",1,QLD1,156,9.3
D,TRADING,PRICE,2,"2024/05/02 13:00:00",1,TAS1,156,75.16
D,TRADING,PRICE,2,"2024/05/02 13:10:00",1,NSW1,158,-11.23
D,TRADING,PRICE,2,"2024/05/02 13:10:00",1,VIC1,158,-10.06
D,TRADING,PRICE,2,"2024/05/02 13:10:00",1,SA1,158,-14.5
D,TRADING,PRICE,2,"2024/05/02 13:10:00",1,QLD1,158,-10
D,TRADING,PRICE,2,"2024/05/02 13:10:00",1,TAS1,158,75.64
D,TRADING,PRICE,2,"2024/05/02 13:15:00",1,NSW1,159,-9.5
D,TRADING,PRICE,2,"2024/05/01 11:30:00",1,NSW1,138,24.07
D,TRADING,PRICE,2,"2024/05/01 11:30:00",1,VIC1,138,20.26
D,TRADING,PRICE,2,"2024/05/01 11:30:00",1,SA1,138,17.74
D,TRADING,PRICE,2,"2024/05/01 11:30:00",1,QLD1,138,-25.4
D,TRADING,PRICE,2,"2024/05/01 11:30:00",1,TAS1,138,54.05
D,TRADING,PRICE,2,"2024/05/01 11:40:00",1,NSW1,140,101.59
D,TRADING,PRICE,2,"2024/05/01 11:40:00",1,VIC1,140,-7.32
D,TRADING,PRICE,2,"2024/05/01 11:40:00",1,SA1,140,-14.5
D,TRADING,PRICE,2,"2024/05/01 11:40:00",1,QLD1,140,-20.5
D,TRADING,PRICE,2,"2024/05/01 11:40:00",1,TAS1,140,-3.15
D,TRADING,PRICE,2,"2024/05/01 11:45:00",1,NSW1,141,39.75
D,TRADING,PRICE,2,"2024/05/01 11:45:00",1,VIC1,141,20.26
D,TRADING,PRICE,2,"2024/05/01 11:45:00",1,SA1,141,-14.5
D,TRADING,PRICE,2,"2024/05/01 11:45:00",1,QLD1,141,-20.5
D,TRADING,PRICE,2,"2024/05/01 11:45:00",1,TAS1,141,21.64
D,TRADING,PRICE,2,"2024/05/01 11:50:00",1,NSW1,142,37.74
D,TRADING,PRICE,2,"2024/05/01 11:50:00",1,VIC1,142,20.26
D,TRADING,PRICE,2,"2024/05/01 11:50:00",1,SA1,142,-14.5
D,TRADING,PRICE,2,"2024/05/01 11:50:00",1,QLD1,142,-20.5
D,TRADING,PRICE,2,"2024/05/01 11:50:00",1,TAS1,142,28
D,TRADING,PRICE,2,"2024/05/01 11:55:00",1,NSW1,143,39.75
D,TRADING,PRICE,2,"2024/05/01 11:55:00",1,VIC1,143,8.95
D,TRADING,PRICE,2,"2024/05/01 11:55:00",1,SA1,143,-14.5
D,TRADING,PRICE,2,"2024/05/01 11:55:00",1,QLD1,143,-20.5
D,TRADING,PRICE,2,"2024/05/01 11:55:00",1,TAS1,143,13.89
D,TRADING,PRICE,2,"2024/05/01 12:10:00",1,NSW1,146,58
D,TRADING,PRICE,2,"2024/05/01 12:10:00",1,VIC1,146,20.26
D,TRADING,PRICE,2,"2024/05/01 12:10:00",1,SA1,146,-14.5
D,TRADING,PRICE,2,"2024/05/01 12:10:00",1,QLD1,146,-20.5
D,TRADING,PRICE,2,"2024/05/01 12:10:00",1,TAS1,146,54.11
D,TRADING,PRICE,2,"2024/05/01 12:15:00",1,NSW1,147,56.99
D,TRADING,PRICE,2,"2024/05/01 12:15:00",1,VIC1,147,8.95
D,TRADING,PRICE,2,"2024/05/01 12:15:00",1,SA1,147,-35.85
D,TRADING,PRICE,2,"2024/05/01 12:15:00",1,QLD1,147,-20.5
D,TRADING,PRICE,2,"2024/05/01 12:15:00",1,TAS1,147,54.11
D,TRADING,PRICE,2,"2024/05/01 12:20:00",1,NSW1,148,25
D,TRADING,PRICE,2,"2024/05/01 12:20:00",1,VIC1,148,8.95
D,TRADING,PRICE,2,"2024/05/01 12:20:00",1,SA1,148,-43.66
D,TRADING,PRICE,2,"2024/05/01 12:20:00",1,QLD1,148,14.06
D,TRADING,PRICE,2,"2024/05/01 12:20:00",1,TAS1,148,16.46
D,TRADING,PRICE,2,"2024/05/01 12:25:00",1,NSW1,149,58
D,TRADING,PRICE,2,"2024/05/01 12:25:00",1,VIC1,149,8.95
D,TRADING,PRICE,2,"2024/05/01 12:25:00",1,SA1,149,-43.21
D,TRADING,PRICE,2,"2024/05/01 12:25:00",1,QLD1,149,21.57
D,TRADING,PRICE,2,"2024/05/01 12:25:00",1,TAS1,149,54.11
D,TRADING,PRICE,2,"2024/05/01 12:30:00",1,NSW1,150,58
D,TRADING,PRICE,2,"2024/05/01 12:30:00",1,VIC1,150,8.95
D,TRADING,PRICE,2,"2024/05/01 12:30:00",1,SA1,150,-43.21
D,TRADING,PRICE,2,"2024/05/01 12:30:00",1,QLD1,150,-20.5
D,TRADING,PRICE,2,"2024/05/01 12:30:00",1,TAS1,150,13.31
D,TRADING,PRICE,2,"2024/05/01 12:35:00",1,NSW1,151,49.56
D,TRADING,PRICE,2,"2024/05/01 12:35:00",1,VIC1,151,-30
D,TRADING,PRICE,2,"2024/05/01 12:35:00",1,SA1,151,-43.21
D,TRADING,PRICE,2,"2024/05/01 12:35:00",1,QLD1,151,-10.8
D,TRADING,PRICE,2,"2024/05/01 12:35:00",1,TAS1,151,54.74
D,TRADING,PRICE,2,"2024/05/01 12:45:00",1,NSW1,153,39.75
D,TRADING,PRICE,2,"2024/05/01 12:45:00",1,VIC1,153,-7.46
D,TRADING,PRICE,2,"2024/05/01 12:45:00",1,SA1,153,-43.21
D,TRADING,PRICE,2,"2024/05/01 12:45:00",1,QLD1,153,-10.8
D,TRADING,PRICE,2,"2024/05/01 12:45:00",1,TAS1,153,54.11
D,TRADING,PRICE,2,"2024/05/01 12:50:00",1,NSW1,154,39.75
D,TRADING,PRICE,2,"2024/05/01 12:50:00",1,VIC1,154,-2.11
D,TRADING,PRICE,2,"2024/05/01 12:50:00",1,SA1,154,-43.21
D,TRADING,PRICE,2,"2024/05/02 15:35:00",1,TAS1,187,115.16
D,TRADING,PRICE,2,"2024/05/02 15:40:00",1,NSW1,188,52.56
D,TRADING,PRICE,2,"2024/05/02 15:40:00",1,VIC1,188,48.47
D,TRADING,PRICE,2,"2024/05/02 15:40:00",1,SA1,188,-14.5
D,TRADING,PRICE,2,"2024/05/02 15:40:00",1,QLD1,188,50.77
D,TRADING,PRICE,2,"2024/05/02 15:40:00",1,TAS1,188,115.16
D,TRADING,PRICE,2,"2024/05/02 15:45:00",1,NSW1,189,61.57
D,TRADING,PRICE,2,"2024/05/02 15:45:00",1,VIC1,189,58.22
D,TRADING,PRICE,2,"2024/05/02 15:45:00",1,SA1,189,20.66
D,TRADING,PRICE,2,"2024/05/02 15:45:00",1,QLD1,189,59.12
D,TRADING,PRICE,2,"2024/05/02 15:45:00",1,TAS1,189,115.16
D,TRADING,PRICE,2,"2024/05/02 15:50:00",1,NSW1,190,93.25
D,TRADING,PRICE,2,"2024/05/02 15:50:00",1,VIC1,190,89.58
D,TRADING,PRICE,2,"2024/05/02 15:50:00",1,SA1,190,66.6
D,TRADING,PRICE,2,"2024/05/02 15:50:00",1,QLD1,190,86.75
D,TRADING,PRICE,2,"2024/05/02 15:50:00",1,TAS1,190,100.16
D,TRADING,PRICE,2,"2024/05/02 15:55:00",1,NSW1,191,91
D,TRADING,PRICE,2,"2024/05/02 15:55:00",1,VIC1,191,85.38
D,TRADING,PRICE,2,"2024/05/02 15:55:00",1,SA1,191,58.44
D,TRADING,PRICE,2,"2024/05/02 15:55:00",1,QLD1,191,85.75
D,TRADING,PRICE,2,"2024/05/02 15:55:00",1,TAS1,191,100.16
D,TRADING,PRICE,2,"2024/05/02 16:15:00",1,NSW1,195,145.98
D,TRADING,PRICE,2,"2024/05/02 16:15:00",1,VIC1,195,146.38
D,TRADING,PRICE,2,"2024/05/02 16:15:00",1,SA1,195,129.33
D,TRADING,PRICE,2,"2024/05/02 16:15:00",1,QLD1,195,137.55
D,TRADING,PRICE,2,"2024/05/02 16:15:00",1,TAS1,195,150.03
D,TRADING,PRICE,2,"2024/05/02 16:20:00",1,NSW1,196,278.62
D,TRADING,PRICE,2,"2024/05/02 16:20:00",1,VIC1,196,282.04
D,TRADING,PRICE,2,"2024/05/02 16:20:00",1,SA1,196,254.26
D,TRADING,PRICE,2,"2024/05/02 16:20:00",1,QLD1,196,261.55
D,TRADING,PRICE,2,"2024/05/02 16:20:00",1,TAS1,196,285.31
D,TRADING,PRICE,2,"2024/05/02 16:30:00",1,NSW1,198,299.99
D,TRADING,PRICE,2,"2024/05/02 16:30:00",1,VIC1,198,311.43
D,TRADING,PRICE,2,"2024/05/02 16:30:00",1,SA1,198,278.01
D,TRADING,PRICE,2,"2024/05/02 16:30:00",1,QLD1,198,274.97
D,TRADING,PRICE,2,"2024/05/02 16:30:00",1,TAS1,198,314.56
D,TRADING,PRICE,2,"2024/05/02 16:40:00",1,NSW1,200,139
D,TRADING,PRICE,2,"2024/05/02 16:40:00",1,VIC1,200,144.44
D,TRADING,PRICE,2,"2024/05/02 16:40:00",1,SA1,200,131.7
D,TRADING,PRICE,2,"2024/05/02 16:40:00",1,QLD1,200,122.96
D,TRADING,PRICE,2,"2024/05/02 16:40:00",1,TAS1,200,138.62
D,TRADING,PRICE,2,"2024/05/02 16:50:00",1,NSW1,202,168.97
