YEAR,MONTHNUMBER,MONTH,REGIONID,AVGRRP,PEAKRRP
2018,2018/07/31 00:00:00,JULY,NSW1,74.99,83.25
2018,2018/07/31 00:00:00,JULY,QLD1,69.12,76.23
2018,2018/07/31 00:00:00,JULY,SA1,105.77,145.06
2018,2018/07/31 00:00:00,JULY,TAS1,44.85,49.51
2018,2018/07/31 00:00:00,JULY,VIC1,70.10,86.86
2018,2018/08/31 00:00:00,AUGUST,NSW1,93.02,105.86
2018,2018/08/31 00:00:00,AUGUST,QLD1,82.49,92.12
2018,2018/08/31 00:00:00,AUGUST,SA1,72.31,88.39
2018,2018/08/31 00:00:00,AUGUST,TAS1,25.03,31.23
2018,2018/08/31 00:00:00,AUGUST,VIC1,79.17,100.32
2018,2018/09/30 00:00:00,SEPTEMBER,NSW1,93.36,106.62
2018,2018/09/30 00:00:00,SEPTEMBER,QLD1,80.60,91.73
2018,2018/09/30 00:00:00,SEPTEMBER,SA1,90.60,101.76
2018,2018/09/30 00:00:00,SEPTEMBER,TAS1,60.86,70.70
2018,2018/09/30 00:00:00,SEPTEMBER,VIC1,92.85,106.94
2018,2018/10/31 00:00:00,OCTOBER,NSW1,88.25,100.52
2018,2018/10/31 00:00:00,OCTOBER,QLD1,78.34,88.37
2018,2018/10/31 00:00:00,OCTOBER,SA1,98.12,104.10
2018,2018/10/31 00:00:00,OCTOBER,TAS1,95.37,101.45
2018,2018/10/31 00:00:00,OCTOBER,VIC1,99.83,108.40
2018,2018/11/30 00:00:00,NOVEMBER,NSW1,86.04,98.96
2018,2018/11/30 00:00:00,NOVEMBER,QLD1,88.86,104.79
2018,2018/11/30 00:00:00,NOVEMBER,SA1,98.77,101.15
2018,2018/11/30 00:00:00,NOVEMBER,TAS1,85.60,88.25
2018,2018/11/30 00:00:00,NOVEMBER,VIC1,97.84,104.23
