C,SETP.WORLD,DVD_BILLING_CO2E_PUBLICATION,AEMO,PUBLIC,2018/03/08,09:01:54,0000000292654395,,0000000292654371
I,BILLING,BILLING_CO2E_PUBLICATION,1,CONTRACTYEAR,WEEKNO,BILLRUNNO,SETTLEMENTDATE,REGIONID,SENTOUTENERGY,GENERATOREMISSIONS,INTENSITYINDEX
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,4,10,"2018/01/21 00:00:00",NEM,538703.42263763,462313.84381753,0.8582
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,4,10,"2018/01/21 00:00:00",NSW1,188397.21803899,163810.98974822,0.8695
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,4,10,"2018/01/21 00:00:00",QLD1,167120.32461617,148282.54806225,0.8873
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,4,10,"2018/01/21 00:00:00",SA1,34582.34711799,13662.89717588,0.3951
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,4,10,"2018/01/21 00:00:00",TAS1,28853.63624049,3256.44775674,0.1129
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,4,10,"2018/01/21 00:00:00",VIC1,119749.89662399,133300.96107444,1.1132
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,4,10,"2018/01/22 00:00:00",NEM,592986.27895643,486897.06582142,0.8211
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,4,10,"2018/01/22 00:00:00",NSW1,215316.32788101,174435.87223614,0.8101
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,4,10,"2018/01/22 00:00:00",QLD1,187022.87937691,162421.28752190,0.8685
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,4,10,"2018/01/22 00:00:00",SA1,33272.545114,13332.34199276,0.4007
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,4,10,"2018/01/22 00:00:00",TAS1,30626.67583551,3157.27309650,0.1031
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,4,10,"2018/01/22 00:00:00",VIC1,126747.850749,133550.29097412,1.0537
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,4,10,"2018/01/23 00:00:00",NEM,570779.06319067,479947.64596449,0.8409
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,4,10,"2018/01/23 00:00:00",NSW1,205463.346211,175112.68059965,0.8523
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,4,10,"2018/01/23 00:00:00",QLD1,185627.45724217,161566.96451651,0.8704
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,4,10,"2018/01/23 00:00:00",SA1,32126.22528601,11621.43352580,0.3617
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,4,10,"2018/01/23 00:00:00",TAS1,27879.40848250,3151.71991816,0.1130
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,4,10,"2018/01/23 00:00:00",VIC1,119682.62596899,128494.84740437,1.0736
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,4,10,"2018/01/24 00:00:00",NEM,581047.72729609,485931.63691396,0.8363
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,4,10,"2018/01/24 00:00:00",NSW1,203994.451816,173727.70121289,0.8516
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,4,10,"2018/01/24 00:00:00",QLD1,190280.42636410,165061.07063659,0.8675
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,4,10,"2018/01/24 00:00:00",SA1,34380.72265199,11890.65194010,0.3459
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,4,10,"2018/01/24 00:00:00",TAS1,30978.298337,3210.93399995,0.1037
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,4,10,"2018/01/24 00:00:00",VIC1,121413.828127,132041.27912443,1.0875
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,4,10,"2018/01/25 00:00:00",NEM,587346.48688299,495341.63219851,0.8434
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,4,10,"2018/01/25 00:00:00",NSW1,204339.78045375,181416.90940528,0.8878
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,4,10,"2018/01/25 00:00:00",QLD1,183625.84310775,159732.39320455,0.8699
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,4,10,"2018/01/25 00:00:00",SA1,35365.56691699,13665.77634059,0.3864
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,4,10,"2018/01/25 00:00:00",TAS1,32611.61947150,3202.49465861,0.0982
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,4,10,"2018/01/25 00:00:00",VIC1,131403.676933,137324.05858948,1.0451
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,4,10,"2018/01/26 00:00:00",NEM,543681.57943152,473248.96691457,0.8705
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,4,10,"2018/01/26 00:00:00",NSW1,185917.25581801,165572.80599128,0.8906
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,4,10,"2018/01/26 00:00:00",QLD1,177800.97136353,155678.96641715,0.8756
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,4,10,"2018/01/26 00:00:00",SA1,34074.08390699,12296.35387450,0.3609
D,BILLING,BILLING_CO2E_PUBLICATION,1,2018,4,10,"2018/01/26 00:00:00",TAS1,28611.15296599,3175.46212694,0.1110
