C,SETP.WORLD,DVD_TRADINGPRICE,AEMO,PUBLIC,2024/10/08,10:26:31,001728347191867,MONTHLY_ARCHIVE
D,TRADING,PRICE,3,"2024/09/01 01:10:00",1,NSW1,14,57
D,TRADING,PRICE,3,"2024/09/01 01:10:00",1,QLD1,14,96.75
D,TRADING,PRICE,3,"2024/09/01 01:10:00",1,SA1,14,-43.32
D,TRADING,PRICE,3,"2024/09/01 01:10:00",1,TAS1,14,1.2
D,TRADING,PRICE,3,"2024/09/01 01:10:00",1,VIC1,14,-43.89
D,TRADING,PRICE,3,"2024/09/01 01:15:00",1,NSW1,15,57
D,TRADING,PRICE,3,"2024/09/01 01:15:00",1,QLD1,15,77.75
D,TRADING,PRICE,3,"2024/09/01 01:15:00",1,SA1,15,-43.93
D,TRADING,PRICE,3,"2024/09/01 01:15:00",1,TAS1,15,1.2
D,TRADING,PRICE,3,"2024/09/01 01:15:00",1,VIC1,15,-43.89
D,TRADING,PRICE,3,"2024/09/01 01:20:00",1,NSW1,16,56.98
D,TRADING,PRICE,3,"2024/09/01 01:20:00",1,QLD1,16,77.75
D,TRADING,PRICE,3,"2024/09/01 01:20:00",1,SA1,16,-43.09
D,TRADING,PRICE,3,"2024/09/01 01:25:00",1,QLD1,17,77.95
D,TRADING,PRICE,3,"2024/09/01 01:20:00",1,TAS1,16,-0.79
D,TRADING,PRICE,3,"2024/09/01 01:20:00",1,VIC1,16,-44
D,TRADING,PRICE,3,"2024/09/01 01:25:00",1,NSW1,17,57
D,TRADING,PRICE,3,"2024/09/01 01:25:00",1,SA1,17,-42.97
D,TRADING,PRICE,3,"2024/09/01 01:25:00",1,TAS1,17,0.32
D,TRADING,PRICE,3,"2024/09/01 01:25:00",1,VIC1,17,-44
D,TRADING,PRICE,3,"2024/09/01 01:30:00",1,NSW1,18,57
D,TRADING,PRICE,3,"2024/09/01 01:30:00",1,QLD1,18,77.95
D,TRADING,PRICE,3,"2024/09/01 01:30:00",1,SA1,18,-44.51
D,TRADING,PRICE,3,"2024/09/01 01:30:00",1,TAS1,18,-43.51
D,TRADING,PRICE,3,"2024/09/01 01:30:00",1,VIC1,18,-45.28
D,TRADING,PRICE,3,"2024/09/01 01:35:00",1,NSW1,19,37.76
D,TRADING,PRICE,3,"2024/09/01 01:35:00",1,QLD1,19,96.75
D,TRADING,PRICE,3,"2024/09/01 01:35:00",1,SA1,19,-44.51
D,TRADING,PRICE,3,"2024/09/01 01:35:00",1,TAS1,19,-47.33
D,TRADING,PRICE,3,"2024/09/01 01:35:00",1,VIC1,19,-45.16
D,TRADING,PRICE,3,"2024/09/01 01:40:00",1,NSW1,20,56.98
D,TRADING,PRICE,3,"2024/09/01 01:40:00",1,QLD1,20,56.87
D,TRADING,PRICE,3,"2024/09/01 01:40:00",1,SA1,20,-45
D,TRADING,PRICE,3,"2024/09/01 01:40:00",1,TAS1,20,-46.65
D,TRADING,PRICE,3,"2024/09/01 01:40:00",1,VIC1,20,-45.34
D,TRADING,PRICE,3,"2024/09/01 01:45:00",1,NSW1,21,34.39
D,TRADING,PRICE,3,"2024/09/01 01:45:00",1,QLD1,21,77.75
D,TRADING,PRICE,3,"2024/09/01 01:45:00",1,SA1,21,-43.5
D,TRADING,PRICE,3,"2024/09/01 01:45:00",1,TAS1,21,-41.02
D,TRADING,PRICE,3,"2024/09/01 01:45:00",1,VIC1,21,-44
D,TRADING,PRICE,3,"2024/09/01 01:50:00",1,NSW1,22,36.59
D,TRADING,PRICE,3,"2024/09/01 01:50:00",1,QLD1,22,46.63
D,TRADING,PRICE,3,"2024/09/01 01:50:00",1,SA1,22,-47.36
D,TRADING,PRICE,3,"2024/09/01 01:50:00",1,TAS1,22,-47.96
D,TRADING,PRICE,3,"2024/09/01 01:50:00",1,VIC1,22,-48.03
D,TRADING,PRICE,3,"2024/09/01 01:55:00",1,NSW1,23,35.88
D,TRADING,PRICE,3,"2024/09/01 01:55:00",1,QLD1,23,46.63
D,TRADING,PRICE,3,"2024/09/01 01:55:00",1,SA1,23,-49.24
D,TRADING,PRICE,3,"2024/09/01 01:55:00",1,TAS1,23,-50
D,TRADING,PRICE,3,"2024/09/01 01:55:00",1,VIC1,23,-50.03
D,TRADING,PRICE,3,"2024/09/01 02:00:00",1,NSW1,24,-45.01
D,TRADING,PRICE,3,"2024/09/01 02:00:00",1,QLD1,24,55.75
D,TRADING,PRICE,3,"2024/09/01 02:00:00",1,SA1,24,-45
D,TRADING,PRICE,3,"2024/09/01 02:00:00",1,TAS1,24,-43.06
D,TRADING,PRICE,3,"2024/09/01 02:00:00",1,VIC1,24,-45.52
D,TRADING,PRICE,3,"2024/09/01 02:05:00",1,NSW1,25,35.88
D,TRADING,PRICE,3,"2024/09/01 02:05:00",1,QLD1,25,46.63
D,TRADING,PRICE,3,"2024/09/01 02:05:00",1,SA1,25,-45.01
D,TRADING,PRICE,3,"2024/09/01 02:05:00",1,TAS1,25,-46.51
D,TRADING,PRICE,3,"2024/09/01 02:05:00",1,VIC1,25,-44.61
D,TRADING,PRICE,3,"2024/09/01 02:10:00",1,NSW1,26,59.36
D,TRADING,PRICE,3,"2024/09/01 02:10:00",1,QLD1,26,59.16
D,TRADING,PRICE,3,"2024/09/01 02:10:00",1,SA1,26,-47.93
D,TRADING,PRICE,3,"2024/09/01 02:10:00",1,TAS1,26,-49.08
D,TRADING,PRICE,3,"2024/09/01 02:10:00",1,VIC1,26,-48.03
D,TRADING,PRICE,3,"2024/09/01 02:15:00",1,NSW1,27,56.98
D,TRADING,PRICE,3,"2024/09/01 02:15:00",1,QLD1,27,57.13
D,TRADING,PRICE,3,"2024/09/01 02:15:00",1,SA1,27,-48.1
D,TRADING,PRICE,3,"2024/09/01 02:15:00",1,TAS1,27,-50
D,TRADING,PRICE,3,"2024/09/01 02:15:00",1,VIC1,27,-48.03
D,TRADING,PRICE,3,"2024/09/01 02:20:00",1,NSW1,28,56.59
D,TRADING,PRICE,3,"2024/09/01 02:20:00",1,QLD1,28,56.36
D,TRADING,PRICE,3,"2024/09/01 02:20:00",1,SA1,28,-50.52
D,TRADING,PRICE,3,"2024/09/01 02:20:00",1,TAS1,28,-50
D,TRADING,PRICE,3,"2024/09/01 02:20:00",1,VIC1,28,-50.03
D,TRADING,PRICE,3,"2024/09/01 02:25:00",1,NSW1,29,55.71
D,TRADING,PRICE,3,"2024/09/01 02:25:00",1,SA1,29,-50.33
D,TRADING,PRICE,3,"2024/09/01 02:30:00",1,NSW1,30,35.88
D,TRADING,PRICE,3,"2024/09/01 02:25:00",1,QLD1,29,55.75
D,TRADING,PRICE,3,"2024/09/01 02:25:00",1,TAS1,29,-47.87
D,TRADING,PRICE,3,"2024/09/01 02:25:00",1,VIC1,29,-50.03
D,TRADING,PRICE,3,"2024/09/01 02:30:00",1,QLD1,30,77.95
D,TRADING,PRICE,3,"2024/09/01 02:30:00",1,SA1,30,-50.07
D,TRADING,PRICE,3,"2024/09/01 02:30:00",1,TAS1,30,-49.09
D,TRADING,PRICE,3,"2024/09/01 02:30:00",1,VIC1,30,-50.03
D,TRADING,PRICE,3,"2024/09/01 02:35:00",1,NSW1,31,54.01
D,TRADING,PRICE,3,"2024/09/01 02:35:00",1,QLD1,31,77.75
D,TRADING,PRICE,3,"2024/09/01 02:35:00",1,SA1,31,-48.03
D,TRADING,PRICE,3,"2024/09/01 02:35:00",1,TAS1,31,2.77
D,TRADING,PRICE,3,"2024/09/01 02:35:00",1,VIC1,31,-48.03
D,TRADING,PRICE,3,"2024/09/01 02:40:00",1,NSW1,32,57
D,TRADING,PRICE,3,"2024/09/01 02:40:00",1,QLD1,32,57.01
D,TRADING,PRICE,3,"2024/09/01 02:40:00",1,SA1,32,-45
