C,SETP.WORLD,DVD_TRADINGPRICE,AEMO,PUBLIC,2024/03/07,09:10:09,0000000413029027,
I,TRADING,PRICE,2,SETTLEMENTDATE,RUNNO,REGIONID,PERIODID,RRP
D,TRADING,PRICE,2,"2024/02/02 09:45:00",1,QLD1,117,34.55
D,TRADING,PRICE,2,"2024/02/02 09:45:00",1,TAS1,117,9.03
D,TRADING,PRICE,2,"2024/02/02 09:55:00",1,NSW1,119,58
D,TRADING,PRICE,2,"2024/02/02 09:55:00",1,VIC1,119,-50.99
D,TRADING,PRICE,2,"2024/02/02 09:55:00",1,SA1,119,-55
D,TRADING,PRICE,2,"2024/02/02 09:55:00",1,QLD1,119,18.84
D,TRADING,PRICE,2,"2024/02/02 09:55:00",1,TAS1,119,-40.01
D,TRADING,PRICE,2,"2024/02/02 11:25:00",1,NSW1,137,61.78
D,TRADING,PRICE,2,"2024/02/02 11:25:00",1,VIC1,137,-51.75
D,TRADING,PRICE,2,"2024/02/02 11:25:00",1,SA1,137,-54.21
D,TRADING,PRICE,2,"2024/02/02 11:25:00",1,QLD1,137,-2.02
D,TRADING,PRICE,2,"2024/02/02 11:25:00",1,TAS1,137,-47
D,TRADING,PRICE,2,"2024/02/02 11:35:00",1,NSW1,139,68
D,TRADING,PRICE,2,"2024/02/02 11:35:00",1,VIC1,139,-53.04
D,TRADING,PRICE,2,"2024/02/02 11:35:00",1,SA1,139,-55
D,TRADING,PRICE,2,"2024/02/02 11:35:00",1,QLD1,139,-2.02
D,TRADING,PRICE,2,"2024/02/02 11:35:00",1,TAS1,139,11.08
D,TRADING,PRICE,2,"2024/02/02 11:45:00",1,NSW1,141,66.22
D,TRADING,PRICE,2,"2024/02/02 11:45:00",1,VIC1,141,-58.06
D,TRADING,PRICE,2,"2024/02/02 11:45:00",1,SA1,141,-59.91
D,TRADING,PRICE,2,"2024/02/02 11:45:00",1,QLD1,141,60.6
D,TRADING,PRICE,2,"2024/02/02 11:45:00",1,TAS1,141,11.08
D,TRADING,PRICE,2,"2024/02/02 12:35:00",1,NSW1,151,137.68
D,TRADING,PRICE,2,"2024/02/02 12:35:00",1,VIC1,151,-181.29
D,TRADING,PRICE,2,"2024/02/02 12:35:00",1,SA1,151,-189.99
D,TRADING,PRICE,2,"2024/02/02 12:35:00",1,QLD1,151,85.75
D,TRADING,PRICE,2,"2024/02/02 12:35:00",1,TAS1,151,-40.01
D,TRADING,PRICE,2,"2024/02/02 12:40:00",1,NSW1,152,92.91
D,TRADING,PRICE,2,"2024/02/02 12:40:00",1,VIC1,152,-91.19
D,TRADING,PRICE,2,"2024/02/02 12:40:00",1,SA1,152,-96.05
D,TRADING,PRICE,2,"2024/02/02 12:40:00",1,QLD1,152,85.55
D,TRADING,PRICE,2,"2024/02/02 12:40:00",1,TAS1,152,-40.01
D,TRADING,PRICE,2,"2024/02/02 12:45:00",1,NSW1,153,85.03
D,TRADING,PRICE,2,"2024/02/02 12:45:00",1,VIC1,153,-181.33
D,TRADING,PRICE,2,"2024/02/02 12:45:00",1,SA1,153,-189.99
D,TRADING,PRICE,2,"2024/02/02 12:45:00",1,QLD1,153,78.87
D,TRADING,PRICE,2,"2024/02/02 12:45:00",1,TAS1,153,-40.01
D,TRADING,PRICE,2,"2024/02/02 14:35:00",1,NSW1,175,62.36
D,TRADING,PRICE,2,"2024/02/02 14:35:00",1,VIC1,175,-60
D,TRADING,PRICE,2,"2024/02/02 14:35:00",1,SA1,175,-64.47
D,TRADING,PRICE,2,"2024/02/02 14:35:00",1,QLD1,175,63.12
D,TRADING,PRICE,2,"2024/02/02 14:35:00",1,TAS1,175,-40.01
D,TRADING,PRICE,2,"2024/02/02 14:45:00",1,NSW1,177,68
D,TRADING,PRICE,2,"2024/02/02 14:45:00",1,VIC1,177,-60
D,TRADING,PRICE,2,"2024/02/02 14:45:00",1,SA1,177,-64.47
D,TRADING,PRICE,2,"2024/02/02 14:45:00",1,QLD1,177,71.3
D,TRADING,PRICE,2,"2024/02/02 14:45:00",1,TAS1,177,-40.01
D,TRADING,PRICE,2,"2024/02/02 14:55:00",1,NSW1,179,62.75
D,TRADING,PRICE,2,"2024/02/02 14:55:00",1,VIC1,179,-60
D,TRADING,PRICE,2,"2024/02/02 14:55:00",1,SA1,179,-64.78
D,TRADING,PRICE,2,"2024/02/02 14:55:00",1,QLD1,179,64.72
D,TRADING,PRICE,2,"2024/02/02 14:55:00",1,TAS1,179,-40.01
D,TRADING,PRICE,2,"2024/02/02 15:00:00",1,NSW1,180,68
D,TRADING,PRICE,2,"2024/02/02 15:00:00",1,VIC1,180,-55.8
D,TRADING,PRICE,2,"2024/02/02 15:00:00",1,SA1,180,-59.98
D,TRADING,PRICE,2,"2024/02/02 15:00:00",1,QLD1,180,70.68
D,TRADING,PRICE,2,"2024/02/02 15:00:00",1,TAS1,180,-40.01
D,TRADING,PRICE,2,"2024/02/02 15:05:00",1,NSW1,181,83.25
D,TRADING,PRICE,2,"2024/02/02 15:05:00",1,VIC1,181,-61.39
D,TRADING,PRICE,2,"2024/02/02 15:05:00",1,SA1,181,-65.94
D,TRADING,PRICE,2,"2024/02/02 15:05:00",1,QLD1,181,85.55
D,TRADING,PRICE,2,"2024/02/02 15:05:00",1,TAS1,181,-40.01
D,TRADING,PRICE,2,"2024/02/02 15:20:00",1,NSW1,184,85.03
D,TRADING,PRICE,2,"2024/02/02 07:00:00",1,NSW1,84,46.8
D,TRADING,PRICE,2,"2024/02/02 07:00:00",1,VIC1,84,19
D,TRADING,PRICE,2,"2024/02/02 07:00:00",1,SA1,84,24.87
D,TRADING,PRICE,2,"2024/02/02 07:00:00",1,QLD1,84,47.13
D,TRADING,PRICE,2,"2024/02/02 07:00:00",1,TAS1,84,20.08
D,TRADING,PRICE,2,"2024/02/02 09:50:00",1,NSW1,118,135.02
D,TRADING,PRICE,2,"2024/02/02 09:50:00",1,VIC1,118,-50.2
D,TRADING,PRICE,2,"2024/02/02 09:50:00",1,SA1,118,-54.41
D,TRADING,PRICE,2,"2024/02/02 09:50:00",1,QLD1,118,33.43
D,TRADING,PRICE,2,"2024/02/02 09:50:00",1,TAS1,118,-40.01
D,TRADING,PRICE,2,"2024/02/02 10:05:00",1,NSW1,121,59.99
D,TRADING,PRICE,2,"2024/02/02 10:05:00",1,VIC1,121,-50.01
D,TRADING,PRICE,2,"2024/02/02 10:05:00",1,SA1,121,-55.32
D,TRADING,PRICE,2,"2024/02/02 10:05:00",1,QLD1,121,18.84
D,TRADING,PRICE,2,"2024/02/02 10:05:00",1,TAS1,121,-40.01
D,TRADING,PRICE,2,"2024/02/02 10:35:00",1,NSW1,127,59.99
D,TRADING,PRICE,2,"2024/02/02 10:35:00",1,VIC1,127,-50.1
D,TRADING,PRICE,2,"2024/02/02 10:35:00",1,SA1,127,-46.77
D,TRADING,PRICE,2,"2024/02/02 10:35:00",1,QLD1,127,3.36
D,TRADING,PRICE,2,"2024/02/02 10:35:00",1,TAS1,127,-47
D,TRADING,PRICE,2,"2024/02/02 10:45:00",1,NSW1,129,59.99
D,TRADING,PRICE,2,"2024/02/02 10:45:00",1,VIC1,129,-51.75
D,TRADING,PRICE,2,"2024/02/02 10:45:00",1,SA1,129,-46.77
D,TRADING,PRICE,2,"2024/02/02 10:45:00",1,QLD1,129,-2.02
D,TRADING,PRICE,2,"2024/02/02 10:45:00",1,TAS1,129,11.08
D,TRADING,PRICE,2,"2024/02/02 10:50:00",1,NSW1,130,59.99
D,TRADING,PRICE,2,"2024/02/02 10:50:00",1,VIC1,130,-55.8
D,TRADING,PRICE,2,"2024/02/02 10:50:00",1,SA1,130,-46.77
D,TRADING,PRICE,2,"2024/02/02 10:50:00",1,QLD1,130,-2.02
D,TRADING,PRICE,2,"2024/02/02 10:50:00",1,TAS1,130,11.08
D,TRADING,PRICE,2,"2024/02/02 11:00:00",1,NSW1,132,58
D,TRADING,PRICE,2,"2024/02/02 11:00:00",1,VIC1,132,-50.2
D,TRADING,PRICE,2,"2024/02/02 11:00:00",1,SA1,132,-46.65
D,TRADING,PRICE,2,"2024/02/02 11:00:00",1,QLD1,132,18.84
D,TRADING,PRICE,2,"2024/02/02 11:00:00",1,TAS1,132,-47
D,TRADING,PRICE,2,"2024/02/02 11:05:00",1,NSW1,133,58
D,TRADING,PRICE,2,"2024/02/02 11:05:00",1,VIC1,133,-44.99
D,TRADING,PRICE,2,"2024/02/02 11:05:00",1,SA1,133,-46.77
D,TRADING,PRICE,2,"2024/02/02 11:05:00",1,QLD1,133,-2.02
D,TRADING,PRICE,2,"2024/02/02 11:05:00",1,TAS1,133,-40.01
D,TRADING,PRICE,2,"2024/02/02 11:10:00",1,NSW1,134,58
D,TRADING,PRICE,2,"2024/02/02 11:10:00",1,VIC1,134,-50.2
D,TRADING,PRICE,2,"2024/02/02 11:10:00",1,SA1,134,-46.77
D,TRADING,PRICE,2,"2024/02/02 11:10:00",1,QLD1,134,-2.02
D,TRADING,PRICE,2,"2024/02/02 11:10:00",1,TAS1,134,11.08
D,TRADING,PRICE,2,"2024/02/02 23:35:00",1,NSW1,283,184.13
D,TRADING,PRICE,2,"2024/02/02 23:35:00",1,VIC1,283,154.65
D,TRADING,PRICE,2,"2024/02/02 23:35:00",1,SA1,283,173.44
D,TRADING,PRICE,2,"2024/02/02 23:35:00",1,QLD1,283,208.02
D,TRADING,PRICE,2,"2024/02/02 23:35:00",1,TAS1,283,54.3
D,TRADING,PRICE,2,"2024/02/02 23:40:00",1,NSW1,284,163.71
D,TRADING,PRICE,2,"2024/02/02 23:40:00",1,VIC1,284,137.66
D,TRADING,PRICE,2,"2024/02/02 23:40:00",1,SA1,284,156.46
D,TRADING,PRICE,2,"2024/02/02 23:40:00",1,QLD1,284,194.01
D,TRADING,PRICE,2,"2024/02/02 23:40:00",1,TAS1,284,54.3
D,TRADING,PRICE,2,"2024/02/02 23:45:00",1,NSW1,285,163.81
D,TRADING,PRICE,2,"2024/02/02 23:45:00",1,VIC1,285,137.66
D,TRADING,PRICE,2,"2024/02/02 23:45:00",1,SA1,285,155.7
D,TRADING,PRICE,2,"2024/02/02 23:45:00",1,QLD1,285,192.75
D,TRADING,PRICE,2,"2024/02/02 23:45:00",1,TAS1,285,54.3
D,TRADING,PRICE,2,"2024/02/02 23:50:00",1,NSW1,286,161.2
D,TRADING,PRICE,2,"2024/02/02 23:50:00",1,VIC1,286,137.66
D,TRADING,PRICE,2,"2024/02/02 23:50:00",1,SA1,286,157.11
D,TRADING,PRICE,2,"2024/02/02 23:50:00",1,QLD1,286,181.35
D,TRADING,PRICE,2,"2024/02/01 00:05:00",1,NSW1,1,61.25
D,TRADING,PRICE,2,"2024/02/01 00:05:00",1,VIC1,1,49.97
D,TRADING,PRICE,2,"2024/02/01 00:05:00",1,SA1,1,55.07
D,TRADING,PRICE,2,"2024/02/01 00:05:00",1,QLD1,1,69.61
D,TRADING,PRICE,2,"2024/02/01 00:05:00",1,TAS1,1,48.99
D,TRADING,PRICE,2,"2024/02/01 00:30:00",1,NSW1,6,59.57
D,TRADING,PRICE,2,"2024/02/01 00:30:00",1,VIC1,6,49.37
D,TRADING,PRICE,2,"2024/02/01 00:30:00",1,SA1,6,54.77
D,TRADING,PRICE,2,"2024/02/01 00:30:00",1,QLD1,6,65.68
D,TRADING,PRICE,2,"2024/02/01 00:30:00",1,TAS1,6,48.57
D,TRADING,PRICE,2,"2024/02/01 01:35:00",1,NSW1,19,68
D,TRADING,PRICE,2,"2024/02/01 01:35:00",1,VIC1,19,56.72
D,TRADING,PRICE,2,"2024/02/01 01:35:00",1,SA1,19,60.79
D,TRADING,PRICE,2,"2024/02/01 01:35:00",1,QLD1,19,76.45
D,TRADING,PRICE,2,"2024/02/01 01:35:00",1,TAS1,19,70.2
D,TRADING,PRICE,2,"2024/02/01 03:05:00",1,NSW1,37,62.75
D,TRADING,PRICE,2,"2024/02/01 03:05:00",1,VIC1,37,51.78
D,TRADING,PRICE,2,"2024/02/01 03:05:00",1,SA1,37,55.5
D,TRADING,PRICE,2,"2024/02/01 03:05:00",1,QLD1,37,69.73
D,TRADING,PRICE,2,"2024/02/01 03:05:00",1,TAS1,37,49.17
D,TRADING,PRICE,2,"2024/02/01 06:15:00",1,NSW1,75,85
D,TRADING,PRICE,2,"2024/02/01 06:15:00",1,VIC1,75,72.54
D,TRADING,PRICE,2,"2024/02/01 06:15:00",1,SA1,75,83.64
D,TRADING,PRICE,2,"2024/02/01 06:15:00",1,QLD1,75,92.9
D,TRADING,PRICE,2,"2024/02/01 06:15:00",1,TAS1,75,53.61
D,TRADING,PRICE,2,"2024/02/01 06:20:00",1,NSW1,76,85
D,TRADING,PRICE,2,"2024/02/01 06:20:00",1,VIC1,76,72.59
D,TRADING,PRICE,2,"2024/02/01 06:20:00",1,SA1,76,84.3
D,TRADING,PRICE,2,"2024/02/01 06:20:00",1,QLD1,76,93.25
D,TRADING,PRICE,2,"2024/02/01 06:20:00",1,TAS1,76,56.02
D,TRADING,PRICE,2,"2024/02/01 07:00:00",1,NSW1,84,58
D,TRADING,PRICE,2,"2024/02/01 07:00:00",1,VIC1,84,0
D,TRADING,PRICE,2,"2024/02/01 07:00:00",1,SA1,84,0
D,TRADING,PRICE,2,"2024/02/01 07:00:00",1,QLD1,84,60.88
D,TRADING,PRICE,2,"2024/02/01 07:00:00",1,TAS1,84,26.97
D,TRADING,PRICE,2,"2024/02/01 07:10:00",1,NSW1,86,85.03
D,TRADING,PRICE,2,"2024/02/01 07:10:00",1,VIC1,86,-19.99
D,TRADING,PRICE,2,"2024/02/01 07:10:00",1,SA1,86,-22.16
D,TRADING,PRICE,2,"2024/02/01 07:10:00",1,QLD1,86,88.81
D,TRADING,PRICE,2,"2024/02/01 07:10:00",1,TAS1,86,56.11
D,TRADING,PRICE,2,"2024/02/01 07:50:00",1,NSW1,94,51.52
D,TRADING,PRICE,2,"2024/02/01 07:50:00",1,VIC1,94,-18.98
D,TRADING,PRICE,2,"2024/02/01 07:50:00",1,SA1,94,-20.03
D,TRADING,PRICE,2,"2024/02/01 07:50:00",1,QLD1,94,49.55
D,TRADING,PRICE,2,"2024/02/01 07:50:00",1,TAS1,94,-16.47
D,TRADING,PRICE,2,"2024/02/01 09:05:00",1,NSW1,109,60.69
D,TRADING,PRICE,2,"2024/02/01 09:05:00",1,VIC1,109,-44.86
D,TRADING,PRICE,2,"2024/02/01 09:05:00",1,SA1,109,-43.21
D,TRADING,PRICE,2,"2024/02/01 09:05:00",1,QLD1,109,56.17
D,TRADING,PRICE,2,"2024/02/01 09:05:00",1,TAS1,109,-40.01
D,TRADING,PRICE,2,"2024/02/01 09:45:00",1,QLD1,117,54.75
D,TRADING,PRICE,2,"2024/02/01 09:45:00",1,TAS1,117,10.1
D,TRADING,PRICE,2,"2024/02/01 09:50:00",1,NSW1,118,56.79
D,TRADING,PRICE,2,"2024/02/01 09:50:00",1,VIC1,118,-50.01
D,TRADING,PRICE,2,"2024/02/01 09:50:00",1,SA1,118,-48.19
D,TRADING,PRICE,2,"2024/02/01 09:50:00",1,QLD1,118,54.75
D,TRADING,PRICE,2,"2024/02/01 09:50:00",1,TAS1,118,11.1
D,TRADING,PRICE,2,"2024/02/01 09:55:00",1,NSW1,119,57.31
D,TRADING,PRICE,2,"2024/02/01 09:55:00",1,VIC1,119,-48.02
D,TRADING,PRICE,2,"2024/02/01 09:55:00",1,SA1,119,-46.77
D,TRADING,PRICE,2,"2024/02/01 09:55:00",1,QLD1,119,55.27
D,TRADING,PRICE,2,"2024/02/01 09:55:00",1,TAS1,119,11.08
D,TRADING,PRICE,2,"2024/02/01 10:00:00",1,NSW1,120,51.08
D,TRADING,PRICE,2,"2024/02/01 10:00:00",1,VIC1,120,-48.02
D,TRADING,PRICE,2,"2024/02/02 14:15:00",1,NSW1,171,58
D,TRADING,PRICE,2,"2024/02/02 14:15:00",1,VIC1,171,-60
D,TRADING,PRICE,2,"2024/02/02 14:15:00",1,SA1,171,-63.83
D,TRADING,PRICE,2,"2024/02/02 14:15:00",1,QLD1,171,58.37
D,TRADING,PRICE,2,"2024/02/02 14:15:00",1,TAS1,171,-40.01
D,TRADING,PRICE,2,"2024/02/02 15:20:00",1,VIC1,184,-51.75
D,TRADING,PRICE,2,"2024/02/02 15:20:00",1,SA1,184,-56.69
D,TRADING,PRICE,2,"2024/02/02 15:20:00",1,QLD1,184,89.16
D,TRADING,PRICE,2,"2024/02/02 15:20:00",1,TAS1,184,-40.01
D,TRADING,PRICE,2,"2024/02/02 16:55:00",1,NSW1,203,137.68
D,TRADING,PRICE,2,"2024/02/02 16:55:00",1,VIC1,203,6.14
D,TRADING,PRICE,2,"2024/02/02 16:55:00",1,SA1,203,5.88
D,TRADING,PRICE,2,"2024/02/02 16:55:00",1,QLD1,203,138.98
D,TRADING,PRICE,2,"2024/02/02 16:55:00",1,TAS1,203,11.51
D,TRADING,PRICE,2,"2024/02/02 17:05:00",1,NSW1,205,134.36
D,TRADING,PRICE,2,"2024/02/02 17:05:00",1,VIC1,205,8.03
D,TRADING,PRICE,2,"2024/02/02 17:05:00",1,SA1,205,7.89
D,TRADING,PRICE,2,"2024/02/02 17:05:00",1,QLD1,205,132.99
D,TRADING,PRICE,2,"2024/02/02 17:05:00",1,TAS1,205,12.33
D,TRADING,PRICE,2,"2024/02/02 17:20:00",1,NSW1,208,188.1
D,TRADING,PRICE,2,"2024/02/02 17:20:00",1,VIC1,208,9
D,TRADING,PRICE,2,"2024/02/02 17:20:00",1,SA1,208,8.93
D,TRADING,PRICE,2,"2024/02/02 17:20:00",1,QLD1,208,192.75
D,TRADING,PRICE,2,"2024/02/02 17:20:00",1,TAS1,208,13.81
D,TRADING,PRICE,2,"2024/02/02 17:35:00",1,NSW1,211,220.03
D,TRADING,PRICE,2,"2024/02/02 17:35:00",1,VIC1,211,9
D,TRADING,PRICE,2,"2024/02/02 17:35:00",1,SA1,211,9.4
D,TRADING,PRICE,2,"2024/02/02 17:35:00",1,QLD1,211,227.08
D,TRADING,PRICE,2,"2024/02/02 17:35:00",1,TAS1,211,38.08
D,TRADING,PRICE,2,"2024/02/02 17:50:00",1,NSW1,214,299.99
D,TRADING,PRICE,2,"2024/02/02 17:50:00",1,VIC1,214,34.94
D,TRADING,PRICE,2,"2024/02/02 17:50:00",1,SA1,214,36.48
D,TRADING,PRICE,2,"2024/02/02 17:50:00",1,QLD1,214,317.74
D,TRADING,PRICE,2,"2024/02/02 17:50:00",1,TAS1,214,39.08
D,TRADING,PRICE,2,"2024/02/02 17:55:00",1,NSW1,215,299.99
D,TRADING,PRICE,2,"2024/02/02 17:55:00",1,VIC1,215,53.88
D,TRADING,PRICE,2,"2024/02/02 17:55:00",1,SA1,215,57.68
D,TRADING,PRICE,2,"2024/02/02 17:55:00",1,QLD1,215,321.81
D,TRADING,PRICE,2,"2024/02/02 17:55:00",1,TAS1,215,57.08
D,TRADING,PRICE,2,"2024/02/02 18:00:00",1,NSW1,216,299.99
D,TRADING,PRICE,2,"2024/02/02 18:00:00",1,VIC1,216,67.46
D,TRADING,PRICE,2,"2024/02/02 18:00:00",1,SA1,216,72.22
D,TRADING,PRICE,2,"2024/02/02 18:00:00",1,QLD1,216,326
D,TRADING,PRICE,2,"2024/02/02 18:00:00",1,TAS1,216,70.76
D,TRADING,PRICE,2,"2024/02/02 18:05:00",1,NSW1,217,303.94
D,TRADING,PRICE,2,"2024/02/02 18:05:00",1,VIC1,217,66.15
D,TRADING,PRICE,2,"2024/02/02 18:05:00",1,SA1,217,71.51
D,TRADING,PRICE,2,"2024/02/02 18:05:00",1,QLD1,217,369.74
D,TRADING,PRICE,2,"2024/02/02 18:05:00",1,TAS1,217,70.26
D,TRADING,PRICE,2,"2024/02/02 18:10:00",1,NSW1,218,304.01
D,TRADING,PRICE,2,"2024/02/02 18:10:00",1,VIC1,218,96.34
D,TRADING,PRICE,2,"2024/02/02 18:10:00",1,SA1,218,104.13
D,TRADING,PRICE,2,"2024/02/02 18:10:00",1,QLD1,218,370.02
D,TRADING,PRICE,2,"2024/02/02 18:10:00",1,TAS1,218,100.53
D,TRADING,PRICE,2,"2024/02/02 18:30:00",1,NSW1,222,315.2
D,TRADING,PRICE,2,"2024/02/02 18:30:00",1,VIC1,222,275.79
D,TRADING,PRICE,2,"2024/02/02 18:30:00",1,SA1,222,310.14
D,TRADING,PRICE,2,"2024/02/02 18:30:00",1,QLD1,222,491.4
D,TRADING,PRICE,2,"2024/02/02 18:30:00",1,TAS1,222,228.91
D,TRADING,PRICE,2,"2024/02/02 19:25:00",1,VIC1,233,57.87
D,TRADING,PRICE,2,"2024/02/02 19:25:00",1,SA1,233,66.68
D,TRADING,PRICE,2,"2024/02/02 19:25:00",1,QLD1,233,370.03
D,TRADING,PRICE,2,"2024/02/02 19:25:00",1,TAS1,233,54.24
D,TRADING,PRICE,2,"2024/02/02 19:30:00",1,NSW1,234,51.35
D,TRADING,PRICE,2,"2024/02/02 17:40:00",1,NSW1,212,192.75
D,TRADING,PRICE,2,"2024/02/02 17:40:00",1,VIC1,212,31.38
D,TRADING,PRICE,2,"2024/02/02 17:40:00",1,SA1,212,32.6
D,TRADING,PRICE,2,"2024/02/02 17:40:00",1,QLD1,212,198.69
D,TRADING,PRICE,2,"2024/02/02 17:40:00",1,TAS1,212,38.2
D,TRADING,PRICE,2,"2024/02/02 17:45:00",1,NSW1,213,299.98
D,TRADING,PRICE,2,"2024/02/02 17:45:00",1,VIC1,213,48.44
D,TRADING,PRICE,2,"2024/02/02 17:45:00",1,SA1,213,51.09
D,TRADING,PRICE,2,"2024/02/02 17:45:00",1,QLD1,213,311.76
D,TRADING,PRICE,2,"2024/02/02 17:45:00",1,TAS1,213,51.32
D,TRADING,PRICE,2,"2024/02/02 18:15:00",1,NSW1,219,304.4
D,TRADING,PRICE,2,"2024/02/02 18:15:00",1,VIC1,219,94.07
D,TRADING,PRICE,2,"2024/02/02 18:15:00",1,SA1,219,102.18
D,TRADING,PRICE,2,"2024/02/02 18:15:00",1,QLD1,219,372
D,TRADING,PRICE,2,"2024/02/02 18:15:00",1,TAS1,219,99.31
D,TRADING,PRICE,2,"2024/02/02 18:20:00",1,NSW1,220,304.67
