YEAR,MONTHNUMBER,MONTH,REGIONID,AVGRRP,PEAKRRP
2024,2024/07/31 00:00:00,JULY,NSW1,127.17000000,154.76000000
2024,2024/07/31 00:00:00,JULY,QLD1,119.06000000,134.90000000
2024,2024/07/31 00:00:00,JULY,SA1,241.22000000,294.90000000
2024,2024/07/31 00:00:00,JULY,TAS1,180.76000000,215.33000000
2024,2024/07/31 00:00:00,JULY,VIC1,149.14000000,191.27000000
2024,2024/08/31 00:00:00,AUGUST,NSW1,174.45000000,252.78000000
2024,2024/08/31 00:00:00,AUGUST,QLD1,130.10000000,161.51000000
2024,2024/08/31 00:00:00,AUGUST,SA1,149.52000000,219.37000000
2024,2024/08/31 00:00:00,AUGUST,TAS1,128.69000000,155.78000000
2024,2024/08/31 00:00:00,AUGUST,VIC1,143.40000000,215.57000000
