C,SETP.WORLD,DVD_TRADINGPRICE,AEMO,PUBLIC,2018/10/09,17:05:04,0000000299837802,
I,TRADING,PRICE,2,SETTLEMENTDATE,RUNNO,REGIONID,PERIODID,RRP
D,TRADING,PRICE,2,"2018/09/01 00:30:00",1,NSW1,1,100.89
D,TRADING,PRICE,2,"2018/09/01 00:30:00",1,QLD1,1,87.26
D,TRADING,PRICE,2,"2018/09/01 00:30:00",1,SA1,1,91.08
D,TRADING,PRICE,2,"2018/09/01 00:30:00",1,TAS1,1,17.7
D,TRADING,PRICE,2,"2018/09/01 00:30:00",1,VIC1,1,99.43
D,TRADING,PRICE,2,"2018/09/01 01:00:00",1,NSW1,2,79.79
D,TRADING,PRICE,2,"2018/09/01 01:00:00",1,QLD1,2,70.45
D,TRADING,PRICE,2,"2018/09/01 01:00:00",1,SA1,2,72.45
D,TRADING,PRICE,2,"2018/09/01 01:00:00",1,TAS1,2,9.82
D,TRADING,PRICE,2,"2018/09/01 01:00:00",1,VIC1,2,79.44
D,TRADING,PRICE,2,"2018/09/01 01:30:00",1,NSW1,3,58.02
D,TRADING,PRICE,2,"2018/09/01 01:30:00",1,QLD1,3,51.94
D,TRADING,PRICE,2,"2018/09/01 01:30:00",1,SA1,3,51.95
D,TRADING,PRICE,2,"2018/09/01 01:30:00",1,TAS1,3,9.82
D,TRADING,PRICE,2,"2018/09/01 01:30:00",1,VIC1,3,56.43
D,TRADING,PRICE,2,"2018/09/01 02:00:00",1,NSW1,4,66.33
D,TRADING,PRICE,2,"2018/09/01 02:00:00",1,QLD1,4,58.27
D,TRADING,PRICE,2,"2018/09/01 02:00:00",1,SA1,4,59.72
D,TRADING,PRICE,2,"2018/09/01 02:00:00",1,TAS1,4,9.82
D,TRADING,PRICE,2,"2018/09/01 02:00:00",1,VIC1,4,63.43
D,TRADING,PRICE,2,"2018/09/01 02:30:00",1,NSW1,5,57.22
D,TRADING,PRICE,2,"2018/09/01 02:30:00",1,QLD1,5,51.96
D,TRADING,PRICE,2,"2018/09/01 02:30:00",1,SA1,5,49.15
D,TRADING,PRICE,2,"2018/09/01 02:30:00",1,TAS1,5,33.45
D,TRADING,PRICE,2,"2018/09/01 02:30:00",1,VIC1,5,53.39
D,TRADING,PRICE,2,"2018/09/01 03:00:00",1,NSW1,6,54.17
D,TRADING,PRICE,2,"2018/09/01 03:00:00",1,QLD1,6,50.62
D,TRADING,PRICE,2,"2018/09/01 03:00:00",1,SA1,6,42.88
D,TRADING,PRICE,2,"2018/09/01 03:00:00",1,TAS1,6,33.46
D,TRADING,PRICE,2,"2018/09/01 03:00:00",1,VIC1,6,45.63
D,TRADING,PRICE,2,"2018/09/01 03:30:00",1,NSW1,7,53.19
D,TRADING,PRICE,2,"2018/09/01 03:30:00",1,QLD1,7,50.73
D,TRADING,PRICE,2,"2018/09/01 03:30:00",1,SA1,7,41.61
D,TRADING,PRICE,2,"2018/09/01 03:30:00",1,TAS1,7,33.45
D,TRADING,PRICE,2,"2018/09/01 03:30:00",1,VIC1,7,46.13
D,TRADING,PRICE,2,"2018/09/01 04:00:00",1,NSW1,8,60.86
D,TRADING,PRICE,2,"2018/09/01 04:00:00",1,QLD1,8,58.67
D,TRADING,PRICE,2,"2018/09/01 04:00:00",1,SA1,8,50.64
D,TRADING,PRICE,2,"2018/09/01 04:00:00",1,TAS1,8,33.45
D,TRADING,PRICE,2,"2018/09/01 04:00:00",1,VIC1,8,54.51
D,TRADING,PRICE,2,"2018/09/01 04:30:00",1,NSW1,9,60.76
D,TRADING,PRICE,2,"2018/09/01 04:30:00",1,QLD1,9,57.67
D,TRADING,PRICE,2,"2018/09/01 04:30:00",1,SA1,9,56.57
D,TRADING,PRICE,2,"2018/09/01 04:30:00",1,TAS1,9,41.86
D,TRADING,PRICE,2,"2018/09/01 04:30:00",1,VIC1,9,56.76
D,TRADING,PRICE,2,"2018/09/01 05:00:00",1,NSW1,10,55.87
D,TRADING,PRICE,2,"2018/09/01 05:00:00",1,QLD1,10,53.35
D,TRADING,PRICE,2,"2018/09/01 05:00:00",1,SA1,10,54.76
D,TRADING,PRICE,2,"2018/09/01 05:00:00",1,TAS1,10,44.5
D,TRADING,PRICE,2,"2018/09/01 05:00:00",1,VIC1,10,52.71
D,TRADING,PRICE,2,"2018/09/01 05:30:00",1,NSW1,11,68.24
D,TRADING,PRICE,2,"2018/09/01 05:30:00",1,QLD1,11,64.4
D,TRADING,PRICE,2,"2018/09/01 05:30:00",1,SA1,11,71.42
D,TRADING,PRICE,2,"2018/09/01 05:30:00",1,TAS1,11,31.32
D,TRADING,PRICE,2,"2018/09/01 05:30:00",1,VIC1,11,66.95
D,TRADING,PRICE,2,"2018/09/01 06:00:00",1,NSW1,12,66.67
D,TRADING,PRICE,2,"2018/09/01 06:00:00",1,QLD1,12,61.91
D,TRADING,PRICE,2,"2018/09/01 06:00:00",1,SA1,12,71.79
D,TRADING,PRICE,2,"2018/09/01 06:00:00",1,TAS1,12,28.27
D,TRADING,PRICE,2,"2018/09/01 06:00:00",1,VIC1,12,66.6
