C,SETP.WORLD,DVD_DISPATCH_UNIT_SCADA,AEMO,PUBLIC,DUID,9:36:25,1.74E+12,MONTHLY_ARCHIVE,1.74E+12
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,CALL_B_1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,CALL_B_2,318.39999,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,CAPBES1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,CAPTL_WF,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,CATHROCK,8.7,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,CBWWBA1,-0.025,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,CETHANA,79.32388,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,CG1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,CG2,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,CG3,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,CG4,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,CHALLHWF,8.9,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,CHBESS1,-0.65581,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,CHILDSF1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,CHYTWF1,48.22,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,CLARESF1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,CLEMGPWF,16.64009,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,CLERMSF1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,CLOVER,13.05,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,CLRKCWF1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,CLUNY,7.548181,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,CNUNDAWF,0.6007,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,COHUNSF1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,COLEASF1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,COLUMSF1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,COLWF01,35.04234,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,CONDONG1,23.85,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,COOPGWF1,216.14,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,CPP_3,399.85001,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,CPP_4,395.45001,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,CPSA,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,CROOKWF2,4.40253,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,CROOKWF3,4.47601,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,CROWLWF1,29.30278,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,CRURWF1,55.99763,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,CRWASF1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,CSPVPS1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,CTHLWF1,0.00305,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,CULLRGWF,10.4,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,DALNTH1,-0.03815,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,DARLSF1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,DARTM1,166.8,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,DAYDSF1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,DDPS1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,DDSF1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,DEVILS_G,55.85376,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,DG_NSW1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,DG_QLD1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,DG_SA1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,DG_TAS1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,DG_VIC1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,DIAPURWF1,4.7,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,DPNTB1,-0.50095,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,DRYCGT1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,DRYCGT2,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,DRYCGT3,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,DULAWF1,160.7,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,DUNDWF1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,DUNDWF2,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,DUNDWF3,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,EDENVSF1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,EILDON1,59.36,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,EILDON2,0.04,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,ELAINWF1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,EMERASF1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,ER01,581.85699,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,ER02,576.70557,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,ER03,676.26764,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,ER04,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,ERGT01,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,FINLYSF1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,FISHER,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,FLYCRKWF,115.74001,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,GANGARR1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,GANNB1,-0.30865,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,GANNSF1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,GB01,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,GERMCRK,19.382,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,GIRGSF,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,GLENSF1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,GLRWNSF1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,GNNDHSF1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,GOONSF1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,GORDON,58.70085,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,GPWFEST1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,GPWFEST2,0.4,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,GPWFEST3,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,GRANWF1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,GREENB1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,GRIFSF1,0.001526,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,GSTONE1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,GSTONE2,220.13086,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,GSTONE3,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,GSTONE4,239.80469,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,GSTONE5,260.07324,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,GSTONE6,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,GSWF1A,10.08,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,GSWF1B1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,GULLRSF1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,GULLRWF1,27.46458,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,GULLRWF2,39.15294,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,GUNNING1,15.34682,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,GUTHEGA,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,HALLWF1,0.25,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,HALLWF2,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,HAMISF1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,HAUGHT11,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,HAYMSF1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,HBESS1,24.2,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,HD1WF1,0.57,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,HDWF1,26.9,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,HDWF2,18.7,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,HDWF3,20.2,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,HEZ1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,HILLSTN1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,HPR1,14.4,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,HUGSF1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,HUMENSW,13.14315,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,HUMEV,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,HVWWBA1,-0.061,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,HVWWPV1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,JBUTTERS,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,JEMALNG1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,JLA01,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,JLA02,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,JLA03,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,JLA04,0.1,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,JLB01,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,JLB02,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,JLB03,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,JUNEESF1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,KABANWF1,0,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,KAREEYA1,21.4975,1/01/2025 0:00,,
D,DISPATCH,UNIT_SCADA,1,1/01/2025 0:05,KAREEYA2,21.4525,1/01/2025 0:00,,
