C,SETP.WORLD,DVD_BILLING_CO2E_PUBLICATION,AEMO,PUBLIC,2020/05/07,00:14:00,0000000322582819,,0000000322582795
I,BILLING,BILLING_CO2E_PUBLICATION,1,CONTRACTYEAR,WEEKNO,BILLRUNNO,SETTLEMENTDATE,REGIONID,SENTOUTENERGY,GENERATOREMISSIONS,INTENSITYINDEX
D,BILLING,BILLING_CO2E_PUBLICATION,1,2020,13,9,"2020/03/22 00:00:00",NEM,460711.35750206,339058.39117510,0.7359
D,BILLING,BILLING_CO2E_PUBLICATION,1,2020,13,9,"2020/03/22 00:00:00",NSW1,135715.82895999,104470.11449369,0.7698
D,BILLING,BILLING_CO2E_PUBLICATION,1,2020,13,9,"2020/03/22 00:00:00",QLD1,163418.03739606,120958.54719238,0.7402
D,BILLING,BILLING_CO2E_PUBLICATION,1,2020,13,9,"2020/03/22 00:00:00",SA1,27952.061011,4869.05526043,0.1742
D,BILLING,BILLING_CO2E_PUBLICATION,1,2020,13,9,"2020/03/22 00:00:00",TAS1,19563.82987501,1.63333439,0.0001
D,BILLING,BILLING_CO2E_PUBLICATION,1,2020,13,9,"2020/03/22 00:00:00",VIC1,114061.600260,108759.04089421,0.9535
D,BILLING,BILLING_CO2E_PUBLICATION,1,2020,13,9,"2020/03/23 00:00:00",NEM,493759.08599442,355519.09754772,0.72
D,BILLING,BILLING_CO2E_PUBLICATION,1,2020,13,9,"2020/03/23 00:00:00",NSW1,154392.27047799,112716.66825434,0.7301
D,BILLING,BILLING_CO2E_PUBLICATION,1,2020,13,9,"2020/03/23 00:00:00",QLD1,170032.25022044,125674.91283698,0.7391
D,BILLING,BILLING_CO2E_PUBLICATION,1,2020,13,9,"2020/03/23 00:00:00",SA1,33538.317996,6600.46946623,0.1968
D,BILLING,BILLING_CO2E_PUBLICATION,1,2020,13,9,"2020/03/23 00:00:00",TAS1,24129.724842,1.63453371,0.0001
D,BILLING,BILLING_CO2E_PUBLICATION,1,2020,13,9,"2020/03/23 00:00:00",VIC1,111666.52245799,110525.41245646,0.9898
D,BILLING,BILLING_CO2E_PUBLICATION,1,2020,13,9,"2020/03/24 00:00:00",NEM,496437.71635403,365830.68390519,0.7369
D,BILLING,BILLING_CO2E_PUBLICATION,1,2020,13,9,"2020/03/24 00:00:00",NSW1,155329.20836803,120477.30099396,0.7756
D,BILLING,BILLING_CO2E_PUBLICATION,1,2020,13,9,"2020/03/24 00:00:00",QLD1,169131.250091,120568.72808354,0.7129
D,BILLING,BILLING_CO2E_PUBLICATION,1,2020,13,9,"2020/03/24 00:00:00",SA1,26296.857532,10730.18954103,0.4080
